shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDfAB9gW1c,united.rentals,2020-11-26 12:45:16.000000,no,False,b'',b'',"b'To our team, our customers and our communities, Happy Thanksgiving. Thank you for being part of the United Rentals family.'",0,0,118,1,,,
CHqOSFHleQJ,united.rentals,2020-11-16 17:18:08.000000,no,False,b'linkinbio',b'',b'Blue Thursday is just around the corner. Get the used equipment you need to build your fleet. #LinkinBio',0,0,228,0,,,
CHA77frF7-f,united.rentals,2020-10-31 16:28:54.000000,no,False,b'',b'',b'Boo(m).',0,0,201,3,,,
CGVk_1DHSf8,united.rentals,2020-10-14 20:21:18.000000,yes,False,b'urcanhelp',b'',"b""We're ready when you are. #URCanHelp""",375,30.033,39,1,,,
CFvFfuUlzd8,united.rentals,2020-09-29 21:34:46.000000,no,False,b'',b'',b'Dream team.',0,0,153,41,,,
CFSPgN2lU11,united.rentals,2020-09-18 16:44:14.000000,no,False,b'truckdriverappreciationweek',b'',b'Heading into the weekend like... \n\n#truckdriverappreciationweek',0,0,138,6,,,
CE2l1gylUYC,united.rentals,2020-09-07 23:00:41.000000,no,False,"b'labordayon,linkinbio'",b'',b'We are looking for service techs to join the United Rentals team. We\xe2\x80\x99re ready when you are. #LaborDayOn #LinkInBio',0,0,34,7,,,
CE1vG7fFC0W,united.rentals,2020-09-07 15:02:31.000000,no,False,"b'labordayon,linkinbio'",b'',b'We are looking for sales and field managers to join the United Rentals team. We\xe2\x80\x99re ready when you are. #LaborDayOn #LinkInBio',0,0,60,4,,,
CE1TijqHXS1,united.rentals,2020-09-07 11:01:34.000000,no,False,"b'labordayon,linkinbio'",b'',b'We are looking for drivers to join the United Rentals team. We\xe2\x80\x99re ready when you are. #LaborDayOn  #LinkInBio',0,0,89,6,,,
CEuZZ_LF2rc,united.rentals,2020-09-04 18:38:07.000000,no,False,b'',b'arkansas_elite_welding_academy',b'Frame-worthy. \n\n:camera_with_flash:: @arkansas_elite_welding_academy',0,0,160,5,,,
CEt552HH3nI,united.rentals,2020-09-04 14:02:52.000000,no,False,b'labordayon',b'',"b""On September 7, we're turning a day off into a day dedicated to helping people in our communities find work. We're taking #LaborDayOn. Follow the hashtag to be connected with a job that's right for you.""",0,0,57,4,,,
CEt552HH3nI,united.rentals,2020-09-04 14:02:52.000000,no,False,b'labordayon',b'',"b""On September 7, we're turning a day off into a day dedicated to helping people in our communities find work. We're taking #LaborDayOn. Follow the hashtag to be connected with a job that's right for you.""",0,0,57,4,,,
CEPpmlpFosI,united.rentals,2020-08-23 20:03:41.000000,yes,False,"b'indy500,turnsfortroops'",b'',b'What Graham had to say before the big race #Indy500 #TurnsforTroops',509,38.6,59,3,,,
CEKBPl6oggs,united.rentals,2020-08-21 15:34:23.000000,no,False,"b'carbday,indy500,turnsfortroops'",b'',"b'Yeah race cars are cool, but... \n.\n.\n.\n.\n.\n#CarbDay #Indy500 #turnsfortroops'",0,0,319,7,,b'Indianapolis Motor Speedway',39.7957663017 -86.2355947495
CDg-vNKD8mq,united.rentals,2020-08-05 17:03:36.000000,no,False,b'',b'',b'Mid-week lift.',0,0,346,8,,,
CDRQfaGnfST,united.rentals,2020-07-30 14:30:52.000000,no,False,"b'tbt,turnsfortroops'",b'',"b""#TBT to Graham Rahal's second podium finish this season. Can't wait for the next race at Mid-Ohio Sports Car Course and more of those #TurnsforTroops :flexed_biceps:""",0,0,147,3,,,
CDOxwOAFuVj,united.rentals,2020-07-29 15:25:39.000000,yes,False,b'tractorstrailerstales',"b'blake_martinez50,nygiants'","b'ICYMI: @blake_martinez50 hosted #TractorsTrailersTales last Sunday. Thanks, Blake! Head over to our Facebook page for the full book reading and don\xe2\x80\x99t forget to join us this Sunday for another social guest and family-friendly read. \n\n@nygiants'",1730,13.633,157,3,,,
CDMX0uiFQaU,united.rentals,2020-07-28 16:58:43.000000,no,False,b'',b'',b'Digging into this week like...',0,0,289,2,,,
CDCXOnBHyZU,united.rentals,2020-07-24 19:41:14.000000,yes,False,b'urcanhelp',b'',"b'Get the equipment you need, when and where you need it. #URCanHelp'",655,30.033,103,5,,,
CC89u26FAZj,united.rentals,2020-07-22 17:22:25.000000,yes,False,b'tractorstrailerstales',"b'itsgvr,nyjets,grahamrahal,rllracing,mlstadium'","b'ICYMI: @itsgvr, guard for the @nyjets hosted #TractorsTrailersTales last Sunday. Head over to our Facebook page for the full book reading and don\xe2\x80\x99t forget to join us this Sunday at 6pm for another special guest (or 2!) and family-friendly read. @grahamrahal @rllracing @mlstadium'",658,15.7,51,3,,,
CCrC_lzFfap,united.rentals,2020-07-15 18:22:52.000000,yes,False,b'tractorstrailerstales',"b'grahamrahal,rllracing'","b'ICYMI: @grahamrahal hosted #TractorsTrailersTales last Sunday. Head over to our Facebook page for the full book. Thanks, Graham! Tune in this Sunday at 6pm ET for another guest and family-friendly read. @rllracing'",526,24.2,38,2,,,
