shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHdSq7TB1xn,unitedpilotsmec,2020-11-11 16:46:21.000000,no,False,b'wearealpa',b'',b'Thank you to all our Veterans and their families #wearealpa',0,0,43,232,,,
CFsy4C0BLZZ,unitedpilotsmec,2020-09-29 00:13:35.000000,no,False,"b'essentialworkers,wearealpa'",b'',b'The United pilot-approved Pandemic Recovery Agreement stops United pilot furloughs. Now it\xe2\x80\x99s time for Congress to extend a lifeline to all airline employees. #essentialworkers #wearealpa',0,0,55,0,,,
CFso1alhMBo,unitedpilotsmec,2020-09-28 22:45:51.000000,no,False,b'pilotsprotectingpilots',b'',"b'United pilots voted to approve the Pandemic Recovery Letter of Agreement with United Airlines. The agreement will keep all 13,000 United pilots employed and cancels the 2850 previously announced furloughs. #pilotsprotectingpilots'",0,0,56,0,,,
CFsi4oOBeak,unitedpilotsmec,2020-09-28 21:53:51.000000,no,False,"b'pilotsprotectingpilots,wearealpa'",b'',b'The Pandemic Recovery Letter of Agreement has been approved by United pilots. #pilotsprotectingpilots #wearealpa',0,0,70,0,,,
CFA8REhhUbL,unitedpilotsmec,2020-09-11 23:29:04.000000,no,False,b'',b'',b'United pilots Capt. Brian Florence and Capt. Bob Ward honor the memory of\xc2\xa0United\xc2\xa0First Officer LeRoy Homer at the Flight 93 National Memorial.',0,0,140,26,,,
CFAJXc0hUzi,unitedpilotsmec,2020-09-11 16:04:17.000000,no,False,b'',b'',"b'Today, we solemnly mark 19 years since the September 11 terrorist attacks. On behalf of all United pilots, our hearts go out to those who were lost and their loved ones. We will never forget.'",0,0,123,10,,,
CE48_YiB7FI,unitedpilotsmec,2020-09-08 21:01:27.000000,no,False,b'',b'',"b'Labor unions, including ALPA, help break down barriers for women and minorities. Since 1978, when these three pioneers were the first women to be hired at United, women aviators have helped build United Airlines and ALPA into what they are today.'",0,0,119,11,,,
CE4JgBwBiHB,unitedpilotsmec,2020-09-08 13:31:32.000000,no,False,b'',b'',"b'Congrats to all UAL Pilots awarded early separation leave. The UAL MEC would like to recognize your years of service and contributions to ALPA and United. Capt. Frank Servaty, seen with his wife Janet, is retiring after flying 33 years with CAL and UAL. Thank you, Capt. Servaty!'",0,0,77,10,,,
CE2aOh3hPUZ,unitedpilotsmec,2020-09-07 21:19:13.000000,no,False,b'',b'',"b'Congratulations to all UAL Pilots awarded early separation leave. The UAL MEC would like to recognize your many years of service and contributions to ALPA and United. Captain Ergin Aydin is retiring after flying 32 years with UAL. Thank you, Captain Aydin!'",0,0,74,4,,,
CE2JWUZBgMK,unitedpilotsmec,2020-09-07 18:51:44.000000,no,False,b'',b'',"b'Congratulations to all UAL Pilots awarded early separation leave. The UAL MEC would like to recognize your many years of service and contributions to ALPA and United. Captain Tim Kochert is retiring after flying 33 years with UAL. Thank you, Captain Kochert!'",0,0,73,5,,,
