shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYUr_ZrGPR,vanguardgroup,2020-12-04 14:59:13.000000,no,False,b'',b'',b'Want flexibility with the way you save and pay for health care? Discover the benefits of a health savings account. Link in bio.',0,0,172,1,,,
CIWPXaplHjU,vanguardgroup,2020-12-03 19:34:13.000000,no,False,b'',b'',"b'Success is personal\xe2\x80\x94each finish line has a unique path. For Vanguard, because of our investor-owned structure, our success can only be measured by your success. How are you preparing to cross your finish line?'",0,0,238,8,,,
CIV5PzOMeGX,vanguardgroup,2020-12-03 16:21:00.000000,yes,False,b'',b'',b'Have you ever wondered how people like you invest? We did\xe2\x80\x94and now we\xe2\x80\x99re releasing our most comprehensive research yet on Vanguard households\xe2\x80\x99 financial behavior. Link in bio.',1990,5.0,187,7,,,
CIQ0JklgqgX,vanguardgroup,2020-12-01 17:00:12.000000,no,False,"b'givingtuesday,makeithappen'",b'',"b'Our talented crew members focus on improving their communities year-round, not just on #GivingTuesday. Jennie H., a research economist, shares, \xe2\x80\x9cI #MakeItHappen for my community by leveraging my background in academic research on early childhood education to support our giving campaign and Strong Start for Kids program, which focuses on improving kindergarten readiness. This year I used that knowledge to provide research based insights and ideas to encourage participation, especially under the unique circumstances. Together, we were able to raise millions for the community.\xe2\x80\x9d Link in bio to learn more about our community stewardship.'",0,0,147,5,,,
CIOFDVdjBGG,vanguardgroup,2020-11-30 15:30:12.000000,yes,False,b'',b'',b'Explore the triple tax advantages of an HSA. Use it to cover medical bills now or invest for the future. Link in bio.',2674,10.4,145,15,,,
CIG1llTHUQO,vanguardgroup,2020-11-27 20:00:22.000000,yes,False,b'',b'',"b""Early retirement may sound appealing, but it's not always easy. Use the checklist in our bio to help you make a plan.""",2643,7.666,154,9,,,
CIBazxxj-yf,vanguardgroup,2020-11-25 17:30:13.000000,yes,False,b'',b'',"b'Even in this difficult year, you saved, got started, or stayed the course. And for that, you deserve a special thank you.'",1550,15.0,125,5,,,
CH-84TpgH4J,vanguardgroup,2020-11-24 18:30:13.000000,yes,False,b'',b'',"b'Thank you to all who have believed in the power of indexing over the years. With 30 million investors helping us change the way the world invests, we owe you a special thanks.\xe2\x80\x8b'",1927,15.0,175,13,,,
CH8biCKAM1j,vanguardgroup,2020-11-23 19:00:20.000000,yes,False,b'',b'',"b""We're feeling extra thankful this holiday season. With 30 million investors helping us change the way the world invests, we feel grateful to be a part of you and your families' milestones.""",1406,15.0,78,1,,,
CH8G736AI7o,vanguardgroup,2020-11-23 16:00:30.000000,yes,False,b'',b'',b'What does asset allocation mean? You asked\xe2\x80\xa6 our advisor answered! \nFind more resources to set your allocation at link in bio.',1143,48.0,71,3,,,
CH0i1QWA5OP,vanguardgroup,2020-11-20 17:30:09.000000,no,False,b'',b'',"b""Today is National Child's Day!  How will you honor your children and their dreams? The Vanguard 529 Plan can help you save for the education that could make those dreams real. Learn more in our link in bio.""",0,0,260,2,,,
CHvIFLTIJEG,vanguardgroup,2020-11-18 15:00:13.000000,no,False,b'',b'',b'What inspires you to stick to your investing plan?',0,0,559,16,,,
CHsqJdtALdm,vanguardgroup,2020-11-17 16:00:09.000000,no,False,b'',b'',b'Know someone having a baby soon\xe2\x80\xa6or someone who just added a new member to their family? Tag them here so they can make sure their financial plan is in order and check out our link in bio.',0,0,190,1,,,
CHqbDRyn8Tt,vanguardgroup,2020-11-16 19:09:48.000000,yes,False,b'',b'',b'Looking for a way to teach your preteens or young adult kids about investing and the concept of risk versus reward? We found a way to make it fun. Check out our link in bio to learn more.',1481,25.633,97,1,,,
CHiQGjPrHGf,vanguardgroup,2020-11-13 15:00:09.000000,no,False,b'',b'',b'One of our senior financial advisors suggests some ways you could help others during these unprecedented times in our link in bio. What would you add to the list?',0,0,223,5,,,
CHdQ0JwrwzR,vanguardgroup,2020-11-11 16:30:12.000000,no,False,b'makeithappen',b'',"b""Vanguard\xe2\x80\x99s VetsConnect resource group seeks to drive Vanguard's mission by building a community of veterans, families, and friends. Member Bill F. shares, \xe2\x80\x9cAs a part of VetsConnect here at Vanguard, I #MakeItHappen as the liaison to American Corporate Partners, a nonprofit aimed at pairing corporate leaders with veterans and spouses transitioning to the private sector. Before lockdown, I traveled to Washington, D.C., along with representatives from 45 other businesses, to discuss the unique employment challenges that military spouses face. They face a myriad of unique challenges, including a lack of license and certification transferability across state lines and fragmented resumes due to constant relocation and deployments. The chance to address these questions is an extremely rewarding experience. For me, it represents an evolution of my desire to serve, aided by the mission and crew of Vanguard, where we serve families who have served for us.\xe2\x80\x9d""",0,0,229,6,,,
