shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQmdYDiK31,vodafoneuk,2020-12-01 15:00:42.000000,yes,False,b'connectthemagic',"b'vodafoneuk,barnardos_uk'","b'Get creative this Christmas: Draw a Christmas card with your children, share using #ConnectTheMagic and tag @VodafoneUK :pencil: :snowman_without_snow:\n\nEvery card generates a \xc2\xa31 donation to @Barnardos_UK.\n\nFrom 3 December, see it in a magical light show powered by 5G :star-struck:'",1255,10.033,87,46,,,
CHx3208CwM2,vodafoneuk,2020-11-19 16:36:06.000000,no,False,b'keepconnecting',b'',"b'This festive season we\xe2\x80\x99re committed to keeping the UK connected.\n\nFind more about schools.connected, VOXI for Now and unlimited data for NHS workers and carers via the link in our bio.\n\n#KeepConnecting'",0,0,712,96,,,
CFcTN35BtT_,vodafoneuk,2020-09-22 14:30:03.000000,yes,False,"b'5g,5gamechanger'","b'lewishamilton,jaykeezyofficial'",b'\xe2\x80\x9cIt\xe2\x80\x99s the ability to work in real time with #5G that\xe2\x80\x99s a real game changer.\xe2\x80\x9d\xe2\x81\xa3\n\xe2\x81\xa3\nWatch @LewisHamilton and pro musician @jaykeezyofficial make use of super-fast Vodafone 5G to perform the world\xe2\x80\x99s first 5G duet :musical_keyboard::antenna_bars:\xe2\x81\xa3\n\xe2\x81\xa3\n#5gamechanger',2151,24.346,129,115,,"b'London, United Kingdom'",51.5141 -0.1094
CFHji3Jhfh5,vodafoneuk,2020-09-14 13:09:09.000000,yes,False,b'5gamechanger',"b'lewishamilton,jaykeezyofficial'",b'Super-fast @lewishamilton tries to keep up with some speedy moves from pro musician @jaykeezyofficial over our super-fast 5G network :musical_keyboard::high_voltage:\xe2\x81\xa3\n\xe2\x81\xa3\nLow latency will allow more real-time collaboration wherever you are in the world :globe_showing_Europe-Africa::handshake:\xe2\x81\xa3\n\xe2\x81\xa3\n#5Gamechanger',1585,22.133,122,70,,"b'London, United Kingdom'",51.5141 -0.1094
CE1TWvtBOD3,vodafoneuk,2020-09-07 11:04:17.000000,yes,False,"b'5g,5gamechanger'","b'lewishamilton,jaykeezyofficial'","b'One from the archives! Earlier this year @lewishamilton played the world\xe2\x80\x99s first #5G duet with @jaykeezyofficial over our 5G network, using two digitally connected pianos in different locations. Link in bio to full video #5Gamechanger'",2420,23.566,255,32,,"b'London, United Kingdom'",51.5141 -0.1094
CDJt61sByrF,vodafoneuk,2020-07-27 16:14:40.000000,yes,False,"b'unitethepride,sa2021'","b'britishandirishlions,vodafoneireland'","b""We're proud to be joining forces with @britishandirishlions and @vodafoneireland to #UniteThePride and bring you closer to #SA2021! :rugby_football::lion_face:""",2168,35.519,173,109,,,
CDJMN8dhed2,vodafoneuk,2020-07-27 11:22:12.000000,yes,False,b'greatbritishtechappeal',b'',"b'Did you know there are 40m unused gadgets in UK homes, but 700,000 kids don\xe2\x80\x99t even have one? \xe2\x81\xa3\n\xe2\x81\xa3\nHelp the #GreatBritishTechAppeal by searching Great British Tech Appeal and donating today!'",1685,11.466,93,30,,,
B_5BR6GilYK,vodafoneuk,2020-05-07 15:02:13.000000,yes,False,b'keepingtheukconnected',b'',"b'Care Workers as well as all NHS Staff now qualify for 6 months of free unlimited data :clapping_hands:\n\nSo if you, or someone you know can benefit, go to keepconnected.vodafone.co.uk by June 6 to register :memo: :check_mark: Just a little help to say a big thank you.\n\n#KeepingTheUKConnected'",2947,15.0,207,192,,b'United Kingdom',54.0 -2.0
B-eOArehSB4,vodafoneuk,2020-04-02 08:42:38.000000,yes,False,b'keepingtheukconnected',b'britishredcross',"b'Every day we\xe2\x80\x99re working hard at #KeepingTheUKConnected so that even when we\xe2\x80\x99re apart, nothing can stop us being together.\xe2\x81\xa3\n\xe2\x81\xa3\nHelp us support @britishredcross by texting CONNECT to 70141 to give \xc2\xa35 to help vulnerable people across the UK. Kindness will keep us together!\xe2\x81\xa3\n\xe2\x81\xa3\nTerms apply: redcross.org.uk/terms'",4181,39.98,323,181,,,
B918LRPg8mt,vodafoneuk,2020-03-17 17:16:52.000000,no,False,b'',b'vodafoneuk',"b'Keeping the UK connected is our top priority during these difficult times.\xe2\x81\xa3\n\xe2\x81\xa3\nWe\xe2\x80\x99re providing free access to NHS sites, increasing network capacity and providing tips to keep you connected. follow the link in our bio to find out more: @vodafoneuk'",0,0,1350,319,,,
B8YlzxKhVZ2,vodafoneuk,2020-02-10 11:12:03.000000,no,False,"b'london,beunlimited,vodafone,ukphotographer,city,ukphotography'",b'lamarrioafrobeast',b'\xe2\x80\x9cUnlimited Possibilities\xe2\x80\x9d\n\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x81\xa3\n:camera_with_flash: - @lamarrioafrobeast \xe2\x81\xa3\n:world_map: - #London\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x81\xa3\n#BeUnlimited #Vodafone #UKPhotographer #City #UKPhotography',0,0,291,100,,b'London',51.5012133333 0.0049583333
