shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY-nwbphBS,walmart,2020-12-04 21:05:45.000000,no,False,b'',b'',"b'He sees you when you\xe2\x80\x99re eating, he knows when you have baked. :winking_face: Enjoy making a festive, holiday-themed breakfast with the fam & give St. Nick a reason to smile.'",0,0,2987,153,,,
CIWnj9NDQsd,walmart,2020-12-03 23:05:47.000000,yes,False,b'walmartdroneshow',b'',"b'Tune in Saturday, Dec. 5 at 7:40 PM EST to see your favorite holiday songs come to life through the magic of drones. Watch live on Instagram! #WalmartDroneShow'",38320,15.0,3129,170,,,
CIVpwWys75n,walmart,2020-12-03 14:05:42.000000,no,False,b'',b'',b'Our under $50 gift guide is guaranteed to bring all the :beaming_face_with_smiling_eyes: with a side of :smiling_face_with_3_hearts: for your entire list. *Cue your holiday shopping sighs of relief.*',0,0,2572,94,,,
CIVpwWys75n,walmart,2020-12-03 14:05:42.000000,no,False,b'',b'',b'Our under $50 gift guide is guaranteed to bring all the :beaming_face_with_smiling_eyes: with a side of :smiling_face_with_3_hearts: for your entire list. *Cue your holiday shopping sighs of relief.*',0,0,2572,94,,,
CITgec5BlFg,walmart,2020-12-02 18:05:58.000000,no,False,b'walmartfashion',b'',"b""This winter it's all about layered looks and cozy comfort from Free Assembly. Shop the new arrivals now. #WalmartFashion""",0,0,2524,129,,,
CIQgKqTHpKz,walmart,2020-12-01 14:05:42.000000,no,False,"b'kidsroom,walmarthome'",b'',b'Sweet dreams only in the #KidsRoom. :Christmas_tree::winking_face: #WalmartHome',0,0,4708,171,,,
CIN7YGOjkko,walmart,2020-11-30 14:05:45.000000,yes,False,b'',b'',"b'Cyber Monday pro :shopping_bags_selector: tip: use your phone & laptop to save big on tech, home, & toys while deals last. :hugging_face:'",13611,37.166,990,210,,,
CIMGpftJmNc,walmart,2020-11-29 21:05:45.000000,no,False,b'walmartbeauty',b'',"b'A little :wrapped_gift: for you, from you. Hey, you really nailed it with all this glam from #WalmartBeauty. You\xe2\x80\x99re basically the best gift-giver you know. :winking_face:'",0,0,2821,91,,,
CIJNQV2hMIz,walmart,2020-11-28 18:05:45.000000,no,False,b'',"b'flowerbydrew,drewbarrymore'","b'Rest your :eye_selector::eye_selector: while looking chic & stylish with all the new frames from @flowerbydrew\xe2\x80\x99s blue light glasses line! Also, because we & @drewbarrymore :blue_heart: ya, grab a free case with each purchase while supplies last.'",0,0,5483,169,,,
CIFSWB0sRzz,walmart,2020-11-27 05:33:25.000000,yes,False,b'',b'',"b""It's BLACK FRIDAY, a.k.a. the day to fill your :shopping_cart: with all your faves & score :fire: savings.\n\nStarts online at 12 AM EST & in-store 5 AM local time!""",21389,40.333,1098,354,,,
CIEs2-OoPhI,walmart,2020-11-27 00:05:45.000000,no,False,b'',b'',"b'Traditions make Thanksgiving everything it is. For us, a charming tablescape ignites the excitement of the holiday every year. Whatever traditions you love, we hope you\xe2\x80\x99re enjoying them today. Happy Thanksgiving. :turkey:'",0,0,3513,122,,,
CIDqUGfBVoG,walmart,2020-11-26 14:24:33.000000,yes,False,b'',b'',"b'To our Walmart associates, written by real customers across America who want to say thank you.'",13050,30.033,925,156,,,
CICKmkGIaoH,walmart,2020-11-26 00:27:56.000000,yes,False,b'',b'',b'11/25 Black Friday deals:\nOnline only :check_mark: \nStarts 7 PM EST :check_mark: \nTons of huge savings :check_mark: \n:grinning_face_with_smiling_eyes::smiling_face_with_3_hearts::raising_hands_medium_skin_tone:',20788,34.7,1122,1593,,,
CIBKRZQjjRX,walmart,2020-11-25 15:05:45.000000,no,False,b'',b'',"b'Big chef\xe2\x80\x99s kiss to all the cooks out there putting in the work today & tomorrow. We see you, we love you, will you please tell us your secret recipes now? You know the ones. :turkey:'",0,0,2055,152,,,
