shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZQ_zVljgP,warnerbrosentertainment,2020-12-04 23:46:09.000000,no,False,b'',b'',"b""Los Dinos, :fire: dance moves, and don't forget the bustiers. Which performance from Selena (1997) is your favorite? Bonus points if you can name the song from the scene.""",0,0,21101,634,,,
CIYwRP2rFac,warnerbrosentertainment,2020-12-04 19:00:49.000000,yes,False,b'holidaymoviefavorites',b'',b'All aboard :locomotive: Gear up for the holidays with another of our #HolidayMovieFavorites. Comment which movie you think it is :backhand_index_pointing_down:\n\nClick the link in bio to stream on YouTube. Tune in every Friday this month for more holiday bonus content!',10890,10.033,2697,385,,,
CIYqGcPlQwT,warnerbrosentertainment,2020-12-04 18:07:01.000000,yes,False,b'middleearth4k',b'dolbylabs',b'Go behind the scenes of #MiddleEarth4K with Director Peter Jackson.\nOwn the remastered films in stunning 4K Ultra HD Today with @dolbylabs Dolby Vision and Dolby Atmos.',103943,77.36,22416,364,,,
CIWL88El1rN,warnerbrosentertainment,2020-12-03 19:04:48.000000,yes,False,"b'wonderwoman1984,hbomax,wbpictures'",b'wbpictures',b'Repost from @wbpictures \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nI got you something :sparkles:nice:sparkles: this year:\n:wrapped_gift: The biggest movie premieres\n:wrapped_gift: In theaters and on HBO Max the exact same day\n:wrapped_gift: Beginning December 25 with #WonderWoman1984\n#HBOMax #WBPictures',18486,42.866,4244,438,,,
CITtiQYnx9F,warnerbrosentertainment,2020-12-02 20:00:15.000000,yes,False,b'',b'',"b'American fiction\xe2\x80\x99s most legendary criminal defense lawyer is back in an entirely new way. Own The Complete First Season of Perry Mason on Blu-ray, DVD, or Digital today!'",10518,30.066,2289,382,,,
CIRIvy1JWCH,warnerbrosentertainment,2020-12-01 20:00:16.000000,yes,False,b'',b'',b'The legend comes to life in 4K!\nReturn to Middle Earth and relive the adventure! Own The Hobbit and The Lord of the Rings trilogies in 4K Ultra HD today.',14816,18.3,3045,387,,,
CIQ6--gDdjX,warnerbrosentertainment,2020-12-01 18:00:03.000000,yes,False,b'blade4k',b'',b'The power of an immortal. The soul of a human. The heart of a hero.\nSee Blade like never before. Available now in 4K for the first time! #Blade4K',12436,10.0,3139,321,,,
CIOq0RwgZ6m,warnerbrosentertainment,2020-11-30 21:00:18.000000,yes,False,b'middleearth4k',b'',b'You cannot hide. Own The Hobbit and The Lord of the Rings trilogies in 4K Ultra HD tomorrow. #MiddleEarth4K',17580,32.033,3878,446,,,
CIOiC-lFoxl,warnerbrosentertainment,2020-11-30 19:44:12.000000,yes,False,b'theundoing',b'',"b'The search for truth can be treacherous. #TheUndoing: An HBO Limited Series, starring Nicole Kidman and Hugh Grant, is now available to own on Digital!'",10309,30.033,2274,254,,,
CIGuspVjfqa,warnerbrosentertainment,2020-11-27 19:00:15.000000,yes,False,b'holidaymoviefavorites',b'',"b'Yeti or not, join us in celebrating the holiday season with the first of our #HolidayMovieFavorites :footprints: Can you guess the movie?\n\nClick the link in bio to stream on YouTube. See you next Friday for more holiday bonus content!'",10423,10.033,2388,821,,,
CIGg-uXFa21,warnerbrosentertainment,2020-11-27 17:00:51.000000,yes,False,b'holidaymoviefavorites',b'',"b""It's officially the most wonderful time of year! This December, get in the spirit with the best moments and exclusive bonus content from our #HolidayMovieFavorites every Friday only on YouTube.\n\nClick the link in our bio to subscribe now!""",9048,30.066,2134,341,,,
CIB1aUAFwq8,warnerbrosentertainment,2020-11-25 21:22:35.000000,no,False,b'',b'vudufans',"b'\xe2\x80\x9cYou steer the ship the best way you know. Sometimes it\xe2\x80\x99s smooth. Sometimes you hit the rocks. In the meantime, you find your pleasures where you can.\xe2\x80\x9d\nThe Sopranos is on sale now through Sunday, only on @vudufans!'",0,0,11472,999,,,
CIBeVsUlkQw,warnerbrosentertainment,2020-11-25 18:00:58.000000,no,False,b'',b'',b'\xe2\x80\x9cOne step at a time. One punch at a time. One round at a time.\xe2\x80\x9d Tag the person who\xe2\x80\x99s always in your corner :boxing_glove:',0,0,14457,543,,,
CH_NlDBFfE-,warnerbrosentertainment,2020-11-24 21:00:45.000000,yes,False,b'',b'stanleykubrick',b'Visionary. Unparalleled. Iconic. No one does it like the great @StanleyKubrick! We\xe2\x80\x99re looking back on the classic films of the legend himself. Comment your all-time favorite below :backhand_index_pointing_down:',9143,60.013,2216,454,,,
CH-5cXepv1Z,warnerbrosentertainment,2020-11-24 18:00:15.000000,yes,False,b'blade4k',b'',b'Blade is the key. Own #Blade4K in ONE WEEK.\nLink in bio.',18778,10.0,4059,490,,,
CH5wfUNlV5k,warnerbrosentertainment,2020-11-22 18:06:23.000000,yes,False,b'',b'',"b'In theaters now. Own it 12/15 on 4K Ultra HD, Blu-ray & Digital.'",20407,30.075,5126,1567,,,
CHyxqJMl8yE,warnerbrosentertainment,2020-11-20 01:01:11.000000,no,False,b'gameofthrones',b'bestbuy',"b'When you play the game of thrones, you win or you die. There is no middle ground.\nGet your hands on #GameofThrones: The Complete Collection in 4K UHD - Available to own at @bestbuy.'",0,0,14627,1988,,,
CHwRU2xlvLt,warnerbrosentertainment,2020-11-19 01:40:57.000000,yes,False,"b'repost,wonderwoman1984'","b'wonderwomanfilm,hbomax'","b'#Repost @wonderwomanfilm \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nFor the first time ever, #WonderWoman1984 will release in theaters and stream exclusively on @hbomax* on December 25.\n\xc2\xa0\n*Available on HBO Max in the US only at no extra cost to subscribers.'",31562,14.733,5999,943,,,
