shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY_I_PlVy5,wawa,2020-12-04 21:10:19.000000,yes,False,b'',b'',"b'We had a blast unwrapping our fave holiday gifts with you! Remember to check out the Wawa Store, there\xe2\x80\x99s something for everyone on your list: https://bit.ly/3gdtas1.'",5703,24.633,603,19,,,
CIYiZrPpUX7,wawa,2020-12-04 16:59:05.000000,yes,False,b'',b'',b'Ahhh coffee\xe2\x80\xa6the best gift of them all.',3239,10.0,571,11,,,
CIV4AveF1B_,wawa,2020-12-03 16:10:15.000000,yes,False,b'',b'',b'Time to wrap up our journey :winking_face: Happy Holidays from Wawa!',13015,8.3,1338,63,,,
CITVap4H6KQ,wawa,2020-12-02 16:29:20.000000,no,False,b'',b'',"b'For your bestie, Wawa Joggers to lounge in.'",0,0,1208,33,,,
CITVY0QnB8-,wawa,2020-12-02 16:29:05.000000,no,False,b'',b'',"b'For your little cousin, an I :red_heart_selector: Wawa Junior Tee!'",0,0,1223,5,,,
CITVXtvHKsM,wawa,2020-12-02 16:28:56.000000,no,False,b'',b'',"b'For Grandpa, a Wawa Holiday Gift Card.'",0,0,620,3,,,
CITVV0eHvE0,wawa,2020-12-02 16:28:40.000000,no,False,b'',b'',b'Walk the pup in style with a Wawa Dog Leash :dog_face:',0,0,704,5,,,
CITVUrnnCE0,wawa,2020-12-02 16:28:31.000000,no,False,b'',b'',"b'For your boss, a Wawa Coffee Basket :hot_beverage:'",0,0,490,2,,,
CITVTDcnAFk,wawa,2020-12-02 16:28:18.000000,no,False,b'',b'',"b'For Grandma, definitely a Takeout Tumbler!'",0,0,490,1,,,
CITVRQZnw-H,wawa,2020-12-02 16:28:03.000000,no,False,b'',b'',"b'For you coworker, our Stainless Steel Bottle is the perfect :wrapped_gift:'",0,0,579,7,,,
CITVPm6nAoC,wawa,2020-12-02 16:27:49.000000,no,False,b'',b'',b'Hope your holidays are wrapped up in joy :red_heart_selector: Click the link in our bio to shop for everyone on your list!',0,0,1405,17,,,
CITVNSinpMB,wawa,2020-12-02 16:27:30.000000,no,False,b'',b'',"b'For Sister, our Goose Knit Socks!'",0,0,745,4,,,
CITVMI6HIhP,wawa,2020-12-02 16:27:21.000000,no,False,b'',b'',"b'For Brother, our Vintage Hoodie'",0,0,667,8,,,
CITVLSbnYDF,wawa,2020-12-02 16:27:14.000000,no,False,b'',b'',"b'For Dad, a Wawa Trucker Hat'",0,0,618,5,,,
CITVKWIHCrg,wawa,2020-12-02 16:27:06.000000,no,False,b'',b'',"b'For Mom, a Wawa Plush Blanket to keep her warm :snowflake_selector:'",0,0,633,6,,,
CIRFTaSLHAx,wawa,2020-12-01 19:30:08.000000,yes,False,b'freecoffeetuesday',b'',b'Got my Rewards card. Got my FREE coffee! #FreeCoffeeTuesday',2193,10.0,565,10,,,
CIQq1aIHTfR,wawa,2020-12-01 15:38:46.000000,no,False,b'freecoffeetuesday',"b'doctordusseau,seachaser2100,jacquir5'","b'No, like we\xe2\x80\x99re OBSESSED :smiling_face_with_heart-eyes::hot_beverage: Swipe for more #FreeCoffeeTuesday pics!// :camera_with_flash:: @doctordusseau @seachaser2100 @jacquir5'",0,0,1001,9,,,
CIQQFzIHvLd,wawa,2020-12-01 11:45:08.000000,yes,False,b'freecoffeetuesday',b'',b'Who else woke up smiling that it\xe2\x80\x99s not Monday? We know our Rewards Members did! It\xe2\x80\x99s #FreeCoffeeTuesday',3044,10.0,623,16,,,
CIPQASvrWPf,wawa,2020-12-01 02:25:13.000000,no,False,b'freecoffeetuesday',b'cavalier.terrier.sisters',b'Hang on just a little while longer. #FreeCoffeeTuesday is almost here! Not a member? Sign up today: wawarewards.com // :camera_with_flash:: @cavalier.terrier.sisters',0,0,1005,18,,,
CIOqz3chylo,wawa,2020-11-30 21:00:13.000000,no,False,b'',b'foodsweatnbeers',"b""You could say we're excited for December :snowman_selector:// :camera_with_flash:: @foodsweatnbeers""",0,0,1281,14,,,
CIOFC0wLtHV,wawa,2020-11-30 15:30:12.000000,no,False,b'freecoffeetuesday',b'schuporsalad',b'This photo is your reminder to sign up for Wawa Rewards to celebrate #FreeCoffeeTuesday tomorrow! // :camera_with_flash:: @schuporsalad',0,0,959,32,,,
CIMUbotL8OT,wawa,2020-11-29 23:06:10.000000,no,False,b'',b'',b':eyes:',0,0,743,8,,,
CILsRF9rfhY,wawa,2020-11-29 17:15:13.000000,no,False,b'',b'eatswith_vicky',"b""Thanksgiving's over and we wanna keep the party going. // :camera_with_flash:: @eatswith_vicky""",0,0,1150,41,,,
CILbGP_rEYe,wawa,2020-11-29 14:45:12.000000,no,False,b'',b'qiapet',"b'Holiday Blend all day, every day :wrapped_gift::hot_beverage: // :camera_with_flash:: @qiapet'",0,0,1046,13,,,
CIInFqUDscf,wawa,2020-11-28 12:32:15.000000,yes,False,b'',b'',"b'Safety first, then your favorite morning cup :red_heart_selector:'",7528,10.0,789,28,,,
CIHLTJFLsiK,wawa,2020-11-27 23:10:10.000000,no,False,b'',b'',b'Drop a :wrapped_gift: if you want to find the Wawa PEZ Holiday Truck in your stocking :Christmas_tree:',0,0,3383,574,,,
CIGoSUBhxd2,wawa,2020-11-27 18:04:15.000000,yes,False,b'blackfriday',b'',"b""Spending my entire #BlackFriday budget on Wawa swag :eyes: :hot_beverage: Get Wawa Delivery so you don't miss a minute of shopping AND the delivery fee is on us for orders over $12.""",7104,10.0,841,7,,,
CIGC3sFhOHG,wawa,2020-11-27 12:37:15.000000,yes,False,b'blackfriday',b'',b'#BlackFriday just got a whole lot better :raising_hands: Stay caffeinated for a day full of online shopping and enjoy a $0 Delivery fee on orders over $12.',3238,10.0,422,4,,,
CID3AzErEo6,wawa,2020-11-26 16:15:11.000000,no,False,b'',b'',"b'Pro Tip: Instead of cooking, order Gobblers ahead on the Wawa App.'",0,0,1365,23,,,
