shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY_vQOAob_,wayfair,2020-12-04 21:15:21.000000,no,False,b'',b'',b'How to channel the night before Christmas every night. Who decorates their bedroom for the holidays? :woman_raising_hand_selector: Bring home this look via our link in bio.',0,0,3347,38,,,
CIWhsZ3gizO,wayfair,2020-12-03 22:14:20.000000,no,False,b'',b'',"b'The latest Christmas tree trend = going gold. Who\xe2\x80\x99s a fan? Let us know below, and check out all tree styles via our link in bio.'",0,0,4738,53,,,
CIT7lcggJ6p,wayfair,2020-12-02 22:02:51.000000,no,False,b'',b'interiorswag',"b'When a tree fits this seamlessly into your space, do you ever take it down? Calling on @interiorswag to advise. In the meantime, shop this look and more via the link in bio.'",0,0,3672,46,,,
CIRTpjNg-DR,wayfair,2020-12-01 21:35:25.000000,no,False,b'',b'ourpnw_home',b'Modern meets merry in @ourpnw_home\xe2\x80\x99s stunning space. What\xe2\x80\x99s your holiday decorating style? Shop this look and more via the link in our bio.',0,0,1662,42,,,
CIQgjoHg7cZ,wayfair,2020-12-01 14:08:57.000000,no,False,b'kellyclarksonxwayfair',b'kellyclarkson',b'We\xe2\x80\x99re not dreaming of sugar plums \xe2\x80\x93 we\xe2\x80\x99re dreaming of the latest holiday styles from Kelly Clarkson Home. Get festive and cozy with @kellyclarkson\xe2\x80\x99s favorites through our link in bio. #KellyClarksonxWayfair',0,0,1121,16,,,
CIN7FORgiHI,wayfair,2020-11-30 14:03:07.000000,yes,False,b'',b'',b'Save up to 80% on thousands of must-have products during our biggest Cyber Monday ever! Shop this epic event now via our link in bio.',8833,10.066,251,25,,,
CILWB_EA-z2,wayfair,2020-11-29 14:00:49.000000,no,False,b'',b'gatheredliving',b'Save up to 80% on thousands of top picks during our biggest Cyber Monday ever. Bring home these styles and more today! Shop now via our link in bio. :camera:: @gatheredliving',0,0,3228,49,,,
CII3qohA6sv,wayfair,2020-11-28 14:56:58.000000,no,False,b'',b'',"b'Our biggest Black Friday ever is *finally* here! Save up to 80% on must-haves for your kitchen, living room, bedroom, and beyond. Shop now via our link in bio.'",0,0,2830,30,,,
CIGM8NCldL7,wayfair,2020-11-27 14:05:10.000000,no,False,b'',b'bungalow614',b'Black Friday is *finally* here! Gobble up great deals and save up to 80% on everything for your home. Score these looks and more via our link in bio. :camera:: @bungalow614',0,0,3397,29,,,
CIDudcpnsDJ,wayfair,2020-11-26 15:00:21.000000,no,False,b'',b'',"b'Happy Thanksgiving! How are you celebrating? From our family to yours, we hope you enjoy the day to the fullest.'",0,0,1266,33,,,
