shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYpzFoH1Am,westernunion,2020-12-04 18:03:38.000000,no,False,b'mentorship',b'westernunion',b'Learning from those who came before you is one of the best ways to get acclimated to a new job and improve your skills. Take a look at what a #Mentorship at @WesternUnion looks like.',0,0,282,12,,,
CIWixmEn9uz,westernunion,2020-12-03 22:23:47.000000,no,False,b'',b'',,0,0,195,3,,,
CIDmRYsnptB,westernunion,2020-11-26 13:48:46.000000,no,False,b'',b'',b'We asked and you answered! Check out what you said are your favorite Thanksgiving dishes.',0,0,215,66,,,
CIB_0WVncKy,westernunion,2020-11-25 22:53:31.000000,no,False,b'',b'',"b'The educational landscape may have changed forever in 2020, but the year can still herald something wonderful for young adults. If your children are looking to move abroad for higher education or a new job, or have had to remain there during the pandemic, there are some important ways you can help them adjust their financial habits for the new normal. Check the link in our bio for tips to help kids studying abroad to master unplanned expenses.'",0,0,151,18,,,
CIBaecynq0U,westernunion,2020-11-25 17:27:13.000000,no,False,b'',b'',,0,0,216,11,,,
CH-qL9_n5kW,westernunion,2020-11-24 15:46:47.000000,no,False,b'',b'',"b""Whether it's for business, retirement or studies there are many great reasons to make :India: your new home. We've got some tips to help you get started. Check the link in our bio.""",0,0,283,5,,,
CH8IajEHF7p,westernunion,2020-11-23 16:13:11.000000,no,False,b'',b'',"b'Our diverse talent is our most important asset and listening to our employees and encouraging ongoing, open dialog, from all levels of our company, is paramount to our success. It is important to Western Union that our employees have the information they need and feel that their concerns are heard. One of our ongoing goals is to foster greater communication and ensure that everyone feels informed and empowered.'",0,0,205,38,,,
CH1F62kHN7f,westernunion,2020-11-20 22:36:42.000000,no,False,b'',b'',b'Visit the link in our bio to read how Indian students can continue to live the \xe2\x80\x98study-abroad\xe2\x80\x99 dream even amid the pandemic.',0,0,212,35,,,
CH0dNsRHwW8,westernunion,2020-11-20 16:41:01.000000,no,False,b'',b'',"b""\xe2\x81\xa0\xe2\xa0\x80\n The Holidays are here, if you're thinking about sending money back home, we've got you covered. Read our blog for all the latest info. Visit the link in our bio.""",0,0,237,16,,,
CHyly7Xn5Xr,westernunion,2020-11-19 23:17:31.000000,no,False,b'',b'',"b'We have always taken seriously our responsibility to the employees who serve our customers. From offering competitive benefits to seeking out diversity to engaging with team members and continuing to help develop their skills, we work hard to take care of the people who work hard for us.'",0,0,233,22,,,
CHs5uKAndhl,westernunion,2020-11-17 18:16:11.000000,no,False,b'',b'',,0,0,214,33,,,
CHgC7sGHsAG,westernunion,2020-11-12 18:26:40.000000,yes,False,b'',b'',"b'This year brings a Diwali unlike any in recent memory. With its lights, ornate clothing and elaborate decorations, Diwali traditionally brings family and friends together, gathered to enjoy five days of food, drink, and the company of their loved ones. In the age of COVID, however, many families are facing a Diwali when they can\xe2\x80\x99t be together. What happens then? Read our suggestions in the link in our bio.'",15267,10.006,157,42,,,
CHOUqfRHXZt,westernunion,2020-11-05 21:15:10.000000,no,False,b'',b'',b'Just because you\xe2\x80\x99re at home doesn\xe2\x80\x99t mean you can\xe2\x80\x99t share memorable moments with family and friends. Check out the link in our bio for 20 fun ideas for spending time with loved ones around the world.',0,0,199,152,,,
CG-QMoTH6PY,westernunion,2020-10-30 15:28:17.000000,no,False,b'',b'',b'Tag your favorite travel companion.',0,0,241,55,,,
CG8HTilH0FT,westernunion,2020-10-29 19:33:26.000000,yes,False,b'',b'',b'Western Union wants to make it as convenient and fast as possible for you or your loved ones to receive your money. Read more on the options Western Union has available. Read more in the link in our bio.',2480,15.0,167,27,,,
CGpmVvoH6-G,westernunion,2020-10-22 14:57:43.000000,no,False,b'',b'',b'What\xe2\x80\x99s your favorite thing to write about?',0,0,244,92,,,
CGieihHnb3Q,westernunion,2020-10-19 20:34:52.000000,no,False,b'',b'',"b'In the 3rd and final part of our interview series, filmmaker and author Roy Germano goes in depth into how changes in international attitudes are affecting migrants. \xe2\x81\xa0\xe2\xa0\x80\n\xe2\x81\xa0\xe2\xa0\x80\nRead more in the link in our bio. \xe2\x81\xa0\xe2\xa0\x80'",0,0,219,58,,,
CGU9BP8HphI,westernunion,2020-10-14 14:31:50.000000,no,False,b'',b'',,0,0,226,60,,,
CGILC4mnYwa,westernunion,2020-10-09 15:24:16.000000,no,False,b'',b'',b'Filmmaker and author Roy Germano discusses how changing economic situations are impacting migration in the 2nd part of our interview series. \xe2\x81\xa0\xe2\xa0\x80\n\xe2\x81\xa0\xe2\xa0\x80\nVisit the link in our bio. \xe2\x81\xa0\xe2\xa0\x80',0,0,212,35,,,
CF-D_bhnNrk,westernunion,2020-10-05 17:10:14.000000,no,False,b'',b'',,0,0,315,86,,,
CF2G-kDHv7S,westernunion,2020-10-02 15:02:24.000000,no,False,b'',b'',"b'In the 1st part of our interview series, filmmaker and author Roy Germano discusses how the money migrants send home supports their families, communities, and country.\xe2\x81\xa0\xe2\xa0\x80\nVisit the link in our bio to read more.'",0,0,318,38,,,
CFsn8D4HAwC,westernunion,2020-09-28 22:38:16.000000,yes,False,b'befraudsmart',b'',"b'Be on the lookout for elaborate and realistic-looking messages convincing you that you are the lucky winner of the grand prize. Before you assume you\xe2\x80\x99ve just won big, check out the following facts and watch the video to understand how some sweepstakes scams work. #BeFraudSmart'",3396,20.0,170,56,,,
CFS3WUKHphk,westernunion,2020-09-18 22:32:37.000000,yes,False,b'',b'',"b'Navigating the immigration process has its challenges & while you\xe2\x80\x99re doing your best to make sure your immigration materials are handled effectively, you must also watch out for would-be scammers.'",2699,20.0,173,88,,,
CE-OKpkHM6W,westernunion,2020-09-10 22:07:45.000000,no,False,b'esgreport',b'',"b'Western Union\xe2\x80\x99s NGO GlobalPay provides NGOs better ways to manage and deliver funds where they are needed, making it easier to send payments globally in more than 130 currencies by wire, draft, retail cash, or mobile wallet deposit. #ESGReport'",0,0,268,101,,,
CExHlOlAvjw,westernunion,2020-09-05 20:00:07.000000,no,False,b'',b'',,0,0,374,76,,,
CEpLyCEHK8S,westernunion,2020-09-02 18:02:52.000000,no,False,b'',b'',"b'With millions of international students in the world today, we enable universities to offer their students a fast and easy way to pay their tuition and fees, facilitating education opportunities.'",0,0,322,45,,,
CEmfRQqnVs6,westernunion,2020-09-01 16:55:28.000000,yes,False,b'',b'',"b'Like businesses everywhere, Western Union was dramatically impacted by the COVID-19 pandemic. But by drawing on our 169-year history of innovating to meet our customers where- and however they need us, in good times and bad, we quickly began piloting several initiatives to ensure that customers who were unaccustomed or unable to use digital transfers could still send and receive money. Read more at the link in our bio.'",2850,6.0,265,47,,,
CEj0KGNFhV-,westernunion,2020-08-31 16:00:18.000000,yes,False,b'',b'',"b'In a tech-savvy world, it is common for couples to meet online through dating websites or apps. Unfortunately, not everyone joining these dating platforms is looking for true love. The frequency of online romances has caught the attention of fraudsters who manipulate people seeking companionship through romance scams.'",1856,20.0,131,17,,,
CEaIonDnp1X,westernunion,2020-08-27 21:47:00.000000,yes,False,b'withrefugees',b'efe_global',b'@efe_global helped Abeer get the training she needed to gain steady employment and provide for her family. Join us in celebrating people like Abeer! #WithRefugees',2389,38.966,146,33,,,
CEW4u_lFGX0,westernunion,2020-08-26 15:30:07.000000,no,False,b'',b'',,0,0,227,30,,,
CERylYNj2wn,westernunion,2020-08-24 16:00:13.000000,no,False,b'',b'',"b""At Western Union, we believe that having a mentor is one of the best ways to grow professionally. Check out our latest blog article to see how a mentorship have changed our employee's lives. Visit the link in our bio read more.""",0,0,192,68,,,
CEFgXl0jcdU,westernunion,2020-08-19 21:30:07.000000,no,False,b'',b'',,0,0,351,113,,,
CD83n0ogmtP,westernunion,2020-08-16 13:00:09.000000,no,False,b'',b'',,0,0,301,91,,,
CD4E2QVlOQ8,westernunion,2020-08-14 16:19:31.000000,no,False,b'',b'',"b'Universities and Colleges today are facing the unprecedented challenge of a global pandemic. In response, we\xe2\x80\x99re seeing academic institutions around the world introduce new, creative and innovative procedures to adapt to this period of uncertainty so that they continue to meet the needs of their students. Read more in our link in bio.'",0,0,234,53,,,
CD1Y-DzgQ4X,westernunion,2020-08-13 15:17:39.000000,yes,False,b'befraudsmart',b'',"b'Recognize the signs of a scam if someone contacts you via phone or email offering to sell products that prevent or cure diseases with vaccinations, prescriptions, or test kits. #BeFraudSmart Learn more by checking out our link in our bio.'",1811,14.966,131,23,,,
CDhJsicALGE,westernunion,2020-08-05 18:39:24.000000,no,False,b'',b'',,0,0,427,125,,,
