shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY59YHAxDl,wholefoods,2020-12-04 20:24:51.000000,no,False,b'nationalcookieday',"b'milkbarstore,milkbarstore,christinatosi'",b'Which one should we try first: Pancake :pancakes: Cookies OR Chocolate Confetti :party_popper:? Introducing new outside-the-box cookie confections from @milkbarstore. These cookies will make other cookies jealous \xe2\x80\x94 perfect for #NationalCookieDay. Click the link in bio to stock up on these new (and exclusive) cookies and check out today\xe2\x80\x99s Story for more cookie :cookie: inspiration from @milkbarstore\xe2\x80\x99s @christinatosi!',0,0,4452,104,,,
CIWZv8VAKrC,wholefoods,2020-12-03 21:04:55.000000,no,False,b'toast',b'olivesnthyme',"b'Warm up with this morning masterpiece from @olivesnthyme :bread: Yep, this peanut butter, raspberry, chia #toast is giving us all the cozy breakfast vibes. Check out our story for even more chilly-day breakfast inspo.'",0,0,5789,76,,,
CIMWItZJa6X,wholefoods,2020-11-29 23:20:56.000000,no,False,b'',b'',"b'Pairs well with decorating the :Christmas_tree:tree, cozying up by the fireside, or with a cup of hot cocoa :winking_face:'",0,0,8756,150,,b'Whole Foods Market',30.4062848527 -97.7201271057
CIB77LkJMtV,wholefoods,2020-11-25 22:19:30.000000,no,False,b'linkinbio',b'',b'Need something for your stuffing? Forgot an ingredient for your pie? Even the most prepared chefs end up needing an extra ingredient or two on Thanksgiving. We got you. Head to your local store tomorrow for your last-minute shop \xe2\x80\x94 visit the #linkinbio for store hours.',0,0,3286,87,,,
CH_HT-qgfui,wholefoods,2020-11-24 20:01:18.000000,no,False,b'',b'',b'Turn :backhand_index_pointing_up: the brightness. These five holiday side dishes overdeliver on delicious and bring a whole garden of colorful veggies to the table in one irresistible form after another. Link in bio for all the recipes.',0,0,3999,63,,,
CH_HT-qgfui,wholefoods,2020-11-24 20:01:18.000000,no,False,b'',b'',b'Turn :backhand_index_pointing_up: the brightness. These five holiday side dishes overdeliver on delicious and bring a whole garden of colorful veggies to the table in one irresistible form after another. Link in bio for all the recipes.',0,0,3999,63,,,
CHyPcArAqVa,wholefoods,2020-11-19 20:02:09.000000,no,False,b'',b'',b'Should I freeze the pie dough? How big a turkey do I need? When should I make the stuffing? Is Aunt Tina gluten-free? We\xe2\x80\x99ve got answers to all these questions and more in our foolproof Thanksgiving game plan. See our story for all the juicy details.',0,0,3888,63,,,
CHvW5_zAztx,wholefoods,2020-11-18 17:09:41.000000,no,False,b'',b'',"b'If fall were a pie, it\xe2\x80\x99d be the Scarlett Pie. Developed and named after Scarlett, a Senior Team Leader from the Champions store in Houston, this flaky pie is filled with pear, apple, figs and cranberries then topped with a crispy walnut streusel. The inspiration behind it? Scarlett wanted a pie that \xe2\x80\x9ctasted like the holidays.\xe2\x80\x9d Don\xe2\x80\x99t miss out \xe2\x80\x93 the pie is only available during the holiday season!'",0,0,3634,127,,,
CHoIOUCJsak,wholefoods,2020-11-15 21:46:43.000000,no,False,b'',b'',"b""For the feast of the year, a little prep goes a long way. Head over to today's Instagram Story for our guide to buying and storing Thanksgiving groceries.""",0,0,3770,39,,,
CHgjUP_pNC8,wholefoods,2020-11-12 23:09:31.000000,no,False,b'',b'',b'Ready to build this season\xe2\x80\x99s best cheese board? We asked our cheese :cheese_wedge: experts to share their cheat sheet \xe2\x80\x93 head to today\xe2\x80\x99s Instagram Story for the scoop!',0,0,12972,133,,,
CHWZh8HJMPZ,wholefoods,2020-11-09 00:31:36.000000,no,False,b'',b'',"b'NOW OPEN: Three new stores! :party_popper: If you\xe2\x80\x99re in Fort Lauderdale, FL or Sherman Oaks or Sunnyvale, CA, come stop by! Each of our new locations feature a colorful assortment of organics and fresh produce along with an extensive selection of items from local suppliers throughout the store. Enjoy the second-story outdoor lounge seating at Sherman Oaks, to-go food and cocktails from Floodcraft Brewing Co. at Sunnyvale, and pick-up sushi and poke bowls from Sushi Maki at our Fort Lauderdale store. With something for everyone, we can\xe2\x80\x99t wait to see you there! :green_heart:'",0,0,9183,257,,b'Whole Foods Market',26.1535429404 -80.117648542
CHVgi2zpjrC,wholefoods,2020-11-08 16:13:40.000000,no,False,b'',b'',b'Just in time for pie :pie: season: 365 Oat-Based Whipped Topping.',0,0,22702,760,,b'Whole Foods Market',30.4062848527 -97.7201271057
CHEJPm1HKNw,wholefoods,2020-11-01 22:40:16.000000,yes,True,"b'wfmxchefchloe,sponsored'",b'chefchloe',"b""Just in time for World Vegan Day, Chef Chloe Coscarelli showed us how to make a Vegan Pumpkin Marble Cake! It's the perfect addition to @chefchloe\xe2\x80\x99s Vegan Meal for 2 -- available to order now on shop.wfm.com (link in bio!). Get the recipe for the cake below! #WFMxChefChloe #Sponsored\n\nVegan Pumpkin Marble Cake (Makes 1 loaf)\nIngredients: \n- 2 cups 365 All-Purpose Flour \n- 1 cup 365 Organic Cane Sugar \n- 1 teaspoon 365 Baking Powder\n- 1 teaspoon sea salt\n- \xc2\xbd teaspoon 365 Baking Soda\n- 1 tablespoon pumpkin pie spice\n- 1 cup canned pumpkin puree (or sweet potato puree)\n- 1 cup 365 unsweetened Coconut Cream, mixed well before measuring\n- \xc2\xbd cup 365 Organic Coconut Oil, melted\n- 1 tablespoon apple cider vinegar \n- 1 tablespoon pure vanilla extract\n- 3 tablespoons unsweetened cocoa powder\n- \xc2\xbd cup vegan chocolate chips (optional)\n- 365 Non-Dairy Plant-Based whipped cream or powdered sugar, for topping\n\nInstructions:\nPreheat the oven to 350 degrees. Lightly grease a large loaf pan and/or line with parchment. \n\nWhisk flour, sugar, baking powder, salt, baking soda, and pumpkin pie spice. In another bowl, whisk together pumpkin puree, coconut cream, coconut oil, vinegar, and vanilla. Pour the wet mixture into the dry mixture and whisk until just combined (don\xe2\x80\x99t overmix!). \n\nTransfer \xc2\xbd cup batter into a small bowl and stir in cocoa powder and 2 tablespoons water until incorporated. \n\nFill the prepared pan with alternating dollops of pumpkin batter and chocolate batter. Sprinkle in chocolate chips, if using. Using a thin knife or chopstick, gently swirl the chocolate batter into the pumpkin batter. Bake for ~60 minutes. Let cool and slice. Top each slice with 365 by Whole Foods Market Non-Dairy Whipped Cream or powdered sugar.""",33809,1475.625,955,1824,,,
CHBUKkcJKsI,wholefoods,2020-10-31 20:00:40.000000,no,True,"b'sponsored,chefchloexwfm'",b'chefchloe',"b'In celebration of World Vegan Day, tune in to Instagram Live tomorrow at 1 pm PT/4 pm ET for a special bake-along with vegan chef, baker and author Chloe Coscarelli. Join our chat with @chefchloe as she talks about her exclusive Vegan Meal for 2 and then bake one of her favorite desserts \xe2\x80\x94 a Pumpkin Marble Swirl Cake. Swipe to see what ingredients you\xe2\x80\x99ll need, then bake along with her! #sponsored #chefchloexwfm'",0,0,2178,232,,,
CHAzES0Jtd0,wholefoods,2020-10-31 15:11:28.000000,no,False,b'',b'mrahayes',"b""Happy Halloween! :jack-o-lantern: We've got one last treat up our sleeve that's sure to be a crowd pleaser for the whole family. Don't get distracted by the wheels of cheese and piles of pumpkins: Can you spot the following in this spooky version of our store?\n \n1. A mummy with a Whole Foods Market bag\n2. A punk Frankenstein\n3. A zombie with a green juice\n4. A hippie ghost\n5. A skeleton stocking up on supplements\n6. A ghost with a Whole Foods apron\n7. A werewolf picking up an important item\n8. A dracula team member\n9. A witch stirring a pot of soup\n \n \nIllustration by @mrahayes""",0,0,11032,262,,,
CG-OzLRp_Kl,wholefoods,2020-10-30 15:16:04.000000,no,False,b'',b'',b'Trick? Or treat? You decide! Tap the image and make your pick by tapping either account tag.',0,0,2898,63,,,
CG8RscQppIF,wholefoods,2020-10-29 21:02:53.000000,no,False,b'',b'',b'Trick? Or treat? You decide! Tap the image and make your pick by tapping either account tag.',0,0,3227,52,,,
CG7u1m7JHy8,wholefoods,2020-10-29 15:58:18.000000,no,False,b'',b'',b'Trick? Or treat? You decide! Tap the image and make your pick by tapping either account tag.',0,0,2202,23,,,
CG5sRMxJLjK,wholefoods,2020-10-28 20:57:22.000000,no,False,b'',b'',b'Trick? Or treat? You decide! Tap the image and make your pick by tapping either account tag.',0,0,2617,49,,,
CG5LcFRJcG8,wholefoods,2020-10-28 16:10:30.000000,no,False,b'',b'',b'Trick? Or treat? You decide! Tap the image and make your pick by tapping either account tag.',0,0,3260,38,,,
