shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYik0eBKHj,xbox,2020-12-04 17:00:31.000000,no,False,b'madden21',b'',"b""It's about to get real #Madden21""",0,0,79922,1265,,,
CIV9wpVBvdo,xbox,2020-12-03 17:00:43.000000,yes,False,b'',b'',b'Lose your balance. Gain Control.',240761,20.881,51336,789,,,
CITgGSehpzc,xbox,2020-12-02 18:02:40.000000,no,False,b'',b'',b'Dream in color',0,0,158539,2218,,,
CIQ7AAGBypl,xbox,2020-12-01 18:00:01.000000,no,False,b'',b'',b'Share your theme music too',0,0,275539,20455,,,
CID8KFRhzKy,xbox,2020-11-26 17:00:01.000000,no,False,b'',b'',b'The perfect save point',0,0,347230,4000,,,
CIBqM-KFHlw,xbox,2020-11-25 20:00:01.000000,yes,False,b'xboxseriess',b'',"b'Small console, big future. Welcome to next-gen gaming #XboxSeriesS'",225684,29.966,59222,1548,,,
CH_iyP6FKRu,xbox,2020-11-25 00:01:20.000000,no,False,b'eliteseries2',b'',"b'If it were any more elite, it would play games on its own. #EliteSeries2'",0,0,345519,3339,,,
CH9J4O9hIFx,xbox,2020-11-24 01:45:13.000000,no,False,b'',b'',b'News to us',0,0,292958,4413,,,
CH5o_BJFNH5,xbox,2020-11-22 17:00:11.000000,yes,False,b'xboxseriess',b'',b'You can game small and still play big #XboxSeriesS',306379,10.066,83234,1724,,,
CHyZgdIhbY1,xbox,2020-11-19 21:30:08.000000,no,False,b'',b'',b'Important message :video_game::green_heart:',0,0,568440,14266,,,
CHsxBziBY7c,xbox,2020-11-17 17:00:14.000000,no,False,"b'destiny2,beyondlight'",b'',b'You have our permission to shiver. #Destiny2 #BeyondLight',0,0,479540,3825,,,
CHi_LovhZzA,xbox,2020-11-13 22:00:03.000000,yes,False,b'',b'',b'Thanks for helping us kick off the next generation of play.',358869,135.8,80347,2193,,,
CHid0r8B0Ds,xbox,2020-11-13 17:00:00.000000,no,False,b'',b'',b'Zombies return. On Friday the 13th. What could go wrong?',0,0,318208,2996,,,
CHgGzVBlhip,xbox,2020-11-12 19:00:22.000000,no,False,b'assassinscreedvalhalla',b'',b'Show us your war face #AssassinsCreedValhalla',0,0,379624,4829,,,
CHeQUSmBWRM,xbox,2020-11-12 01:45:01.000000,no,False,b'',b'',b':upside-down_face:',0,0,1008895,24976,,,
CHdTNeKh9nf,xbox,2020-11-11 17:00:04.000000,yes,False,b'',b'',"b'The smallest, sleekest Xbox ever.'",775295,320.933,152869,2270,,,
CHaa2Lyh0dv,xbox,2020-11-10 14:00:04.000000,no,False,b'poweryourdreams',b'',"b""The best dreams don't stay dreams forever. Xbox Series X|S are out now. #PowerYourDreams""",0,0,451588,8075,,,
CHYeS35htPn,xbox,2020-11-09 20:00:05.000000,yes,False,b'',b'',b'Packaging makes perfect.',861117,298.326,196051,2907,,,
CHYD0lZlbPq,xbox,2020-11-09 16:00:24.000000,no,False,b'poweryourdreams',b'',"b'Dreams, meet Dreamer. Xbox Series X|S launch soon. #PowerYourDreams'",0,0,337421,3498,,,
CHVzALQl0tx,xbox,2020-11-08 19:00:46.000000,yes,False,b'poweryourdreams',b'',b'Find out where your imagination leads #PowerYourDreams',219211,29.966,64024,1155,,,
CHS1cydFRJE,xbox,2020-11-07 16:00:17.000000,yes,False,b'',b'',b'Grab your shield and get a taste for mead.',244697,20.064,67795,562,,,
CHQiJFjBXmi,xbox,2020-11-06 18:00:01.000000,yes,False,b'',b'',b':white_circle::black_circle::hourglass_not_done:almost time to go Dark :hourglass_not_done::black_circle::white_circle:',566637,7.903,131920,1316,,,
CHOkG3yhZ_v,xbox,2020-11-05 23:30:06.000000,no,False,b'',b'',"b'So fresh and so clean, you can almost feel them through the screen.'",0,0,542111,3882,,,
CHN_Klmlr0M,xbox,2020-11-05 18:07:32.000000,yes,False,b'',b'',b'You know what to do. Pre-Order Yakuza: Like a Dragon',556472,10.833,90816,937,,,
CHGJGQKlExG,xbox,2020-11-02 17:00:10.000000,no,False,b'watchdogslegion',b'',b'Mask on. #WatchDogsLegion is available now',0,0,267003,2510,,,
CHA4pf3lkOQ,xbox,2020-10-31 16:00:14.000000,no,False,b'',b'',"b""Come in... We swear the Series X doesn't bite. We fixed that in the Beta""",0,0,396061,4220,,,
CG-T1CvBZZk,xbox,2020-10-30 16:02:11.000000,yes,False,b'',b'',b'A controller unboxing to better prepare you for your own controller unboxing.',908156,372.759,217030,4536,,,
CG8QtydFg9y,xbox,2020-10-29 21:00:14.000000,yes,False,b'',b'',"b""Take to the skies of South America, Central America, and the Caribbean in Episode 6 of Microsoft Flight Simulator's Around the World.""",405273,187.7,94584,1148,,,
CG5Pi__lJxp,xbox,2020-10-28 17:00:13.000000,yes,False,b'',b'',"b""We thought the joke hadn't reached its full potential yet.""",1474517,192.48,401666,9477,,,
CG26G7eFFgN,xbox,2020-10-27 19:00:35.000000,no,False,b'poweryourdreams',b'',b'The countdown continues. 14 days till launch :rocket:#PowerYourDreams',0,0,179469,3280,,,
CGvEzJKF8Zh,xbox,2020-10-24 18:00:12.000000,yes,False,b'',b'',"b""If you can't see them, maybe they can't see you. Can't argue with that logic""",477792,11.1,121405,1314,,,
CGqN4uvlHgK,xbox,2020-10-22 21:00:24.000000,yes,False,b'',b'',"b""Episode 5 of Microsoft Flight Simulator's Around the World takes you across North America with its landmarks and nature.""",501272,190.033,111145,1351,,,
CGlS-njFIoT,xbox,2020-10-20 23:00:06.000000,yes,False,b'poweryourdreams',b'',b':video_game:Three :video_game:Weeks :video_game:Left #PowerYourDreams',890335,3.3,278659,4652,,,
CGfhNrflPRy,xbox,2020-10-18 17:00:31.000000,no,False,b'',b'',b'Boost your own defense stats and give a buff to frontline workers in the process.\n\nAll mask sales proceeds go toward providing masks to workers in need.',0,0,232369,2238,,,
CGdKICJl5GE,xbox,2020-10-17 19:00:17.000000,no,False,b'',b'',b':green_heart:',0,0,445573,9863,,,
CGaQuDLFQ9q,xbox,2020-10-16 16:00:21.000000,yes,False,b'',b'',b'Which came first the cup or the console? Debate below.',485994,16.866,113304,2700,,,
CGVOAwEnaUr,xbox,2020-10-14 17:00:29.000000,yes,False,b'',b'',"b""Crazy to think about how many different places we've gone with just our thumbs.""",1839495,13.5,442835,5349,,,
CGShlihF81a,xbox,2020-10-13 16:00:19.000000,yes,False,b'poweryourdreams',b'',b'4 :clapping_hands: WEEKS :clapping_hands: #PowerYourDreams',801881,7.2,258522,4358,,,
CGQmyX7FrUp,xbox,2020-10-12 22:00:37.000000,no,False,b'',b'',b'How it started -> How it\xe2\x80\x99s going',0,0,485227,7794,,,
CGH4ugfFsja,xbox,2020-10-09 13:01:52.000000,yes,False,"b'poweryourdreams,xboxseriesx'",b'',b'#PowerYourDreams with #XboxSeriesX',499478,68.253,123640,2646,,,
CGFqJdPlxf4,xbox,2020-10-08 16:00:02.000000,yes,False,b'poweryourdreams',b'',b'Get a sneak peek at the new #PowerYourDreams trailer dropping tomorrow. Stay tuned for more. :eyes:',780614,3.333,179550,1617,,,
CF45TCEFYc_,xbox,2020-10-03 17:00:35.000000,no,False,b'',b'',b'facts',0,0,635093,16635,,,
CF0QkN7FS8o,xbox,2020-10-01 22:00:09.000000,yes,False,b'',b'',"b""Cruise over Europe and see the sights in Episode 4 of Microsoft Flight Simulator's Around the World""",614087,187.6,131229,1629,,,
CFumFbSl7Tr,xbox,2020-09-29 17:00:18.000000,no,False,b'',b'',"b""Designed for Xbox, so the games are ready to go where you go. Comment where you'd play first.""",0,0,223941,3795,,,
CFcXwbzlvv4,xbox,2020-09-22 15:08:46.000000,no,False,"b'poweryourdreams,xboxseriesx,xboxseriess'",b'',"b'Whichever one you pre-order, get ready for a next generation experience. #PowerYourDreams #XboxSeriesX #XboxSeriesS'",0,0,463102,10729,,,
CFabMlVlSiE,xbox,2020-09-21 21:00:20.000000,no,False,b'',b'',"b""What's your favorite controller color? Comment below or, better yet, make it yourself in Xbox Design Lab. The Xbox Design Lab will be taking a small break soon but don't worry, it'll be back.""",0,0,402769,3764,,,
