shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXyp-ZBKqF,xiaomi.global,2020-12-04 10:02:04.000000,yes,False,"b'mi10tlite,mi10tseries,poweryourcreativity,unboxingvideo,colorfullife'",b'',b'The first date with the love of your life always needs a sense of ceremony. Fancy a first date with #Mi10TLite? Double tap if your answer is yes :winking_face:\n.\n.\n.\n.\n.\n#Mi10TSeries #PowerYourCreativity #unboxingvideo #colorfullife',185820,42.2,24423,326,,,
CIVaUddnBrB,xiaomi.global,2020-12-03 11:51:03.000000,yes,False,b'poweryourcreativity',"b'thejasonpaul,redbull,xiaomi.deutschland'",b'German freerunner @thejasonpaul has our adrenaline pumping! Watch as he races past iconic landmarks in Hamburg. Shout out to @redbull and @xiaomi.deutschland for this fantastic video! \n#PowerYourCreativity',516820,54.4,54433,427,,,
CISo5lTH06Q,xiaomi.global,2020-12-02 10:00:33.000000,yes,False,"b'xiaomistudios,mi10tpro,mi10tpro,creativityforeveryone,poweryourcreativity'",b'luis_guanzon',"b'Sometimes it\'s not about the places you go or the memories you make... it\'s the ones you share them with. Check out the latest #XiaomiStudios film ""Love, Dad"" shot by our Mi Creator @luis_guanzon on the #Mi10TPro\n \nShot on #Mi10TPro (additional hardware used)\n\n#CreativityForEveryone #PowerYourCreativity'",54844,147.991,5513,55,,,
CIQR3TOn2f-,xiaomi.global,2020-12-01 12:00:34.000000,no,False,"b'mi10lite,lightscameraaction,staycool,cooltech,liquidcooling'",b'',b'The Aurora Blue #Mi10Lite provides you with much more than a gorgeous appearance. The 7nm EUV process with LiquidCool technology also allows you to stay cool 24/7.\n.\n.\n.\n.\n.\n#LightsCameraAction #staycool #cooltech #liquidcooling',0,0,75064,191,,,
CIP3fMfhk0m,xiaomi.global,2020-12-01 08:11:16.000000,yes,False,"b'mi10tpro,shoustoppicks'",b'shouzichew',"b'Ready...\nSet...\nGo! \n\nOur ""Xiaomi Smart Shopper Challenge"" begins now! \n\nAt the end, you can discover which Mi Fan family will be gifted a Xiaomi bundle worth $1,000 by our President of International, @shouzichew. Another family will also get a #Mi10TPro. \n\nDon\'t miss this special episode of #ShousTopPicks'",51793,305.6,5290,50,,,
CIN6BUBhR7l,xiaomi.global,2020-11-30 13:56:06.000000,yes,False,"b'shootlikeapro,mi10tpro'",b'',"b'How to make your photos stand out? Light scattering will always work!\n\nThink it, create it and capture it \n\nLearn how to #ShootLikeAPro with #Mi10TPro'",52754,49.76,7640,38,,,
CILF5FTndV8,xiaomi.global,2020-11-29 11:39:45.000000,no,False,"b'quadcamerabigdisplay,redmi9,blackandwhitephotos,architecturephoto'",b'edward___shi',"b'When it comes to black and white photos, people will always be able to find amazing patterns and dream about a brighter tomorrow. :camera:: @edward___shi \n. \n.\n.\n.\n.\n#QuadCameraBigDisplay #Redmi9 #blackandwhitephotos #architecturephoto'",0,0,15396,49,,,
CIIgHyJnv6O,xiaomi.global,2020-11-28 11:31:14.000000,no,False,"b'mismartspeaker,smartlivingforeveryone,smartlifemadesimple,playlists,musiclover'",b'',b'The high-class speaker grille protects your #MiSmartSpeaker from\ndust without reducing sound quality. This allows you to enjoy rich and detailed\nsound day and night.\n.\n.\n.\n.\n.\n#SmartLivingForEveryone #SmartLifeMadeSimple #playlists #musiclover',0,0,23739,103,,,
CIFzxeWBp8J,xiaomi.global,2020-11-27 10:26:23.000000,yes,False,"b'misterybox,mi10tlite,poweryourcreativity'",b'xiaomify',"b'In the latest episode of #MiSteryBOX, we challenged @Xiaomify to introduce the #Mi10TLite to one of his friends. Which features would you pick to introduce? :thinking_face:\n#PowerYourCreativity'",205636,268.566,18720,122,,,
CIDWO2RHG-f,xiaomi.global,2020-11-26 11:28:37.000000,no,False,"b'mi10tpro,poweryourcreativity,mi10tseries,startrail,astrophoto'",b'novak_995',"b'It\xe2\x80\x99s not every day that you get to see star trails, it\xe2\x80\x99s even harder to capture them. With the AI Skyscaping 3.0 function of #Mi10TPro, you are able to not just see, but easily capture nature in superb ways. Big thanks to our Mi Explorer @novak_995, for capturing this moment.\n.\n.\n.\n.\n.\n#PowerYourCreativity #Mi10TSeries #startrail #astrophoto'",0,0,19532,89,,,
