shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHvjoejptyq,xpologistics,2020-11-18 19:00:54.000000,no,False,paris,beingkatlynlewicke,b'Oui louvre seeing XPO on the streets of #Paris! :France:\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n:camera_with_flash:: @beingkatlynlewicke',0,0,172,18,,"Paris, France",48.8573 2.3492
CHAv56PJTMA,xpologistics,2020-10-31 14:43:50.000000,no,False,happyhalloween,,b'#HappyHalloween from XPO! :spider_web::spider:',0,0,260,8,,,
CGsbT2fpDnW,xpologistics,2020-10-23 17:19:03.000000,no,False,"wearitpink,susangkomen,breastcancerawareness,pink,fightforthecure,wearexpo,xpologistics",,"b'In October, we wear PINK! :ribbon:\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n#WearItPink #susangkomen #breastcancerawareness #pink #fightforthecure #WeAreXPO #XPOLogistics'",0,0,297,11,,,
CGS3--Kpcec,xpologistics,2020-10-13 19:09:22.000000,no,False,"xpologistics,wearexpo,rainbow,truck,tuesday,tuesdaymotivation",sophieblazereleclerc,b'We\xe2\x80\x99re loving this double :rainbow: view!\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n#XPOLogistics #WeAreXPO #rainbow #truck #tuesday #tuesdaymotivation\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n:camera_with_flash:: @sophieblazereleclerc',0,0,348,27,,France,47.0 2.0
CGGAYyWpIu5,xpologistics,2020-10-08 19:12:40.000000,no,False,"breastcancer,xpo,wearexpo,komen,pinktober,donations,partner,breastcancerawareness,susangkomen",susangkomen,"b'Today, we will be matching all donations to @susangkomen up to $10,000 to help fight #breastcancer and fulfill our promise to end this disease. With your support, we can fund lifesaving research and provide ongoing support and critical assistance to people with breast cancer and their families in the communities where they live. To join XPO in the fight, click the link in our bio. :ribbon:\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n\n#XPO #WeAreXPO #Komen #pinktober #donations #partner #BreastCancerAwareness #SusanGKomen'",0,0,83,2,,,
CFuhMdBpw4X,xpologistics,2020-09-29 16:17:34.000000,no,False,"nationalcoffeeday,coffee,cup,mug,coffeelover,coffeetime,drink,xpo,xpologistics,wearexpo",,b'Isn\xe2\x80\x99t it brew-tiful? :hot_beverage: #NationalCoffeeDay\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n#coffee #cup #mug #coffeelover #coffeetime #drink #XPO #XPOLogistics #WeAreXPO',0,0,282,16,,,
CFctzo8pxOI,xpologistics,2020-09-22 18:21:26.000000,no,False,"letourdefrance,cycling,bikes,truck,race,xpo,france,crosscountry,wearexpo,mountains,road,summer,view,drive",letourdefrance,"b'The spectators have gone, the bikes are packed and the roads are wide open. Until next year, @letourdefrance! :bicycle::delivery_truck::waving_hand:\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n#letourdefrance #cycling #bikes #truck #race #xpo #France #crosscountry #WeAreXPO #mountains #road #summer #view #drive'",0,0,363,17,,,
CFIoCmGJc8S,xpologistics,2020-09-14 23:06:15.000000,no,False,"nationaldriverappreciationweek,driverappreciationweek,appreciation,selfie,trucker,xpologistics,truck",,b'S/O to XPO driver John Cannon for going the extra mile each and every day. :clapping_hands::delivery_truck:\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n#NationalDriverAppreciationWeek #DriverAppreciationWeek #appreciation #selfie #trucker #xpologistics #truck',0,0,265,16,,,
CEpYdepJ8Bb,xpologistics,2020-09-02 19:53:39.000000,no,False,"tdf,tourdefrance,letour,tdf2020,cycling,xpo,truck,mountains",letourdefrance,"b'40 years transporting @LeTourDeFrance, and the view never gets old! :bicycle:\n\xc2\xa0 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n:camera_with_flash:: Thierry Pons, XPO driver, in Montrond, Provence-Alpes-Cote D\xe2\x80\x99Azur, France #tdf #tourdefrance #letour #TDF2020 #cycling #xpo #truck #mountains'",0,0,279,32,,"Montrond, Provence-Alpes-Cote D'Azur, France",44.3831 5.74246
CD_bxi1pyO1,xpologistics,2020-08-17 12:54:30.000000,no,False,"breastcancer,wearexpo,masksforkomen,giveaway,komen3day,linkinbio","susangkomen,susangkomen","b'We\xe2\x80\x99re wearing masks for our safety and the safety of others, but also in support of #breastcancer! To show our support for @susangkomen, we\xe2\x80\x99re giving away 100 free masks to the first 100 people who:\n\xc2\xa0\n-Like this photo\xc2\xa0:check_mark:\xc2\xa0\n-Follow the @susangkomen IG account\xc2\xa0:clapping_hands:\n-Tag a friend or family member in the comments who you\xe2\x80\x99d walk for to show your support\xc2\xa0:growing_heart:\xc2\xa0\n\nWe\xe2\x80\x99ll DM the first 100 people who like, follow and comment by 8/24/20 to obtain an address for a mask delivery!\n#WeAreXPO #MasksForKomen #giveaway #Komen3Day\n\n-US only. Limit one mask per entry.\xc2\xa0\n-Check out our XPO store for all of our branded goodies! #LinkInBio'",0,0,379,112,,,
