shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIHKNRmHVs9,yahoo,2020-11-27 23:01,no,False,"yahoo,cyclist,cycle,move,christmas,lights,covid,coronavirus,disease,london,uk",,"b'A cyclist moves cycles past the Christmas lights on Oxford Street amid the coronavirus disease (COVID-19) outbreak in London, Britain, November 19, 2020. (REUTERS/Simon Dawson)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #cyclist #cycle #move #christmas #lights #covid #coronavirus #disease #london #uk'",0,0,50,0,50,,
CIGuwBmHlTS,yahoo,2020-11-27 19:01,no,False,"yahoo,covi19,coronavirus,disease,southkorea,seoul,photography,photo",,"b'Workers wearing traditional attire wear masks to prevent the spread of the coronavirus disease (COVID-19) during the daily re-enactment of the changing of the Royal Guards at Gyeongbok Palace in central Seoul, South Korea, November 19, 2020. (REUTERS/Heo Ran)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #covi19 #coronavirus #disease #southkorea #seoul #photography #photo'",0,0,73,0,73,,
CIGTR_zLRgp,yahoo,2020-11-27 15:02,no,False,"yahoo,hospital,covid19,coronavirus,disease,russia,photo,photography,health,healthcare,worker",,"b'A medical worker rests in a relaxation room inside a pavilion of the Exhibition of Achievements of National Economy (VDNH), which was converted into a temporary hospital for people suffering from the coronavirus disease (COVID-19), in Moscow, Russia November 17, 2020. Picture taken November 17, 2020. (REUTERS/Maxim Shemetov)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #hospital #covid19 #coronavirus #disease #russia #photo #photography #health #healthcare #worker'",0,0,128,2,130,,
CIElaiynT6r,yahoo,2020-11-26 23:01,no,False,"yahoo,iraq,children,kids,iraqi,baghdad,photo,photography",,"b'Iraqi children look at a display box of mounted insects in Darbunah restaurant in Baghdad, Iraq November 16 2020. Picture taken November 16, 2020. (REUTERS/Saba Kareem)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #iraq #children #kids #iraqi #baghdad #photo #photography'",0,0,110,3,113,,
CIEXtbnnXPC,yahoo,2020-11-26 21:01,no,False,"yahoo,ski,skiing,jump,photo,photography,news,poland,sport,sports",,"b""Ski Jumping - Ski Jumping World Cup - Wisla, Poland - November 21, 2020 Japan's Yukiya Sato in action during the Men's Team (REUTERS/Kacper Pempel)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #ski #skiing #jump #photo #photography #news #poland #sport #sports""",0,0,96,0,96,,
CIEDFyeHGWj,yahoo,2020-11-26 18:01,no,False,"yahoo,quote,quotecard,card,cards,motivation,successful,success,inspo,inspiration,job,jobs,career,careers,dream,dreams,goal,goals",,b'Know when and how to shift.\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #quote #quotecard #card #cards #motivation #successful #success #inspo #inspiration #job #jobs #career #careers #dream #dreams #goal #goals',0,0,201,2,203,,
CIDufFwM9wT,yahoo,2020-11-26 15:01,no,False,"yahoo,santa,covid19,covid,coronavrius,mask,protect,ppe,design,art,greece,photo,photography",,"b'Christmas candles depicting Santa Claus wearing a protective mask are displayed at the shop of candlemaker Alexis Gerakis, as the COVID-19 pandemic continues, in Thessaloniki, Greece, November 16, 2020. Picture taken November 16, 2020. (REUTERS/Alexandros Avramidis)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #santa #covid19 #covid #coronavrius #mask #protect #ppe #design #art #greece #photo #photography'",0,0,167,4,171,,
CIDZ5W3MXCR,yahoo,2020-11-26 12:00,no,False,"yahoo,christmas,trees,photography,photo",,"b'A person carries a tree at a Christmas Tree Farm, amidst the outbreak of the coronavirus disease (COVID-19), in Keele, Staffordshire, Britain November 24, 2020. (REUTERS/Carl Recine)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #christmas #trees #photography #photo'",0,0,161,0,161,,
CICi7cKrDIZ,yahoo,2020-11-26 04:00,no,False,"yahoo,biden,joebiden,news,media,photo",,"b'U.S. President-elect Joe Biden arrives to announce his national security nominees and appointees at his transition headquarters in Wilmington, Delaware, U.S., November 24, 2020. (REUTERS/Joshua Roberts)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #biden #joebiden #news #media #photo'",0,0,184,5,189,,
CICcD9wLG3M,yahoo,2020-11-26 03:00,no,False,"yahoo,thanksgiving,turkey,trump",,"b'The National Thanksgiving Turkey Corn stands by as U.S. President Donald Trump speaks during the 73rd annual presentation (and pardoning) in the Rose Garden at the White House in Washington, U.S., November 24, 2020. (REUTERS/Hannah McKay)\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n*\xe2\x81\xa0\n#Yahoo #thanksgiving #turkey #trump'",0,0,354,16,370,,
