shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY3Bo_nY3A,youtube,2020-12-04 19:59:29.000000,yes,False,b'',b'kevinbparry',b':weary_cat_face::skateboard: It might look easy but @kevinbparry\xe2\x80\x99s stop-motion skateboarding is a lot harder than it looks. It took three days to film and he ended up with lots and lots of bruises. :face_with_head-bandage:',264531,28.2,43213,455,,,
CIYohZqnOb7,youtube,2020-12-04 17:52:29.000000,no,False,b'theriseytuk',"b'thebodycoach,gabriel_sey_,dinatokio,draminayonis'","b""Let's hear it for the rising stars :glowing_star: It's time to meet the British creators taking part in #TheRiseYTUK, pairing YouTube pioneers with up and coming creators making waves on the platform! :water_wave:\n\nFrom @thebodycoach and @gabriel_sey_ to @dinatokio and @draminayonis, this collection of diverse voices represent the breadth of British talent and creativity. Swipe to see the full squad :right_arrow_selector:""",0,0,115354,1268,,b'United Kingdom',54.0 -2.0
CIUyihLnaR4,youtube,2020-12-03 06:03:03.000000,no,False,b'',b'',b'When the beat drops\xe2\x80\xa6 so do we:drum: Here\xe2\x80\x99s why cats (and everyone else) are vibing to Bilal G\xc3\xb6regen. Link in bio to check out his channel.',0,0,769400,18284,,b'Turkey',39.0 36.0
CIUJeDVnV8G,youtube,2020-12-03 00:04:29.000000,yes,False,b'',b'topithecorgi',"b'If @topithecorgi was your coworker, would you get more or less work done? :thinking_face::dog_face:'",202974,27.666,37508,310,,,
CIOkDkVg0Qk,youtube,2020-11-30 20:01:12.000000,no,False,b'skuad',b'skabechetv',"b'This #SKuad is 10 million strong now! Congratulations on hitting a huge milestone, @SKabecheTV!'",0,0,97542,1034,,b'Mexico',23.316667 -102.366667
CIL4Sc_HY1Y,youtube,2020-11-29 19:00:28.000000,yes,False,b'',b'',b':play_button_selector::rabbit: n i b b l e\n:play_button_selector::rabbit: n i b b l e\n:play_button_selector::rabbit: n i b b l e\n:movie_camera::\xc2\xa0my Pets ASMR',446360,29.433,61882,1090,,,
CIG1j8GnJd_,youtube,2020-11-27 20:00:06.000000,no,False,"b'youtubeblackbrasil,youtubeblackbrasil,youtubeblack'","b'lucigoncalvesa,cortesph,jacyjuly,samuelgomes'","b'Looking for new channels to deep dive on? Swipe to meet a few #YouTubeBlackBrasil Creators! :sparkles::Brazil::right_arrow_selector: @lucigoncalvesa makes lifestyle videos, @cortesph explores pop culture, @jacyjuly offers beauty and self-care tips, and @samuelgomes shares queer lilfe. #YouTubeBlackBrasil #YouTubeBlack'",0,0,34635,482,,b'Brazil',-11.0 -53.0
CIGqMMxJofk,youtube,2020-11-27 18:20:53.000000,no,False,b'blackownedfriday',"b'cydbee,mentedcosmetics,gethyperskin,uomabeauty,beautybakeriemakeup'","b'Head to our Story to see the fabulous @cydbee unbox some amazing beauty products from @mentedcosmetics, @gethyperskin, @uomabeauty, and @beautybakeriemakeup for #BlackOwnedFriday, and then make sure to share who you\xe2\x80\x99re shopping with below!:backhand_index_pointing_down:'",0,0,26704,195,,,
CIEXniInufU,youtube,2020-11-26 20:59:58.000000,no,False,b'',b'zachchoi',b':poultry_leg: Hungry? Swipe to have a Thanksgiving snack with @zachchoi. :right_arrow_selector: And check out today\xe2\x80\x99s story for a few mukbang channels that he recommends. :face_savoring_food::right_arrow_curving_up_selector:',0,0,79161,537,,,
CIEDa_Sna5b,youtube,2020-11-26 18:03:29.000000,no,False,b'',"b'cn_lincoln,haida.language.learners,doncoingyadet,followthenative'","b'Swipe to meet a few Native creators, who celebrate their culture and share their stories on YouTube: from @cn_lincoln\xe2\x80\x99s rez vlogs to @haida.language.learners\xe2\x80\x99s language videos, @doncoingyadet\xe2\x80\x99s life in education to @followthenative\xe2\x80\x99s music-making, there\xe2\x80\x99s something for everyone. For more, check out today\xe2\x80\x99s Story to learn about the observance of Unthanksgiving. :right_arrow_curving_up_selector:'",0,0,53119,356,,,
