shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYw13in7ip,zastudios,2020-12-04 19:05:11.000000,no,False,"tehreemwedshaseeb,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,bridalsbyzain","zastudios,yasmiinekhn",b'#tehreemwedshaseeb :white_heart:\nPhotography by @zastudios \nMakeup @yasmiinekhn \n\n#weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #bridalsbyzain',0,0,646,0,646,"Islamabad, Pakistan",33.6992 73.0393
CIYvlrMn7EE,zastudios,2020-12-04 18:54:32.000000,yes,False,"tehreemwedshaseeb,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,bridalsbyzain","zastudios,yasmiinekhn",b'Gorgeous couple #tehreemwedshaseeb :white_heart:\nPhotography by @zastudios \nMakeup @yasmiinekhn \n\n#weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #bridalsbyzain',6476,12.266,242,1,243,"Islamabad, Pakistan",33.6992 73.0393
CIYuSdCH8Eq,zastudios,2020-12-04 18:45:51.000000,yes,False,"tehreemwedshaseeb,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,bridalsbyzain","zastudios,yasmiinekhn",b'Gorgeous couple #tehreemwedshaseeb :white_heart:\nPhotography by @zastudios \nMakeup @yasmiinekhn \n\n#weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #bridalsbyzain',4989,9.333,261,0,261,"Islamabad, Pakistan",33.6992 73.0393
CIYnPf2HDjK,zastudios,2020-12-04 17:41:18.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,1725,6,1731,"Islamabad, Pakistan",33.6992 73.0393
CIYmXBXHCQz,zastudios,2020-12-04 17:33:35.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,1517,7,1524,"Islamabad, Pakistan",33.6992 73.0393
CIYmFfBnghP,zastudios,2020-12-04 17:31:12.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,872,2,874,"Islamabad, Pakistan",33.6992 73.0393
CIYlNErHuDy,zastudios,2020-12-04 17:23:29.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,1265,2,1267,"Islamabad, Pakistan",33.6992 73.0393
CIYksj0nHnU,zastudios,2020-12-04 17:19:03.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,529,2,531,"Islamabad, Pakistan",33.6992 73.0393
CIYXoc1H0Ac,zastudios,2020-12-04 15:24:54.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,599,5,604,"Islamabad, Pakistan",33.6992 73.0393
CIYXE5-nOyG,zastudios,2020-12-04 15:20:03.000000,no,False,"mnm,maleehawedsmohsin,qawallinight,weddingday,weddingdiaries,zainaliphotography,arslanaliphotography,photoshoot,photography,fashion,internationalphotographer,zastudio,zafilms,wedding,desiwedding,designer,pakistanistreetstyle,pakistaniweddings,bride,gettingready,lahore,islamabad,kashmir,peshawar,karachi,dubai,turkey,eventsbyzain,team",zastudios,b'#MnM #Maleehawedsmohsin #qawallinight \nPhotography by Team Zain Ali @zastudios \n\n #weddingday \n#weddingdiaries #zainaliphotography #arslanaliphotography #photoshoot #photography #fashion #internationalphotographer  #zastudio #zafilms #wedding #desiwedding  #designer #pakistanistreetstyle #pakistaniweddings  #bride #gettingready #lahore #islamabad #kashmir #peshawar #karachi #dubai #turkey #eventsbyzain #team',0,0,2374,9,2383,"Islamabad, Pakistan",33.6992 73.0393
