shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYjvYJrXqj,zenithbankplc,2020-12-04 17:10:44.000000,no,False,"b'zenithbetalifepromo,zenithbank,winners'",b'',"b""Congratulations to the 50 winners of this week's Zenith Beta Life Promo!!!\xe2\x81\xa3\nYou can be a winner too!\xe2\x81\xa3\nSimply visit zenithbank.com/betalife for more information.\xe2\x81\xa3\n\n#ZenithBetaLifePromo #ZenithBank #Winners""",0,0,500,85,,,
CIYONnHLl5K,zenithbankplc,2020-12-04 14:02:37.000000,no,False,"b'bafi,bestretailbank,zenithbank'",b'',b'Our gratitude goes to our customers. This was only possible because of you!\n\n#BAFI #BestRetailBank #ZenithBank',0,0,553,43,,,
CIYAbH-Avsx,zenithbankplc,2020-12-04 12:02:21.000000,yes,False,"b'zenithbank,zenithbetalifepromo'",b'',b'Experience the Betaife with #ZenithBank today! Visit www.zenithbank.com/betalife and you could be among 50 people to win 30k every week in the #ZenithBetaLifePromo',653,59.833,59,11,,,
CIX19eaAOO7,zenithbankplc,2020-12-04 10:30:43.000000,no,False,"b'update,zenithbank,premiumbanking'",b'',"b'You can update your personal information using the Zenith Bank Internet Banking platform, the Zenith Bank Mobile App or by visiting any Zenith Bank branch near you.\n\n#Update #ZenithBank #PremiumBanking'",0,0,166,26,,,
CIXTDwdoQs_,zenithbankplc,2020-12-04 05:25:45.000000,no,False,"b'fridaymotivation,positivity,zenithbank'",b'',b'Make each day your masterpiece\n\n#FridayMotivation #Positivity #ZenithBank',0,0,430,38,,,
CIVyN8aFx19,zenithbankplc,2020-12-03 15:19:31.000000,no,False,"b'safetytips,zenithbank'",b'',b'Please be careful with your account information to avoid falling prey to fraudsters. \n\n#SafetyTips #ZenithBank',0,0,259,75,,,
CIVnIhqrorL,zenithbankplc,2020-12-03 13:42:40.000000,no,False,"b'globalgoals,idpd,zenithbank'",b'',"b'The theme for this year is ""Building back better: towards an inclusive, accessible and sustainable post COVID-19 world by, for and with persons with disabilities""\n\n#GlobalGoals #IDPD #ZenithBank'",0,0,208,6,,,
CIVG7EsgMV6,zenithbankplc,2020-12-03 09:01:13.000000,no,False,"b'bafiawards,bestbankceo,zenithbank'",b'',"b'Congratulations to our GMD/CEO, Mr. Ebenezer Onyeagwu.\n\n#BafiAwards #BestBankCEO #ZenithBank'",0,0,933,115,,,
CIVA-jIgqWU,zenithbankplc,2020-12-03 08:09:15.000000,no,False,b'zenithbank',b'',b'Simply dial *966*0# or visit www.zenithbank.com to open an account today! #ZenithBank',0,0,341,29,,,
CIUxUbbIPMh,zenithbankplc,2020-12-03 05:52:28.000000,no,False,"b'zenithbank,eazybanking,thursdaymotivation'",b'',"b'Discipline or Consistency, which weighs more for you?\n\n#ZenithBank #EazyBanking #ThursdayMotivation'",0,0,395,19,,,
CITMWKbryru,zenithbankplc,2020-12-02 15:10:07.000000,no,False,"b'wednesdayteasers,zenithbank'",b'',"b'A, B, C or D? We\xe2\x80\x99d like to know.\n\n#WednesdayTeasers #ZenithBank'",0,0,542,170,,,
CIS9rdSrlSE,zenithbankplc,2020-12-02 13:01:58.000000,no,False,"b'zenithbank,agriculture'",b'',"b'Economic Intelligence Weekly Report- The African Development Bank (AfDB) has launched a $25 billion facility to support agriculture development in Nigeria, Senegal, Mali, Gabon and Sudan...Read more here - https://bit.ly/3lxyB6a \n\n#ZenithBank #Agriculture'",0,0,215,27,,,
