company,username,esg_company,verified
AbbVie,abbvie,AbbVie,Verified
ABC,abcnetwork,ABC Arbitrage SA,Verified
ADNOC,adnocgroup,Abu Dhabi National Oil Company (ADNOC),Verified
Accenture,accenture,Accenture Ltd.,Verified
Allergan,allerganaesthetics,Actavis,Verified
Adidas,adidas,adidas AG,Verified
Adobe,adobe,Adobe Systems,Verified
ADP,adp,ADP,Verified
ADVANCE AUTO PARTS,advanceautoparts,"Advance Auto Parts, Inc.",Verified
Aegon,aegongroup,Aegon,Verified
AES,aespa_official,AES Corporation,Verified
AETNA,aetna,Aetna Inc.,Verified
Aflac,aflacduck,AFLAC Incorporated,Verified
AGCO,agcocorp,AGCO Corporation,Verified
Air Canada,aircanada,Air Canada,Verified
Airbnb,airbnb,Airbnb Inc,Verified
AIRBUS,airbus,Airbus,Verified
Akbank,akbank,Akbank TAS,Verified
Al Rajhi Bank,alrajhibank,Al Rajhi Bank,Verified
Albertsons,albertsons,ALBERTSON'S INC.,Verified
ALFA,elalfaeljefe,"ALFA, S.A.B. de C.V.",Verified
Couche Tard,couchetardqc,Alimentation Couche-Tard Inc.,Verified
All Nippon Airways,allnipponairways_official,ALL NIPPON AIRWAYS COMPANY LIMITED,Verified
Allianz,allianz,Allianz SE,Verified
Almarai,almarai,Almarai Trading Company Limited,Verified
Altice USA,alticeusa,Altice USA,Verified
Claro,claropr,"America Movil, S.A.B. de C.V.",Verified
American Express,americanexpress,American Express,Verified
AMGEN,amgenbiotech,Amgen Inc.,Verified
Bud Light,budlight,Anheuser-Busch InBev NV,Verified
Anheuser-Busch InBev,abinbev,Anheuser-Busch InBev NV,Verified
Apple,apple,Apple Inc.,Verified
Aptiv,aptiv,Aptiv,Verified
Arab Bank,arabbank,Arab Bank PLC,Verified
ArcelorMittal,arcelormittalbrasil,ArcelorMittal,Verified
Asian Paints,asianpaints,Asian Paints (India) Ltd.,Verified
Generali Group,generaligroup,Assicurazioni Generali,Verified
AT&T,att,AT&T Inc.,Verified
Atlassian,atlassian,Atlassian Corporation PLC,Verified
Audi,audi,Audi AG,Verified
AutoZone,autozone,"AutoZone, Inc.",Verified
Aviva,avivadrescher,Aviva,Verified
Avnet,avnet,"Avnet, Inc.",Verified
Axis Bank,axis_bank,Axis Bank Limited,Verified
Bajaj Finserv,bajajfinserv,Bajaj Finserv Ltd,Verified
Baker Hughes Co,bakerhughesco,Baker Hughes Incorporated,Verified
Ball,lavar,Ball Corporation,Verified
BBVA,bbva,BANCO BILBAO VIZCAYA ARGENTARIA SA,Verified
Bradesco,bradesco,Banco Bradesco S.A.,Verified
Banco do Brasil,bancodobrasil,Banco do Brasil S.A.,Verified
Santander,santanderbankus,Banco Santander S.A.,Verified
Bank Audi,bankaudi,Bank Audi SAL Saradar Group,Verified
Bank Mandiri,bankmandiri,Bank Mandiri (Persero),Verified
Bank Negara Indonesia,bni46,BANK NEGARA INDONESIA,Verified
Bank of America,bankofamerica,Bank of America Corporation,Verified
Bank of Baroda,officialbankofbaroda,Bank of Baroda,Verified
Bank of India,theofficialsbi,Bank of India,Verified
Bank of Ireland,bankofireland,Bank of Ireland,Verified
Bank Pekao,bankpekaosa,Bank Polska Kasa Opieki SA,Verified
Bankinter,bankinter,Bankinter SA,Verified
Banque Saudi Fransi,banquesaudifransi,Banque Saudi Fransi,Verified
Barclays,barclayscenter,Barclays,Verified
Basler Kantonalbank,baslerkantonalbank,Basler Kantonalbank,Verified
Bass Pro Shop,bassproshops,Bass Pro Shops (Outdoor World) LLC,Verified
Bayer,fcbayern,Bayer AG,Verified
BED BATH & BEYOND,bedbathandbeyond,Bed Bath & Beyond,Verified
NIVEA,thisisnivea,Beiersdorf,Verified
Bell,bellahadid,Bell Aliant,Verified
Best Buy,bestbuy,"Best Buy Co., Inc.",Verified
BIG LOTS,biglots,"Big Lots, Inc.",Verified
BJ's Wholesale Club,bjswholesale,"BJ's Wholesale Club, Inc.",Verified
BlackRock,blackrock,"BlackRock, Inc.",Verified
