,company,username,esg_company,verified
0,3i Group,maqbool___313,3i Group plc,𝐆𝐑𝐎𝐔𝐏 𝐒𝐀𝐋𝐔𝐓𝐄 𝟑𝟏𝟑❤
1,Aareal Bank,aareal_bank_group,Aareal Bank AG,Aareal Bank Group
2,ABB,abbxeastmar,ABB Ltd.,Abigail 🕺
3,Abbott Laboratories,#abbottlaboratories,Abbott Laboratories,988 posts
4,AbbVie,abbvie,AbbVie,Verified
5,ABC,abcnews,ABC Arbitrage SA,Verified
6,Abengoa,abengoaintl,Abengoa SA,Abengoa
7,Absa Group,abagroup,Absa,Модельное агентство
8,Abu Dhabi Commercial Bank,#abudhabicommercialbank,Abu Dhabi Commercial Bank PJSC,107 posts
9,Abu Dhabi Islamic Bank,Abu Dhabi Islamic Bank - مصرف أبوظبي الإسلامي,ABU DHABI ISLAMIC BANK,"Shk. Rashid Bin Saeed St.(Old Airport Road) opposite Hilton capital grand hotel, Abu Dhabi, United Arab Emirates"
10,ADNOC,adnocgroup,Abu Dhabi National Oil Company (ADNOC),Verified
11,Accenture,accenture,Accenture Ltd.,Verified
12,Grupo ACS,grupoacsrj,ACS Actividades Construccion Y Servicios,Grupo Acs Automação
13,Allergan,allerganaesthetics,Actavis,Verified
14,Activision Blizzard,activisionblizzardmedia,"Activision Blizzard, Inc.",Activision Blizzard Media
15,Adani Ports & Special Economic Zone,Diamond & Gem Development Corporation Ltd. Surat Special Economic Zone.,Adani Ports & SEZ Ltd,"SACHIN, Surat, Gujarat"
16,Adecco,adeccousa,Adecco,Adecco USA
17,Adidas,adidas,adidas AG,Verified
18,Adient,adientglobal,ADIENT PUBLIC LIMITED COMPANY,Adient
19,Admiral Group,admiralgroupplc,Admiral Group PLC,Admiral Group
20,Adobe,adobe,Adobe Systems,Verified
21,ADP,adp,ADP,Verified
22,Aeroports de Paris,aeroportsdeparis,ADP,Aéroports de Paris
23,ADVANCE AUTO PARTS,advanceautoparts,"Advance Auto Parts, Inc.",Verified
24,Advanced Info Service,ainfolink123,Advanced Info Service Public Company Limited,Advanced Infolink Services
25,Advanced Micro Devices,#advancedmicrodevices,"Advanced Micro Devices, Inc.",851 posts
26,Advantest,#advantest,ADVANTEST CORPORATION,257 posts
27,AECOM Technology,#aecomtechnology,AECOM Technology Corporation,1 post
28,Aegon,aegongroup,Aegon,Verified
29,Aena,aenami.art,AENA (Aeropuertos Espanoles y Navegacion Aerea),Aenami
30,AerCap Holdings,AerCap Holdings NV,AerCap Holdings N.V.,"65 St Stephen's Green, Dublin, Ireland"
31,Aeroflot-Russian Airlines,aeroflot__fanpage,AEROFLOT,Aeroflot (Russian Airlines)
32,AES,aespa_official,AES Corporation,Verified
33,AETNA,aetna,Aetna Inc.,Verified
34,Aflac,aflacduck,AFLAC Incorporated,Verified
35,AGC,agc.andy,AGC Group,Andrew Cox
36,AGCO,agcocorp,AGCO Corporation,Verified
37,Ageas,theageasbowl,Ageas SA/NV,The Ageas Bowl
38,Agile Group Holdings,Nomalee Group Holdings,Agile Property Holdings Ltd.,"12 Ruby Close, Sandton, Gauteng"
39,Agilent Technologies,agilenttechnologies,"Agilent Technologies, Inc.",Agilent Technologies
40,AGL Energy,aglenergy,AGL Energy Limited,AGL Energy
41,AGNC Investment,stock_investment_agency,AGNC INVESTMENT CORP.,📈Stock Investment Agency
42,Agricultural Bank of China,agricultural_bank_of_china,Agricultural Bank Of China Limited,Agricultural Bank Of China
43,Ahli United Bank,aubbahrain,AHLI UNITED BANK B.S.C,Ahli United Bank B.S.C.
44,AIA,aiaawards,AIA GROUP,American Influencer Awards
45,Aier Eye Hospital Group,aier_eye_hospital_group,Aier Eye Hospital Group Co.Ltd,AIER Eye Hospital Group
46,Air Canada,aircanada,Air Canada,Verified
47,Air China,airchinalimited,Air China,Air China
48,Air France-KLM,afklm_virtual,Air France - KLM,Air France-KLM Virtual Group
49,Air Liquide,airliquide,Air Liquide,Air Liquide
50,Air Products & Chemicals,air_products,"Air Products and Chemicals, Inc.",Air Products & Chemicals
51,Airbnb,airbnb,Airbnb Inc,Verified
52,AIRBUS,airbus,Airbus,Verified
53,Airports of Thailand,#airportsofthailand,Airports of Thailand PCL,292 posts
54,Aisin Seiki,#aisinseiki,Aisin Seiki Company Limited,256 posts
55,Ajinomoto,ajinomotofoodsnorthamerica,Ajinomoto Company Inc,Ajinomoto Foods North America
56,Akamai Technologies,#akamaitechnologies,"Akamai Technologies, Inc.",603 posts
57,Akbank,akbank,Akbank TAS,Verified
58,Akzo Nobel,akzo_nobel_repintado_mx,Akzo Nobel NV,Akzo Nobel Repintado MX
59,Al Rajhi Bank,alrajhibank,Al Rajhi Bank,Verified
60,Alaska Air Group,#alaskaairgroup,"Alaska Air Group, Inc.",348 posts
61,Albertsons,albertsons,ALBERTSON'S INC.,Verified
62,Alcon,alconlife,Alcon Laboratories Inc,Alcon - See Brilliantly
63,Aldi,aldifavoritefinds,Aldi,💙🛒Aldi Favorite Finds🛒🧡
64,Alexandria Real Estate Equities,#alexandriarealestateequities,Alexandria Real Estate Equities,155 posts
65,Alexion Pharmaceuticals,alexionpharmaceuticals,"Alexion Pharmaceuticals, Inc.",Alexion
66,Alfa Laval,alfa_laval_ab,ALFA LAVAL AB,Alfa Laval
67,ALFA,elalfaeljefe,"ALFA, S.A.B. de C.V.",Verified
68,Alibaba Group,alibaba.group,Alibaba Com Limited,Alibaba Group
69,Align Technology,aligntechinc,Align Technology,Align Technology
70,Couche Tard,couchetardqc,Alimentation Couche-Tard Inc.,Verified
71,Alinma Bank,alinmabanksa,Alinma Bank SJSC,مصرف الإنماء
72,All Nippon Airways,allnipponairways_official,ALL NIPPON AIRWAYS COMPANY LIMITED,Verified
73,Alleghany,alleghanyleaked_,Alleghany Corporation,Alleghany Leaked
74,Alliant Energy,alliant_energy,Alliant Energy Corporation,Alliant Energy
75,Allianz,allianz,Allianz SE,Verified
76,AIB Group,all_india_bakchod1,Allied Irish Banks PLC,AIB GROUP
77,Ally Financial,allyfinancial,Ally Financial Inc.,AllyFinancial
78,Almarai,almarai,Almarai Trading Company Limited,Verified
79,Alnylam Pharmaceuticals,#alnylampharmaceuticals,"Alnylam Pharmaceuticals, Inc.",41 posts
80,Alrosa,alrosadiamonds,ALROSA COMPANY LIMITED,ALROSA®
81,Alstom,alstom,Alstom SA,Alstom
82,Yahoo! Group,i_am_amandeep_yahoo_groups,"Altaba, Inc.",AMANDEEP TRIPATHY
83,Altice Europe,#alticeeurope,Altice Europe N.V.,2 posts
84,Altice USA,alticeusa,Altice USA,Verified
85,Marlboro,callofmarlboro,"Altria Group, Inc.",Call of Marlboro
86,Altria Group,#altriagroup,"Altria Group, Inc.",133 posts
87,Amadeus IT Group,amadeusitgroup,Amadeus It Holding SA,Amadeus
88,AMAZON.COM,amazon.com__,"Amazon.com, Inc.",Amazon.com
89,AmBank Group,ambank.kag,AmBank Group,Kelab AmBank Group
90,Amcor,amcorltd,Amcor Limited,Amcor Packaging
91,Amdocs,amdocslife,Amdocs Limited,Amdocs Life
92,Ameren,amerena033,Ameren Corporation,Amerena
93,Claro,claropr,"America Movil, S.A.B. de C.V.",Verified
94,América Móvil,#americamovil,"America Movil, S.A.B. de C.V.","1,906 posts"
95,American Airlines Group,#americanairlinesgroup,American Airlines,245 posts
96,American Electric,americanelectrictattooco,"American Electric Power Company, Inc.",American Electric Tattoo
97,American Express,americanexpress,American Express,Verified
98,American Financial Group,midamerican,"American Financial Group, Inc.",Mid-American Financial Group
99,American International Group,american_international_school,"American International Group, Inc.",American International School
100,American Tower,americantowerclimbers,American Tower Corporation,AmericanTowerClimbers
101,American Water Works,americanwaterworksassociation,"American Water Works Company, Inc.",AWWA
102,Ameriprise Financial,ameriprise,Ameriprise Financial Inc.,Ameriprise Financial
103,AmerisourceBergen,amerisourcebergen,AmerisourceBergen Corporation,AmerisourceBergen
104,Ametek,ametekpowerinstruments,"Ametek, Inc.",AMETEK Power Instruments
105,AMGEN,amgenbiotech,Amgen Inc.,Verified
106,AMP,6500amp,AMP Limited,OG All Big Boy Shit🏧 #LLT☔️💔🖐🏾
107,Amphenol,amphenolltd,Amphenol Corporation,Amphenol Ltd
108,Analog Devices,analogdevices,"Analog Devices, Inc.","Analog Devices, Inc."
109,Angang Steel,ahn_steel,Angang Steel Co. Ltd.,안강철
110,Anglo American,aauprague,Anglo American,Anglo-American University
111,Bud Light,budlight,Anheuser-Busch InBev NV,Verified
112,Anheuser-Busch InBev,abinbev,Anheuser-Busch InBev NV,Verified
113,Anhui Conch Cement,PT. CONCH Cement Indonesia,Anhui Conch Cement Co. Ltd.,Cilegon
114,Annaly Capital Management,#annalycapitalmanagement,"Annaly Mortgage Management, Inc.",5 posts
115,Ansys,ansys_inc,"ANSYS, Inc.",Ansys
116,Anta Sports Products,#antasportsproductslimited,ANTA Sports Products Limited,6 posts
117,AntarChile,#antarchile,Antarchile S.A.,5 posts
118,Anthem,theanthemdc,Anthem Inc.,The Anthem
119,Aon,aoncollection,Aon,ALLORNOTHING™️
120,Aozora Bank,#aozorabank,Aozora Bank Limited,23 posts
121,Møller-Maersk,andrewmmoller,AP Moller-Maersk A/S,Andrew Mærsk-Møller
122,Apple,apple,Apple Inc.,Verified
123,Applied Materials,#appliedmaterials,"Applied Materials, Inc.","1,593 posts"
124,Aptiv,aptiv,Aptiv,Verified
125,Arab Bank,arabbank,Arab Bank PLC,Verified
126,Arab National Bank,#arabnationalbank,Arab National Bank,34 posts
127,Aramark,aramark,Aramark,Feed Your Potential 365™
128,Arca Continental,arca_continental,Arca Continental S.A.B. de C.V.,Arca Continental
129,ArcelorMittal,arcelormittalbrasil,ArcelorMittal,Verified
130,Arch Capital Group,archemployees,Arch Capital Services,Arch Capital Group Employees
131,Archer Daniels Midland,Archer Daniels Midland,Archer-Daniels-Midland Company,2120 N 40th St
132,Ares Capital,ares_capital,Ares Capital Corporation,Ares Capital
133,Arista Networks,#aristanetworks,Arista Networks Inc,314 posts
134,Aristocrat Leisure,#aristocratleisure,Aristocrat Leisure Limited,16 posts
135,Arkema,arkemagroup,Arkema,Arkema
136,Aroundtown,aroundtownent,Aroundtown Property Holdings PLC,Around Town Entertainment
137,Arrow Electronics,arrowelectronics,"Arrow Electronics, Inc.",Arrow Electronics
138,Gallagher,ryandgallagher,Arthur J. Gallagher & Co.,Ryan Gallagher
139,Asahi Group Holdings,#asahigroupholdings,Asahi Breweries Limited,16 posts
140,Asahi Kasei,asahikasei_in,ASAHI KASEI CORPORATION,Asahi Kasei
141,ASE Technology Holding,Impacta,"ASE Technology Holding Co., Ltd.","Av. Paulista, 1009, São Paulo"
142,Mebuki Financial Group,#mebukifinancialgroup,"Ashikaga Holdings Co.,Ltd.",2 posts
143,Ashtead Group,#ashteadgroup,Ashtead-group,8 posts
144,Asian Paints,asianpaints,Asian Paints (India) Ltd.,Verified
145,ASML Holding,#asmlholding,ASML,4 posts
146,Asr Nederland,#asrnederland,ASR Nederland NV,4 posts
147,Assa Abloy,assaabloygroup,Assa Abloy AB,ASSA ABLOY
148,Generali Group,generaligroup,Assicurazioni Generali,Verified
149,Associated British Foods,#associatedbritishfoods,Associated British Foods PLC,107 posts
150,Assurant,assurantmatters,Assurant Inc.,Assurant
151,Astellas Pharma,#astellaspharma,Astellas Pharma Inc,255 posts
152,AstraZeneca,astrazeneca,AstraZeneca,AstraZeneca
153,Asustek Computer,#asustekcomputer,ASUSTeK Computer Inc.,18 posts
154,AT&T,att,AT&T Inc.,Verified
155,Athene Holding,atheneholdings,Athene Holding Ltd,Athene Holdings.
156,Atlantia,atlantafalcons,Atlantia,Verified
157,Atlas Copco,atlascopcogroup,Atlas Copco A,Atlas Copco
158,Atlassian,atlassian,Atlassian Corporation PLC,Verified
159,Atmos Energy,atmosenergy,Atmos Energy Corporation,Atmos Energy
160,ATOS,atosjiujitsuhq,Atos Origin SA,Atos Jiu Jitsu HQ
161,Attijariwafa Bank,attijariwafabank_maroc,Attijariwafa Bank,Attijariwafa Bank Maroc
162,Audi,audi,Audi AG,Verified
163,ANZ,anzhonnyc,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Anzhonny
164,AutoNation,autonation,"AutoNation, Inc.",AutoNation
165,AutoZone,autozone,"AutoZone, Inc.",Verified
166,AvalonBay Communities,avalonbaycommunities,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc."
167,Avenue Supermarts,#avenuesupermarts,Avenue Supermarts Ltd,403 posts
168,Avery Dennison,adgraphics_na,Avery Dennison Corporation,Avery Dennison Graphics
169,Aviva,avivadrescher,Aviva,Verified
