company,environment_rating,username
ALBERTSON'S INC.,39,albertsons
The Clorox Company,72,clorox
"Dick's Sporting Goods, Inc.",44,dickssportinggoods
PNC Financial Services Group Inc.,70,pncbank
DISH Network Corporation,49,dishnetwork
The Western Union Company,53,westernunion
"Cummins, Inc.",71,cummins
Wal-Mart de Mexico S.A.,75,walmart
Whirlpool Corporation,62,whirlpoolusa
Valero Energy Corporation,46,valeroenergy
United Services Automobile Association,NA,usaa
"BURLINGTON STORES, INC.",52,burlingtondeals
Kellogg Company,67,kelloggsus
Campbell Soup Company,66,campbellsoupco
"Dollar Tree Stores, Inc.",48,dollartree
Genuine Parts Company,53,genuineparts
"Home Depot, Inc.",67,homedepot
"J. C. Penney Company, Inc.",56,jcpenney
Chevron Corp.,49,chevron
The Allstate Corporation,68,allstate
H. J. Heinz Company,36,kraftheinzus
Sears Holdings Corporation,60,sears
"Motorola, Inc.",66,motorolaus
The Boeing Company,69,boeing
Rite Aid Corporation,50,riteaid
The Sherwin-Williams Company,61,sherwinwilliams
Progressive Corporation,57,progressive
Exxon Mobil Corporation,47,exxonmobil
"Michaels Stores, Inc.",50,michaelsstores
AT&T Inc.,72,att
Southwest Airlines Co.,56,southwestair
Texas Instruments Incorporated,65,txinstruments
American Family Insurance Group,NA,amfam
The Hershey Company,68,hersheys
Dollar General Corporation,45,dollargeneral
"ConAgra Foods, Inc.",64,conagrafoodservice
McDonald's Corporation,72,mcdonalds
ADP,73,adp
Northrop Grumman Corporation,73,northropgrumman
Adobe Systems,72,adobe
Capital One Financial Corporation,73,capitalone
Freddie Mac,25,freddiemaccorp
HILTON WORLDWIDE HOLDINGS INC.,63,hilton
General Electric Company,66,generalelectric
Xerox Corporation,70,xerox
Booking Holdings,52,priceline
"United Rentals, Inc.",60,united.rentals
Hanesbrands Inc.,63,hanes
"Big Lots, Inc.",49,biglots
"Nationwide Financial Services, Inc.",47,nationwide
The Coca-Cola Company,70,cocacola
Newell Rubbermaid Inc.,63,newellbrands
"United Parcel Service, Inc.",69,ups
"Delta AirLines, Inc.",52,delta
"CarMax, Inc.",52,carmax
AGCO Corporation,60,agcocorp
Kroger Co.,67,krogerco
"Macy's, Inc.",59,macys
Fifth Third Bank,65,fifththirdbank
Eversource Energy,69,eversourceenergy
"Waste Management, Inc.",58,wastemanagement
Baker Hughes Incorporated,63,bakerhughesco
Halliburton Company,58,halliburton
National Oilwell Varco,59,nationaloilwellvarco
Phillips 66,46,phillips66co
ConocoPhillips,59,conocophillips
CIGNA Corporation,70,cignatogether
Stanley Black & Decker Inc.,65,stanleyblackdecker
Aetna Inc.,65,aetna
UnitedHealth Group Incorporated,71,unitedhealthcare
Supervalu Inc.,50,supervalu_irl
Xcel Energy Inc.,69,excelenergy
Target Corporation,71,target
"Best Buy Co., Inc.",72,bestbuy
"General Mills, Inc.",71,generalmills
Wellcare Health Plans Inc.,45,wellcare
"Merck & Co., Inc.",70,merck
"Lowe's Companies, Inc.",65,loweshomeimprovement
"Lithia Motors, Inc.",55,lithiamotors
Regions Financial Corporation,67,regionsfinancial
Humana Inc.,69,humana
Expedia Inc,42,expedia
Costco Wholesale Corporation,62,costco
Microsoft Corporation,76,microsoft
"Nordstrom, Inc.",68,nordstrom
"Amazon.com, Inc.",57,amazon
Starbucks Corporation,67,starbucks
Walgreen Co.,68,walgreens
Hertz Global Holdings Inc,57,hertz
"Mattel, Inc.",59,mattel
The Walt Disney Company,68,disney
"Avnet, Inc.",67,avnet
Duke Energy Corporation,58,duke_energy
Bank of America Corporation,73,bankofamerica
"Staples, Inc.",56,staples
Thermo Fisher Scientific,67,thermofisherscientific
"Rockwell Automation, Inc.",64,rokautomation
"Harley-Davidson, Inc.",61,harleydavidson
"Toll Brothers, Inc.",53,tollbrothers
Lockheed Martin Corporation,67,lockheedmartin
"Marriott International, Inc.",63,marriottintl
"Discovery Communications, Inc.",48,discovery
Verizon Communications Inc.,70,verizon
JP Morgan Chase & Co.,70,jpmorgan
Pfizer Inc.,70,pfizerinc
TIAA-CREF,73,tiaa
Colgate-Palmolive Company,72,colgatepalmoliveco
Ralph Lauren Corporation,61,ralphlauren
Interpublic Group of Companies,60,interpublicipg
Morgan Stanley,67,morgan.stanley
"Foot Locker, Inc.",47,footlocker
Estee Lauder Inc.,75,esteelauder
Bristol-Myers Squibb Company,69,bristolmyerssquibb
"The Goldman Sachs Group, Inc.",66,goldmansachs
American Express,71,americanexpress
"Penske Automotive Group, Inc.",52,penskecars
Western Digital Corp.,59,westerndigital
CenturyLink,61,centurylink
The ODP Corporation,58,officedepot
Toys R Us,NA,toysrus
Caterpillar Inc.,66,caterpillarinc
"Publix Super Markets, Inc.",53,publix
CVS Caremark Corporation,71,cvspharmacy
"Dillard's, Inc.",50,dillards
JetBlue Airways Corporation,62,jetblue
Land O'Lakes,19,landolakesinc
"Advance Auto Parts, Inc.",51,advanceautoparts
Deere & Company,64,johndeere
QUALCOMM Incorporated,68,qualcomm
Charles Schwab Corp.,61,charlesschwab
Gap Inc.,70,gap
Wells Fargo & Co.,72,wellsfargo
Facebook,65,facebook
Oracle Corporation,73,oracle
Visa International,73,visa_us
"PayPal, Inc.",66,paypal
Hewlett Packard Enterprise Co,73,hp
"Tesla Motors, Inc.",54,teslamotors
Apple Inc.,76,apple
"Netflix, Inc.",51,netflix
NVIDIA Corporation,68,nvidia
Intel Corporation,70,intel
eBay Inc.,69,ebay
"Cisco Systems, Inc.",74,cisco
Spirit AeroSystems Holdings Inc.,42,spiritairlines
"AutoZone, Inc.",56,autozone
