,company,overall_rating,community_rating,employee_rating,environment_rating,governance_rating,overall_percentage,community_percentage,employee_percentage,environment_percentage,governance_percentage
AbbVie,AbbVie,63,62,64,68,59,96,85,89,88,86
ABC Arbitrage SA,ABC Arbitrage SA,50,44,54,44,60,47,32,68,29,87
Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),NA,61,NA,57,64,NA,82,NA,64,93
Accenture Ltd.,Accenture Ltd.,63,61,58,76,54,95,83,79,97,70
Actavis,Actavis,53,48,49,61,52,60,40,50,74,58
adidas AG,adidas AG,67,68,65,79,55,99,94,90,99,75
Adobe Systems,Adobe Systems,63,62,59,72,59,96,84,82,94,86
ADP,ADP,65,69,65,73,53,98,95,90,95,68
"Advance Auto Parts, Inc.","Advance Auto Parts, Inc.",51,52,49,51,50,48,55,50,49,44
Aegon,Aegon,63,65,61,69,58,96,90,85,90,84
AES Corporation,AES Corporation,59,57,58,61,61,86,72,80,74,88
Aetna Inc.,Aetna Inc.,58,47,58,65,58,80,38,78,82,84
AFLAC Incorporated,AFLAC Incorporated,60,55,56,67,60,88,64,74,85,87
AGCO Corporation,AGCO Corporation,56,54,52,60,55,72,61,63,72,77
Air Canada,Air Canada,52,54,48,55,51,56,61,45,58,55
Airbnb Inc,Airbnb Inc,NA,57,76,NA,73,NA,72,98,NA,98
Airbus,Airbus,61,59,57,72,52,90,77,77,94,58
Akbank TAS,Akbank TAS,56,54,64,51,51,63,51,51,49,51
Al Rajhi Bank,Al Rajhi Bank,54,55,54,53,54,65,64,68,53,70
ALBERTSON'S INC.,ALBERTSON'S INC.,43,36,55,39,43,15,17,72,20,19
"ALFA, S.A.B. de C.V.","ALFA, S.A.B. de C.V.",54,61,49,55,51,65,81,49,58,51
Alimentation Couche-Tard Inc.,Alimentation Couche-Tard Inc.,50,46,47,55,50,44,36,41,57,44
ALL NIPPON AIRWAYS COMPANY LIMITED,ALL NIPPON AIRWAYS COMPANY LIMITED,60,63,54,68,54,89,86,67,87,73
Allianz SE,Allianz SE,66,65,63,76,58,98,90,88,98,85
Almarai Trading Company Limited,Almarai Trading Company Limited,60,64,54,68,52,88,89,68,88,62
Altice USA,Altice USA,49,49,47,51,49,40,43,44,48,40
"America Movil, S.A.B. de C.V.","America Movil, S.A.B. de C.V.",61,63,53,72,52,90,86,64,94,60
American Express,American Express,63,56,62,71,60,94,69,86,93,87
Amgen Inc.,Amgen Inc.,61,62,57,68,57,92,84,77,88,83
Anheuser-Busch InBev NV,Anheuser-Busch InBev NV,56,54,64,51,51,63,51,51,49,51
Apple Inc.,Apple Inc.,60,56,52,76,54,89,68,60,97,73
Aptiv,Aptiv,59,55,46,75,58,87,63,40,97,84
Arab Bank PLC,Arab Bank PLC,59,63,59,57,59,86,86,82,64,87
ArcelorMittal,ArcelorMittal,55,56,50,62,49,68,67,54,75,42
Asian Paints (India) Ltd.,Asian Paints (India) Ltd.,56,59,46,68,50,76,77,40,88,46
Assicurazioni Generali,Assicurazioni Generali,67,68,63,78,59,99,94,87,98,86
AT&T Inc.,AT&T Inc.,62,60,57,72,55,92,81,77,93,76
Atlantia,Atlantia,62,63,56,72,54,92,86,73,94,70
Atlassian Corporation PLC,Atlassian Corporation PLC,47,45,51,45,49,30,34,58,31,38
Audi AG,Audi AG,67,61,68,71,65,99,83,93,92,93
"AutoZone, Inc.","AutoZone, Inc.",54,58,48,56,53,64,73,45,60,64
Aviva,Aviva,64,63,55,77,57,96,86,70,98,82
"Avnet, Inc.","Avnet, Inc.",57,51,53,67,53,77,49,65,86,68
Axis Bank Limited,Axis Bank Limited,55,57,50,62,51,71,72,53,75,53
Bajaj Finserv Ltd,Bajaj Finserv Ltd,54,54,48,64,47,64,60,45,81,32
Baker Hughes Incorporated,Baker Hughes Incorporated,57,57,54,63,52,78,71,67,78,62
Ball Corporation,Ball Corporation,61,62,59,68,52,90,85,80,88,58
BANCO BILBAO VIZCAYA ARGENTARIA SA,BANCO BILBAO VIZCAYA ARGENTARIA SA,62,64,57,72,52,92,88,77,94,60
Banco Bradesco S.A.,Banco Bradesco S.A.,64,67,58,78,52,97,93,79,98,62
