shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBlFReDd6e,allstate,2020-11-25 19:00,yes,False,"goodhandschallenge,goodhandschallenge","kirkherbstreit,allstate","b'The holidays put @KirkHerbstreit in a giving mood. Here are his #GoodHandsChallenge tips.\n\nFlick a paper football through some uprights, tag a friend + share your video with #GoodHandsChallenge. For every flick, @Allstate donates $10 for college scholarships.'",465,29.533,42,1,43,,
CH5iHvDjlkT,allstate,2020-11-22 16:00,yes,False,"goodhandschallenge,goodhandschallenge",allstate,"b'Join the #GoodHandsChallenge in just a fold, film, flick + tag. Ready? Good, because we challenge you! \n\nFlick a paper football through some uprights, tag a friend + share your video with #GoodHandsChallenge. For every flick, @Allstate donates $10 to college scholarships.'",1118,24.3,92,13,105,,
CH29U7Kjli5,allstate,2020-11-21 16:00,yes,False,"goodhandschallenge,goodhandschallenge","kirkherbstreit,allstate","b'Welcome to the #GoodHandsChallenge. Up first: @KirkHerbstreit\n\nFlick a paper football through some uprights, tag a friend + share your video with #GoodHandsChallenge. For every flick, @Allstate donates $10 to college scholarships. \n\nDetails in bio or at GoodHandsChallenge.com'",1204,29.2,117,1,118,,
CH0RqigD2h4,allstate,2020-11-20 15:00,no,False,keepthemomentum,,"b'Our company took a leap forward supporting diversity on Wall Street yesterday, issuing $1.2B of corporate bonds through exclusively minority, women and veteran owned banking enterprises. It\xe2\x80\x99s the largest issuance of its kind. Thanks Tom Wilson, for committing to doing even more in 2021. #KeeptheMomentum'",0,0,181,14,195,,
CHbHhgGlznz,allstate,2020-11-10 20:30,no,False,keepthemomentum,,"b'Amanda talked about how to start an uncomfortable conversation that can lead to a better understanding of each other. #KeepTheMomentum\n\n\xe2\x80\x9cIf you have a friend that you can talk to, you can start by saying, I really want to have this conversation with you. I\xe2\x80\x99m not sure if everything I\xe2\x80\x99m going to say is going to be correct. I\xe2\x80\x99m not sure if everything I\xe2\x80\x99m going to say is going to come off as offensive, but I\xe2\x80\x99m willing to be open. I\xe2\x80\x99m willing to be transparent. I\xe2\x80\x99m willing to debunk things that I\xe2\x80\x99ve heard in the past. I\xe2\x80\x99m willing to educate myself on your history, on your past, on your feelings, on these situations.""'",0,0,120,9,129,,
CHIjjpQn11Q,allstate,2020-11-03 15:29,yes,False,,,"b""Go vote. It's that simple. Check the link in our bio to find out where to vote. Your voice matters.""",599,11.7,80,0,80,,
CHGIFw7nFl-,allstate,2020-11-02 16:51,yes,False,keepthemomentum,,"b'Lawrence Brown, President of the Allstate African American Working Network, gives his take on inclusive diversity. #KeepTheMomentum'",455,37.7,46,7,53,,
CGnW1whjBrH,allstate,2020-10-21 18:03,no,False,keepthemomentum,,"b'Kashia shared her thoughts on why you should push yourself to #KeepTheMomentum.\n\n\xe2\x80\x9cThese types of conversations shouldn\xe2\x80\x99t feel comfortable. In many cases, you\xe2\x80\x99re not going to feel like you know what it is you\xe2\x80\x99re talking about. You are going to feel like it\xe2\x80\x99s out of your zone of comfort and knowledge, but all the more reason to do it. If it doesn\xe2\x80\x99t feel stressful and if you don\xe2\x80\x99t feel some type of conflict, that probably means you\xe2\x80\x99re not digging into the core of the problem.\xe2\x80\x9d'",0,0,127,5,132,,
CGia5l0Dsy4,allstate,2020-10-19 20:03,no,False,keepthemomentum,,"b'To #KeepTheMomentum, Terrance shared his perspective on why it\'s ""Black Lives Matter,"" instead of ""all lives matter"":\n\n\xe2\x80\x9cI have two sons\xe2\x80\xa6the odds of them engaging in an interaction with law enforcement and dying are significantly higher than their white counterparts. When you look at the causes for loss of life amongst African American men at certain age ranges, one of the top 5 is at the hands of law enforcement. That is why there has to be a focus\xe2\x80\xa6that my son\xe2\x80\x99s life is valued in the same way as any other 19-year-old is valued.""'",0,0,211,8,219,,
CGXqIhyjjjq,allstate,2020-10-15 15:44,yes,False,,,"b""Whether it's by mail, early, or in person, making your voting plan is as simple as scrolling past this video. Still need one? Our link in bio has you covered.""",603,15.0,57,9,66,,
