shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBCxJ7hcez,autozone,2020-11-25 14:00,yes,False,getinthezone,,b'Your car\xe2\x80\x99s battery seems to get most of the attention. But your starter is just as important. We\xe2\x80\x99re here to tell you more about it in today\xe2\x80\x99s DIY Dictionary. #GetInTheZone',1065,10.9,97,5,102,,
CH8bhFSjxwZ,autozone,2020-11-23 19:00,no,False,"bestforvets,getinthezone",militarytimes,"b'AutoZone was recently recognized as a 2020 \xe2\x80\x9cBest for Vets Employer\xe2\x80\x9d by @militarytimes.\n \nWe are proud that 10% of the AutoZone workforce includes active or retired Military and of the efforts of our Veteran and Active Leadership Organization for Recruitment and Retention (AZ VALOR). AZ VALOR supports current and former service members and their families through recruitment, networking, learning opportunities and community engagement. We are #BestforVets #GetInTheZone'",0,0,195,3,198,,
CH0Ky8asdAH,autozone,2020-11-20 14:00,no,False,getinthezone,ricocantrell,"b'@ricocantrell, we\xe2\x80\x99re glad we could get you what you needed so you could get to work on that bike. Keep it up. #GetInTheZone'",0,0,445,11,456,,
CHvcq3LhEb4,autozone,2020-11-18 18:00,no,False,getinthezone,,"b'Today\xe2\x80\x99s Quick Fix will have you dealing with dim headlights in no time, and seeing more of the road on those dark fall nights. #GetInTheZone'",0,0,172,8,180,,
CHqg0HFJDWv,autozone,2020-11-16 20:00,no,False,getinthezone,,b'Nisa shared this story of how Randi and Mark went the extra mile to help her mother get back on the road. #GetInTheZone',0,0,130,16,146,,
CHikseajSrk,autozone,2020-11-13 18:00,no,False,getinthezone,rovrlander,b'Good choice on the replacement Payton. We\xe2\x80\x99re thinking happy battery thoughts for you. #GetInTheZone \n\n:camera:: @rovrlander',0,0,164,5,169,,
CHfkcS8jdA1,autozone,2020-11-12 14:00,yes,False,getinthezone,,"b'Your car\xe2\x80\x99s dashboard lights are your car\xe2\x80\x99s way of talking to you. And today, we\xe2\x80\x99re talking about your battery light. #GetInTheZone'",1460,9.933,99,3,102,,
CHdvtRdpnaC,autozone,2020-11-11 21:00,no,False,"happyveteransday,getinthezone",,b'Today and every day we thank our veterans with our military discount: 10% off in-store purchases with your military ID. #HappyVeteransDay #GetInTheZone',0,0,317,2,319,,
CHQHq1RAfVu,autozone,2020-11-06 14:00,no,False,getinthezone,najwhlgn,b'Naj put in the work when it came to his brake job. We\xe2\x80\x99re just here to help him get started\xe2\x80\xa6 and show him some much-deserved love. Nice job.  #GetInTheZone \n\n:camera:: @najwhlgn',0,0,173,5,178,,
CHLnRViJvC5,autozone,2020-11-04 20:00,yes,False,getinthezone,,"b'It\xe2\x80\x99s time for a DIY Dictionary \xe2\x80\x9cBrake\xe2\x80\x9d, where today we\xe2\x80\x99ll be learning a thing or two about rotors. #GetInTheZone'",1495,5.866,120,6,126,,
CHDdbShJuxV,autozone,2020-11-01 16:00,no,False,getinthezone,bluehourvalley,b'A little less daylight just means more jobs getting done in the dark. #GetInTheZone \n\n:camera:: @bluehourvalley',0,0,779,19,798,,
CHA_fupJU2V,autozone,2020-10-31 17:00,no,False,getinthezone,,"b'Nothing says \xe2\x80\x9cBoo!\xe2\x80\x9d like your check engine light. We can help you take care of it with our free AutoZone Fix Finder Service, so you can get back to enjoying your Halloween treats. #GetInTheZone'",0,0,288,6,294,,
CHA_fupJU2V,autozone,2020-10-31 17:00,no,False,getinthezone,,"b'Nothing says \xe2\x80\x9cBoo!\xe2\x80\x9d like your check engine light. We can help you take care of it with our free AutoZone Fix Finder Service, so you can get back to enjoying your Halloween treats. #GetInTheZone'",0,0,288,6,294,,
CG6KsQBBCI_,autozone,2020-10-29 01:23,no,False,getinthezone,,"b'Today\xe2\x80\x99s Quick Fix will have you dealing with dim headlights in no time, and seeing more of the road on those dark fall nights. #GetInTheZone'",0,0,138,1,139,,
