shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
BtLbKQ6jamE,bakerhughesco,2019-01-28 12:37,no,False,"energyforward,bhgeam19",,"b'Today we announced our commitment to reduce CO2 equivalent emissions 50% by 2030, and to net zero emissions by 2050. \nAt BHGE, we\xe2\x80\x99re passionate about inventing smarter ways to bring energy to the world. We are committed to investing and developing technology that furthers our goals of reducing environmental impact. Click the link in the bio for more info. #EnergyForward #bhgeam19'",0,0,624,44,668,"Florence, Italy",43.7833 11.25
BtJGunBl7S9,bakerhughesco,2019-01-27 15:00,no,False,"10yearchallenge,bhgeam19",,"b""Forget the #10yearchallenge. Here's how far our Annual Meeting has come over the past 20 years. #BHGEAM19""",0,0,612,5,617,"Florence, Italy",43.7833 11.25
Bqu6J6wDx47,bakerhughesco,2018-11-28 17:48,no,False,subseaconnect,,b'Introducing #SubseaConnect: Radically Optimized. Outcome Engineered. Life of Field Solutions. Swipe to watch more.',0,0,193,12,205,,
Bqu6AueDcGJ,bakerhughesco,2018-11-28 17:46,no,False,subseaconnect,,b'Introducing #SubseaConnect: Radically Optimized. Outcome Engineered. Life of Field Solutions. *link in bio*',0,0,108,0,108,,
Bqu5_LOjLwu,bakerhughesco,2018-11-28 17:46,no,False,subseaconnect,,b'Introducing #SubseaConnect: Radically Optimized. Outcome Engineered. Life of Field Solutions. *link in bio*',0,0,95,0,95,,
Bqu571djBfn,bakerhughesco,2018-11-28 17:46,no,False,subseaconnect,,b'Introducing #SubseaConnect: Radically Optimized. Outcome Engineered. Life of Field Solutions. *link in bio*',0,0,124,1,125,,
Bqu52R7j3zi,bakerhughesco,2018-11-28 17:45,no,False,subseaconnect,,b'Introducing #SubseaConnect: Radically Optimized. Outcome Engineered. Life of Field Solutions.',0,0,124,0,124,,
Bqu50IjDANZ,bakerhughesco,2018-11-28 17:45,no,False,subseaconnect,,b'Introducing #SubseaConnect: Radically Optimized. Outcome Engineered. Life of Field Solutions.',0,0,168,2,170,,
BppCDKbg4IC,bakerhughesco,2018-11-01 14:30,no,False,"deloitteoilgas,tbt",,"b'On Tuesday, CIO Jennifer Hartsock spoke at #DeloitteOilGas conference in Houston on being thoughtful and focused about how we expect our digital transformation investments to deliver value. #TBT'",0,0,209,0,209,,
Bo1pBK7AT3B,bakerhughesco,2018-10-12 15:30,no,False,"worldoilawards2018,wearebhge",,"b'Last night, we were the recipient of seven World Oil Awards, with five  innovations and two of our innovators being honored for their work in the oil and gas industry. Congratulations to all the winners! #WorldOilAwards2018 #WeAreBHGE'",0,0,362,7,369,,
BozfZEsAraj,bakerhughesco,2018-10-11 19:27,no,False,,utaustintx,"b""We\xe2\x80\x99re proud to play a role in developing our future workforce. Our partnerships with top academic institutions like @utaustintx's Petroleum & Geosystems Engineering will strengthen education programs and prepare students for an industry that they understand is constantly changing.""",0,0,297,2,299,The University of Texas at Austin,30.2864986025 -97.7395114303
Botz4hFlafG,bakerhughesco,2018-10-09 14:33,yes,False,,,"b'Our strategic partnership with ADNOC Group supports local partners, builds capabilities and accelerates overall market growth.'",3011,46.54,443,5,448,,
Boq6b5ZgdZt,bakerhughesco,2018-10-08 11:30,no,False,adnoc_drilling,adnocgroup,b'[NEWS] We are forming a strategic partnership with @adnocgroup to improve drilling efficiencies and grow #ADNOC_Drilling into a fully-integrated drilling and well construction business in the UAE. More info in the link in our bio.',0,0,564,9,573,,
Bohqau6AyW2,bakerhughesco,2018-10-04 21:17,no,False,"gritawards,wearebhge",,b'BHGE is committed to fostering a diverse workforce and inclusive culture. Join us in celebrating the eight women from BHGE who were recognized for their leadership at the Experience Energy #GRITAwards #WeAreBHGE',0,0,316,6,322,,
Bn_XQlND1aS,bakerhughesco,2018-09-21 13:36,no,False,"perfecthseday,wearebhge",,"b""We're proud to announce that our HSE team focused on innovative threat response drills received the Center for Offshore Safety (COS) 2018 Safety Leadership Award this week at their annual forum in Houston. The team\xe2\x80\x99s work on minimizing and mitigating well control events earned the top honors among the three presenting finalists #PerfectHSEDay #WeAreBHGE""",0,0,272,5,277,,
BmvP4VagTw8,bakerhughesco,2018-08-21 10:52,no,False,"stem,fgc2018",f1rstglobal,"b""Congratulations to all of the teams that participated in @f1rstglobal's international robotics competition in Mexico City last weekend. The Baker Hughes Foundation\xe2\x80\x99s grant helped unite youth passionate about #STEM from 160+ countries to develop energy solutions for their communities #FGC2018""",0,0,265,2,267,"Mexico City, Mexico",19.4326 -99.1332
BmlRT7jgMKI,bakerhughesco,2018-08-17 13:52,no,False,"stem,fgc2018,repost,fgc2018","f1rstglobal,f1rstglobal,bhgeco","b""We are excited to support @F1RSTglobal Challenge for students passionate about #STEM.  Great to see Baker Hughes Foundation\xe2\x80\x99s grant helping to unite youth from 175 countries to develop energy solutions for their communities through robotics #FGC2018.\n\n#Repost @f1rstglobal\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nOur friends at @bhgeco believe in developing smarter ways to bring energy to the world. Our teams are on their way to #FGC2018 and being a part of re-writing the world's energy story.""",0,0,245,3,248,,
BlbDoLXg51g,bakerhughesco,2018-07-19 18:09,no,False,"tbt,1yearstrong,wearebhge",otcevents,b'#TBT to our DEEPFRAC:trade_mark: service and TerrAdapt drill bit teams being selected as winners of the Spotlight on New Technology Awards at @otcevents! #1YearStrong #WeAreBHGE',0,0,271,2,273,"Houston, Texas",29.7602 -95.3694
BlYLT9Lg-8R,bakerhughesco,2018-07-18 15:18,no,False,"wcw,engineering",,"b'Our #WCW this week is Noor Alenezi, a field engineer from our Kuwait team. She\xe2\x80\x99s a coiled tubing and acid stimulation field engineer in the Pressure Pumping Department. She is an inspiration to all women who are passionate about #engineering professions. Read her inspiring story by clicking the link on our bio.'",0,0,384,16,400,,
Bkxb-S_Apee,bakerhughesco,2018-07-03 14:19,yes,False,wearebhge,,"b'Happy Birthday BHGE! Thanks to our customers & partners for their continued support, and to our people for all that they do. Come discover all the ways #WeAreBHGE *link in bio*'",3373,10.0,365,7,372,,
Bkkh6OWgSEc,bakerhughesco,2018-06-28 13:55,no,False,wgc2018,,"b'BHGE offers customers a fullstream portfolio of integrated gas technologies, solutions, and services\xe2\x80\x94that improve productivity and reduce carbon footprint. Click the link in our bio to explore more. #WGC2018'",0,0,199,1,200,,
Bki0_ztAPYn,bakerhughesco,2018-06-27 22:03,no,False,wgc2018,,"b'[NEWS] BHGE and McDermott International were awarded phase two of the Shwe gas field development, offshore Western Myanmar from POSCO Daewoo. The signing of the contract was held in Washington during #WGC2018. *link in bio*'",0,0,286,7,293,,
BjZ24Nigr65,bakerhughesco,2018-05-30 14:01,yes,False,"scottishenterprise,subseamanufacturing,oilandgas,scotlandisnow,industry40",,"b'We\xe2\x80\x99re investing $43m - with $7m funding from #scottishenterprise - in a #subseamanufacturing campus and Centre of Excellence (CoE) in NE Scotland \xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf, to support the global #oilandgas industry. Link in bio  #scotlandisnow #Industry40'",2254,25.0,180,3,183,,
Bi4lSk6gdUE,bakerhughesco,2018-05-17 15:46,no,False,,,"b'Today, we are opening our Customer Solutions Center for our Inspection Technologies customers in Cincinnati - the start of a new level of customer service like never before. Read more in link in bio'",0,0,324,3,327,,
BiSKiLLD3k3,bakerhughesco,2018-05-02 17:42,no,False,otc50,,b'#OTC50 attendees: Stop by Booth 2827 and see how mixed reality technologies are getting oil and gas operations back up and running and cutting costly downtime',0,0,198,4,202,,
Bh6y9HgAonW,bakerhughesco,2018-04-23 15:53,no,False,,statoil,"b""[NEWS] We are supplying turbomachinery equipment for @Statoil's Johan Castberg field offshore Norway, one the industry\xe2\x80\x99s most impactful projects globally *link in bio*""",0,0,167,2,169,,
BhucgZSgHf1,bakerhughesco,2018-04-18 20:46,no,False,otc50,,b'More reliable. More efficient. More offshore. Learn more about our award-winning DEEPFRAC:trade_mark: technology at #OTC50 *link in bio*',0,0,162,0,162,,
Bg4XMWaANai,bakerhughesco,2018-03-28 20:40,no,False,,,b'Today we published our first Annual Report. Swipe :left_arrow_selector: for more details or click the link in our bio for the full report',0,0,359,6,365,,
BgPBhOajIED,bakerhughesco,2018-03-12 19:22,no,False,,,"b""Today, we're announcing that McDermott International Inc. and BHGE have been selected for the front-end engineering design studies in advance of an engineering, procurement, construction and installation contract for BP's Tortue/Ahmeyim field development. invent.ge/2FM2wXG""",0,0,182,1,183,,
BgEd93ZHnLb,bakerhughesco,2018-03-08 16:59,no,False,ceraweek,,"b'""When you look at the new frontier of AI, 3D printing, robotics, challenges we face with environmental issues and with workforce, technology is going to be the enabler for us to succeed."" - Chairman & CEO Lorenzo Simonelli. \nSwipe to see more highlights from our leaders at #CERAWeek'",0,0,131,0,131,,
BgEKIevnu5I,bakerhughesco,2018-03-08 14:06,no,False,iwd2018,,"b'\xe2\x80\x9cGoing on a factory tour exposed to me a whole world of engineering and women that I had no other frame of reference around. What holds people back isn\xe2\x80\x99t capability, but exposure.\xe2\x80\x9d - Louise Goetz, Europe Director of Oilfield Equipment Read her story *link in our bio* #IWD2018'",0,0,448,4,452,,
Bf_gLGynJV4,bakerhughesco,2018-03-06 18:42,no,False,ceraweek,,b'#CERAWeek attendees: Catch Chairman & CEO Lorenzo Simonelli speak on the North American Oil: The supply disrupter panel. Follow us on Twitter for live insights.',0,0,229,0,229,,
BftP-gUAS77,bakerhughesco,2018-02-27 16:38,yes,False,,,"b'For our oil and gas customers, we are developing a digital catalogue of spare parts that they can select when needed, providing the opportunity to drastically reduce downtime. Massimiliano Cecconi, TPS Advanced Technology Leader.'",1393,28.0,129,0,129,,
Bek1iyygOzt,bakerhughesco,2018-01-30 13:38,no,False,bhgeam18,,"b'Wearing the HoloLens is an immersive ""mixed reality"" experience, combining virtual and augmented reality for our customer trainings, inspections and site plans. #BHGEAM18'",0,0,134,4,138,"Florence, Italy",43.7833 11.25
Beh5s4tA7A4,bakerhughesco,2018-01-29 10:17,no,False,bhgeam18,,b'Chairman & CEO Lorenzo Simonelli delivering the opening keynote at #BHGEAM18',0,0,262,0,262,"Florence, Italy",43.7833 11.25
BegPIpQAqj3,bakerhughesco,2018-01-28 18:46,no,False,bhgeam18,,b'Tomorrow\xe2\x80\x99s the big day! Join us at 8:30am (GMT+1) for the latest news from our 2018 Annual Meeting #BHGEAM18 *link in bio*',0,0,149,0,149,"Florence, Italy",43.7833 11.25
BedRT3VAjyy,bakerhughesco,2018-01-27 15:07,no,False,bhgeam18,simonelli_l,b'Chairman & CEO @simonelli_l will kick off #BHGEAM18 Monday on Facebook Live. Make sure to follow our Facebook Page for more updates!',0,0,316,1,317,,
Bea9egLgCZZ,bakerhughesco,2018-01-27 09:31,yes,False,bhgeam18,,b'See the future before it begins and make the right decisions with our TerrAdapt Adaptive Drill Bit VR experience #BHGEAM18',1960,59.0,184,0,184,,
BeQSGcBgDAR,bakerhughesco,2018-01-22 14:04,no,False,bhgeam18,,b'#BHGEAM18 is coming up next week! Stay tuned for more updates. *link in bio*',0,0,138,0,138,,
BeGvBsQA0Pt,bakerhughesco,2018-01-18 21:04,yes,False,bhgeam18,,"b""Wouldn't it be nice if you could reliably install an electrical submersible pump (ESP) without the frustration and cost of a rig? Learn more about TransCoil, one of the solutions featured at #BHGEAM18 *link in bio*""",1289,60.0,124,1,125,,
BeDoADfA4aG,bakerhughesco,2018-01-17 16:05,no,False,"schoolworkrotation,balancetheequation,stem",,"b'This week, we kicked off a new project of #schoolworkrotation in Florence in collaboration with I.T.I.S. Meucci as a contribution to the #BalanceTheEquation campaign to foster #STEM education for young women'",0,0,146,0,146,,
BeBQQtQAtME,bakerhughesco,2018-01-16 17:59,no,False,bhgeam18,,b'Power Play: Africa\xe2\x80\x99s First Floating Gas Facility Will Charge Up Mozambique\xe2\x80\x99s Economy #BHGEAM18 *story in bio*',0,0,212,7,219,,
Bd-a-SgguFe,bakerhughesco,2018-01-15 15:35,no,False,bhgeam18,,b'#BHGEAM18 is two weeks away! See how we are inventing smarter ways to bring energy to the world: *link in bio*',0,0,154,1,155,,
Bd2xF-qA5Te,bakerhughesco,2018-01-12 16:19,yes,False,,,"b""These roles didn't exist 10 years ago. Innovations in automation and connectivity are changing the way the oil and gas industry works.""",1453,17.0,84,0,84,,
BcsRYZNgz57,bakerhughesco,2017-12-14 17:53,no,False,iktva,"saudi_aramco,bhgeco,iktva",b'[NEWS] @saudi_aramco awards $175 million contract to @BHGECO to boost gas production and increase local commitment @iktva #iktva. Read more by visiting the link in our bio.',0,0,240,7,247,,
BafBMEUABcQ,bakerhughesco,2017-10-20 21:19,no,False,"fbf,worldoil,bhge",,"b'#FBF to the 16th annual #WorldOil awards in Houston last week, where #BHGE won three awards: Best Production Chemicals for Chemical Solutions for Near-Wellbore Damage, Rustom Mody for Lifetime Achievement, and Dan Scott for Innovative Thinker. Congratulations to all of our winners!'",0,0,111,1,112,"The Houstonian Hotel, Club & Spa",29.7676912137 -95.4605458569
