shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIEBet3HZF6,bankofamerica,2020-11-26 17:46,yes,False,thanksgiving,,"b'Whether your loved ones are at the table or in your heart, we wish you a happy and healthy #Thanksgiving. :turkey::pie::maple_leaf:'",3619,9.033,476,24,500,,
CH0M0FxHZHZ,bankofamerica,2020-11-20 14:28,yes,False,endaids,red,b'An AIDS-free world is possible. We can\xe2\x80\x99t stop now. Join us in the fight to #endAIDS in Africa. Donate to @RED and we\xe2\x80\x99ll TRIPLE your contribution. Find the link in our bio to donate.',2787,15.01,283,34,317,,
CHddrcSHgvs,bankofamerica,2020-11-11 18:22,no,False,veteransday,,b'Today we pause to recognize our nation\xe2\x80\x99s heroes who have served this country. #VeteransDay',0,0,1278,131,1409,,
CHanOwuHX7k,bankofamerica,2020-11-10 15:48,no,False,bettermoneyhabits,,"b'Saving can add a little certainty in changing times. Experts recommend saving 6-9 months\xe2\x80\x99 worth of expenses in case of an illness, accident or unexpected job loss. #BetterMoneyHabits.'",0,0,468,39,507,,
CG2UiHBnozy,bankofamerica,2020-10-27 13:32,no,False,nwsbm,,"b'Journey? 2020 has been more like an odyssey. When you run into bumps in the road, who do you turn to for guidance and motivation? #NWSBM'",0,0,520,160,680,,
CGzxE17n1q1,bankofamerica,2020-10-26 13:43,no,False,,,"b'When a vacation isn\xe2\x80\x99t an option, a staycation is the next best thing. Check out these tips for a fun family getaway in familiar territory. Link in bio.'",0,0,641,30,671,,
CGhqiplM7tC,bankofamerica,2020-10-19 13:00,no,False,nwsbm,,b'This year has delivered its share of challenges to women small business owners and customers alike. How do you recommend maintaining strong relationships during a difficult time? #NWSBM',0,0,437,101,538,,
CGfnHjHn1ei,bankofamerica,2020-10-18 17:53,yes,False,"globalambassadors,mentoring,entrepreneurs","vitalvoices,annefinucane","b""2020 marks the 10th anniversary of our #GlobalAmbassadors Program, a partnership with @VitalVoices. In those 10 years, we've held 20 programs, engaged 400 women across 85 countries, and provided 8,000 hours of training and #mentoring. And we're not done yet.\n\nWatch the video in IGTV and click the link below to read more from BofA Vice Chairman @AnneFinucane and Global Exec for Women's Programs, Rena De Sisto, about why programs like GAP are essential to helping women #entrepreneurs around the globe.\n\nhttps://bit.ly/37kbWa9""",3071,95.751,194,23,217,,
CGZ8PDWMChw,bankofamerica,2020-10-16 13:01,no,False,,,b'Missing campus this semester? Turn your bedroom into your dorm room with these great decoration ideas. Link in bio.',0,0,794,41,835,,
CGXgFKhHtLV,bankofamerica,2020-10-15 14:17,yes,False,hispanicheritagemonth,,"b'Together we have the power to create economic opportunities for all. This #HispanicHeritageMonth and beyond, we are committed to advancing racial equality and economic opportunity. \n\nY t\xc3\xba, \xc2\xbfQu\xc3\xa9 quieres lograr?'",2103,59.4,190,35,225,,
CGSUpZNjmEI,bankofamerica,2020-10-13 14:00,no,False,bettermoneyhabits,buzzfeed,b'Our #BetterMoneyHabits and @Buzzfeed roundtable premieres today. Watch to hear real questions from real people and conversations with Bank of America financial specialists on navigating income disruption and family life in 2020. Link in bio.',0,0,401,31,432,,
CGH6pL7nZ6q,bankofamerica,2020-10-09 13:01,no,False,,,b'The countdown is on: double cash back days start tomorrow. :hourglass_not_done: Earn double cash back on retail and dining deals. It\xe2\x80\x99s our little way of saying thanks. :hugging_face: Learn more. Link in bio.',0,0,277,69,346,,
CGH6pL7nZ6q,bankofamerica,2020-10-09 13:01,no,False,,,b'The countdown is on: double cash back days start tomorrow. :hourglass_not_done: Earn double cash back on retail and dining deals. It\xe2\x80\x99s our little way of saying thanks. :hugging_face: Learn more. Link in bio.',0,0,277,69,346,,
CGD8cTbHwAO,bankofamerica,2020-10-07 23:59,no,False,"mentoring,bofastudentleaders",mentornmp,"b'Join us tomorrow on our LinkedIn page for a live conversation with our own Kerry Sullivan and @mentornmp CEO David Shapiro on the importance of #mentoring and how the #BofAStudentLeaders program sets youth up for success through mentorship, leadership and civic engagement.'",0,0,383,21,404,,
CGAMQvGDNvW,bankofamerica,2020-10-06 13:01,no,False,"mysbostory,mysbostory,nwsbm",,"b'Even though every business and every story is different, your experience can be an inspiration to others facing similar struggles. No one makes it on their own. So, throughout Women\xe2\x80\x99s Small Business Month, we\xe2\x80\x99re turning to you to hear about your experiences and listening to your stories. Tell us anything with hashtag #MySBOStory. We\xe2\x80\x99re ready to hear you out. \r\n \r\nHere\xe2\x80\x99s what we know: the stakes are high with 62% of women entrepreneurs depending on their business as their primary source of income. So you\xe2\x80\x99re acting swiftly to confront the pandemic, making creative changes at the drop of a dime. Taking businesses outside. Diversifying offerings. Or changing businesses to help neighboring communities. \r\n \r\nAt the same time, our small business specialists have adapted their expert tools, guidance and resources to guide small business owners through the chaos with grace and creativity. \r\n \r\nNow, we want to hear how you\xe2\x80\x99ve made it through the past few months. How are you getting by? What have you learned? How else can we help? Your story deserves to be heard. And we\xe2\x80\x99re listening. Use #MySBOStory to share your ups and downs and in-betweens. #NWSBM'",0,0,946,68,1014,,
CF2adCenXKq,bankofamerica,2020-10-02 17:57,yes,False,homebuyerinsights,,"b""There's no place like home! :house_with_garden: \n\nOur latest #HomebuyerInsights show that first-time homebuyers are planning to accelerate their home purchase timeline or stay on track.\n\nAre you considering making homeownership a reality?""",3134,14.01,219,40,259,,
CFzUW2CHyh1,bankofamerica,2020-10-01 13:01,no,False,nwsbm,,"b'In a year full of questions, our Head of Small Business, Sharon Miller, is here to help you find the answers. Comment below with your business questions \xe2\x80\x93 whether that\xe2\x80\x99s accessing capital, preparing for what\xe2\x80\x99s next or anything else that may help you manage your business. She\xe2\x80\x99ll be answering your questions on our Instagram at 4 p.m. on Oct.15 to #NWSBM'",0,0,823,31,854,,
CFfN8YZHq4A,bankofamerica,2020-09-23 17:42,yes,False,"sustainablemarketsinitiative,sustainablefuture,thegreatreset","retv_smi,clarencehouse","b'2020 has been an opportunity for us to reflect on where we are & how we can rebuild. We\xe2\x80\x99re proud to support the #SustainableMarketsInitiative which focuses on addressing society\xe2\x80\x99s most pressing concerns, including a transition to net-zero carbon emissions. Through the launch of @retv_smi curated by editor-in-chief, His Royal Highness The Prince of Wales @clarencehouse, we can see how they\xe2\x80\x99re championing inspiring innovations & groundbreaking ideas that will help create a more #sustainablefuture for all of us. #TheGreatReset. \n\nClick the link in our bio for more details.'",5026,60.006,372,92,464,,
CFcLdHTnAgj,bankofamerica,2020-09-22 13:23,yes,False,,andyto,"b'@AndyTo paused a few travel plans and turned 2020 into an unexpected chance to focus on what\xe2\x80\x99s next. Fortunately, Bank of America Advantage Banking made the transition even easier for him in terms of financial planning. How are you planning differently for your future? Learn more at the link in our bio.'",4151,15.76,270,40,310,,
CFW_chyAiyp,bankofamerica,2020-09-20 13:00,no,False,"virtual,babyshower",oprahmagazine,"b'Good news: according to @oprahmagazine, a #virtual #babyshower is a lot like an IRL one. :baby::shopping_bags::party_popper: 1) Choose a virtual venue, 2) Send invitations, 3) Decorate your backdrop, 4) Register for gifts, 5) Plan some fun games.\nLink in bio.'",0,0,737,45,782,,
CFCZGILnQhR,bankofamerica,2020-09-12 13:00,no,False,nationaldayofencouragement,,b'The #NationalDayOfEncouragement is all about uplifting those around us and making a positive impact. Here are 7 ways you can help a friend in need\xe2\x80\x94without spending a penny. Link in bio.',0,0,665,96,761,,
CE_0cw3AIt7,bankofamerica,2020-09-11 13:01,no,False,neverforget,,"b'Today, our nation collectively honors the victims of the September 11 attacks. You\xe2\x80\x99ll always be in our hearts. #NeverForget'",0,0,4296,100,4396,,
CE6r5PCBiup,bankofamerica,2020-09-09 13:12,yes,False,,andyto,"b'Times have changed for photographer and videographer @andyto, but his goals haven\xe2\x80\x99t. Luckily, Bank of America Advantage Banking makes it easy to manage your money and stick to your financial goals. Learn more at the link in our bio.'",4550,6.033,367,37,404,,
CEtyJ-lnNEK,bankofamerica,2020-09-04 12:56,yes,False,,,"b'You can now view all of your banking and investing info in one place\xe2\x80\x94our Mobile Banking app. :mobile_phone:With just one login you can transfer eligible funds, access investment details and get help from Erica:registered:, your virtual financial assistant.'",5853,9.505,544,74,618,,
CErWTS6hPYq,bankofamerica,2020-09-03 14:13,yes,False,bofastudentleaders,,"b""We asked this year's #BofAStudentLeaders to share their favorite quote with us. Their responses were both thoughtful and inspiring! \n\nWhat is your favorite quote? Let us know in the comments below. :right_arrow_curving_down_selector:""",2561,20.081,286,36,322,,
