shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CID1THKDV1F,dollargeneral,2020-11-26 16:00,no,False,happythanksgiving,,"b""We're thankful for our employees. We're thankful for you. And we're thankful the holidays are here to bring us all together in new ways this year. Happy Thanksgiving from us to you.\n\n#HappyThanksgiving""",0,0,704,11,715,,
CH8G6ecnGk1,dollargeneral,2020-11-23 16:00,no,False,,,b'Gather safely on turkey day with Thanksgiving-themed masks available at DG.',0,0,521,34,555,,
CH0Yh6Xlrbi,dollargeneral,2020-11-20 16:00,no,False,"blackfriday,disney,kitchensales,blackfridaysales",,b'Mark your calendars for our Thanksgiving 3-day sale starting 11/26. Mickey Mouse appliances are 50% off. :rainbow::butterfly::mouse_face: \n.\n.\n#BlackFriday #Disney #KitchenSales #BlackFridaySales',0,0,793,18,811,,
CHxzvH8g1FR,dollargeneral,2020-11-19 16:00,no,False,,,"b'No matter the size of your tree, our $1 ornaments are the perfect fit.'",0,0,725,31,756,,
CHvO8bbsqma,dollargeneral,2020-11-18 16:00,no,False,,,"b""Thanksgiving ready? With a quick trip to DG, you will be. We've got the foil, paper plates, napkins and delicious sides to complete any meal.""",0,0,873,14,887,,
CHsqJYMAk3t,dollargeneral,2020-11-17 16:00,no,False,,,"b""Time to curl up on the couch? We've got you covered, literally. Shop throws, pillows and more holiday decor.""",0,0,1222,24,1246,,
CHf5COrFIto,dollargeneral,2020-11-12 17:00,no,False,dollargeneralfinds,rosegardengirl,"b""Season's greetings from our friend @rosegardengirl. Share your holiday haul with #DollarGeneralFinds for the chance to be featured.""",0,0,723,21,744,,
CHdNX82lvXz,dollargeneral,2020-11-11 16:00,no,False,,officialbelievebeauty,"b""What's that amazing smell? It's you and your main squeeze this holiday. Grab our brand-new men's and women\xe2\x80\x99s @OfficialBelieveBeauty sprays now before they're all under someone else's tree. Only at DG.""",0,0,288,12,300,,
CHavcsrnM34,dollargeneral,2020-11-10 17:00,no,False,,,"b""There's no such thing as too many ornaments. Or lights. Or Christmas cookies ... \n\nCome get Christmassy, starting at $1.""",0,0,631,9,640,,
CHYGttcDOSy,dollargeneral,2020-11-09 16:25,no,False,"thanksgivingrecipes,thanksgivingdinner,thanksgiving",,"b""Thanksgiving favorites, only better. Our Better For You recipes are packed with flavor, healthy ingredients and simple, easy-to-make steps. Swipe through to view. See any you'd like to try?\n\n#ThanksgivingRecipes #ThanksgivingDinner #Thanksgiving""",0,0,399,11,410,,
CHQVZhajEJi,dollargeneral,2020-11-06 16:00,no,False,,,b'Fall fashion is at its peak. Show off your many colors with our new fall apparel look book.',0,0,174,2,176,,
CHN26XLDZjc,dollargeneral,2020-11-05 16:55,no,False,"dollargeneralfinds,falldecor,fallaestetic,falldecorations",savvysavingcouple,b'Our friend @savvysavingcouple \nshows off her best fall style with a little help from DG.\n\nShare your fave holiday decor with #DollarGeneralFinds to be featured on our page.\n\n#FallDecor #FallAestetic #FallDecorations',0,0,585,11,596,,
CHGJFpeDl0j,dollargeneral,2020-11-02 17:00,no,False,,,b'Why not deck the halls early this year and stay merry for longer? Shop our decor now.',0,0,519,15,534,,
CHA2MsZDad5,dollargeneral,2020-10-31 15:38,no,False,"halloweenmakeup,halloweencostume,beautytips",wanderlust.lacie,"b""Happy Halloween! Still need a last-minute costume that's frightfully good? DG and @Wanderlust.Lacie have got you covered. Recreate her look with items all found at Dollar General. \n\n#HalloweenMakeup #HalloweenCostume #BeautyTips""",0,0,409,3,412,,
CG-rn-ujtHD,dollargeneral,2020-10-30 19:28,yes,False,"halloweendesserts,sweettooth,halloween,dollargeneralfinds",delightfulemade,"b'Check out this fun, easy spider cookie tutorial from @delightfulemade. Need more last-minute Halloween treat ideas? Check out DG.com Link in bio.\n\n#HalloweenDesserts\xc2\xa0#SweetTooth\xc2\xa0#Halloween\xc2\xa0#DollarGeneralFinds'",6926,14.466,591,6,597,,
CG-ORc_DTkS,dollargeneral,2020-10-30 15:11,no,False,"halloween,halloweencostume",,"b""Halloween sneak up on you this year? Don't be scared \xe2\x80\x94 we've got everything you need for a last-minute costume. Swipe through to pick your favorite mask.\n.\n.\n#Halloween #HalloweenCostume""",0,0,314,4,318,,
CG7oLL4nrvn,dollargeneral,2020-10-29 15:00,no,False,,"wanderlust.lacie,dollargeneralbeauty",b'Create a new look just in time for Halloween. Our friend @Wanderlust.Lacie created this entire look with makeup and Halloween tattoos from DG. Check @DollarGeneralBeauty for the full video tutorial.',0,0,450,3,453,,
CG5DYZbl_vy,dollargeneral,2020-10-28 15:00,no,False,,,"b""Eat, drink & be scary. We've got all your party supplies including a frighteningly big selection of Vizzy and Bud Light hard seltzers. \n\nCelebrate Responsibly.""",0,0,226,9,235,,
CG2lc-JFBxX,dollargeneral,2020-10-27 16:00,no,False,,"rootsoutwest,crowandoakhome","b'""DOLLAR GENERAL FINDS :sparkles: Had so much fun shopping with my new insta friend @rootsoutwest!"" -- @crowandoakhome \n\nSounds like our customers are enjoying our Halloween section. There\'s still plenty of time to get your spooky on.'",0,0,1148,20,1168,,
CGz5ymIn9Ve,dollargeneral,2020-10-26 15:00,no,False,,cupofconsuella,"b""Haunting the house for Halloween is a yearly specialty for @cupofconsuella. This adorable ladybug costume is $5.\n\nThere's still time to get all the costumes and decor you need in time for Halloween.""",0,0,508,116,624,,
CGsLZ8WHd2l,dollargeneral,2020-10-23 15:00,no,False,,,b'Holiday cheer you can feel through your screen. Jingle in the holidays with our Christmas tree decor options. Check our link in bio to get started on your Christmas cheer.',0,0,489,10,499,,
CGptea_j8kU,dollargeneral,2020-10-22 16:00,no,False,,,"b""This year, completing the costume means putting on that mask starting at $2. Kinda feels appropriate for Halloween, doesn't it?""",0,0,253,1,254,,
CGnC2pnD5Vn,dollargeneral,2020-10-21 15:09,no,False,"dollargeneralfinds,dollargeneralbeauty,nailsofinstagram,nailart,halloweennails",the_naja,b'Our friend @the_Naja gets her festive nails done right with a little help from DG. Get creative with your claws and tag us to be featured.\n.\n.\n #DollarGeneralFInds #DollarGeneralBeauty #NailsofInstagram #NailArt #HalloweenNails',0,0,383,20,403,,
CGlAjLRjRGj,dollargeneral,2020-10-20 20:10,no,False,"dollargeneralfinds,halloweenparty,halloweendecor,kidsparty","thirtyminusoneblog,thenashvillemom,interiorswag",b'Be inspired. Stay spooky. \nShow us how you style at home with DG \xe2\x80\x93 just use #DollarGeneralFinds to be featured on our page.\n:camera_with_flash:: @ThirtyMinusOneBlog\n@TheNashvilleMom\n@InteriorSwag\n.\n.\n #HalloweenParty #HalloweenDecor #KidsParty',0,0,434,26,460,,
CGh4OZDH_aU,dollargeneral,2020-10-19 15:00,no,False,,,"b""Gotta get that cute kiddo photo op in where you can. Make 'em smile with our fun photobooth props, stickers, garlands and more.""",0,0,251,1,252,,
CGaJ1vuF-Gr,dollargeneral,2020-10-16 15:00,no,False,,,"b""That feeling when you realize it's not too early to start throwing up all the Christmas decorations. Are you ready for Christmas or more excited for Halloween?""",0,0,573,10,583,,
CGXlC2aDP5p,dollargeneral,2020-10-15 15:00,no,False,,,"b'Add some mischief to your mantle with wall hanging decor, colored bottles, candles and more.'",0,0,334,11,345,,
CGSiUsNlHPm,dollargeneral,2020-10-13 16:00,no,False,,,"b'Have a safe Halloween with these DIY candy bags that\'ll help keep hands germ-free and keep them grinning from ear to ear. Link to our full article ""7 Tips for Safe & Contactless Trick-or-Treating"" in our bio.'",0,0,320,5,325,,
CGQF8OVDCgM,dollargeneral,2020-10-12 17:13,no,False,"halloween,halloweenrecipe,dgeasymeals",,"b""Halloween finger foods are here. Try the recipe. :right_arrow_selector: Wicked Good Witch's Fingers.\n\n#Halloween #HalloweenRecipe #DGEasyMeals""",0,0,281,6,287,,
CGIIRj1HQRA,dollargeneral,2020-10-09 15:00,no,False,,,"b""Sure you've got a costume...but does your end table have one too? Shop tabletop decor at DG.""",0,0,740,18,758,,
CGDFj4ZjyRW,dollargeneral,2020-10-07 16:00,no,False,,,"b'Everyone wants to be the first to decorate for Halloween. In fact, we heard some people have been camping out in our stores since last Halloween.'",0,0,393,16,409,,
CF91GSuAxMB,dollargeneral,2020-10-05 15:00,yes,False,,,b'Buy candy early. Get savings early (and plenty of spooky surprises). \n\nHead to DG to get all your candy needs.',4381,7.6,222,11,233,,
