shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDgvEKrj-I,dollartree,2020-11-26 13:01,no,False,"dollartree,happythanksgiving",,b'Happy Thanksgiving!\xe2\x81\xa0\n.\xe2\x81\xa0\n.\xe2\x81\xa0\n.\xe2\x81\xa0\n.\xe2\x81\xa0\n.\xe2\x81\xa0\n#DollarTree #HappyThanksgiving',0,0,476,11,487,,
CIByDVWJiuo,dollartree,2020-11-25 20:53,yes,False,"dollartree,santahats,seasonsmeetings,christmas,happyholidays",,"b'Whether you\xe2\x80\x99re planning a virtual family gathering, video conference office party or a fun drive-by event for holiday light viewing, we have all your festive holiday apparel & accessories!\n.\n.\nShop online through the link in our bio!\n.\n.\n#DollarTree #SantaHats #SeasonsMeetings #Christmas #HappyHolidays'",14079,2.8,928,9,937,,
CIA-r8nJy__,dollartree,2020-11-25 13:24,no,False,"dollartree,holidayplush,plush,toys",,"b'On the mantel or in a stocking, our cute & cozy Christmas plush pals are sure to create some holiday smiles!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\nShop online through the link in our bio!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n#DollarTree #HolidayPlush #Plush #Toys'",0,0,3027,23,3050,,
CH_XiwjJ38e,dollartree,2020-11-24 22:23,no,False,"dollartree,vases,decor",,b'Showcase your favorite holiday d\xc3\xa9cor with classy $1 vases \xe2\x80\x94 in stores & online now!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\nShop online at the link in our bio!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n#DollarTree #Vases #Decor',0,0,10549,52,10601,,
CH-huFCJz3n,dollartree,2020-11-24 14:32,no,False,"dollartree,hotwheels,stockingstuffers,giftideas,toys",,b'Put the pedal to the metal with Hot Wheels:registered: die-cast cars and test your racing skills with our accessory packs & racetracks \xe2\x80\x93 all available for just A DOLLAR EACH!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\nShop online through the link in our bio.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n#DollarTree #HotWheels #StockingStuffers #GiftIdeas #Toys',0,0,1499,17,1516,,
CH9HVuOp5OH,dollartree,2020-11-24 01:23,no,False,"dollartree,diy,hacks,crafts",icanmakethatt,"b'Drumroll, please... Our first Featured Follower of the Week is @icanmakethatt! She made this gorgeous Thanksgiving pillow using one of our tote bags & some craft supplies. Clever!\n.\n.\nDon\xe2\x80\x99t forget to keep tagging us in your Dollar Tree creations and share with your friends, so that you could also have your idea featured!\n.\n.\n#DollarTree #DIY #Hacks #Crafts'",0,0,5414,38,5452,,
CH70GqJJUkf,dollartree,2020-11-23 13:15,no,False,"dollartree,movienight,happyholidays",,b'Spend some quality time with your loved ones this holiday season with a family movie night!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\nShop online through the link in our bio!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n#DollarTree #MovieNight #HappyHolidays',0,0,3167,25,3192,,
CH7ybiGLF3y,dollartree,2020-11-23 13:01,no,False,"dollartree,serveware,holidayhosting,thanksgiving",,b'The snuggle is real! Bundle up on a budget with warm & cozy $1 winter apparel \xe2\x80\x94 in stores & online now!\xe2\x81\xa0\n.\xe2\x81\xa0\n.\xe2\x81\xa0\nShop online through the link in our bio!\xe2\x81\xa0\n.\xe2\x81\xa0\n.\xe2\x81\xa0\n#DollarTree #Serveware #HolidayHosting #Thanksgiving',0,0,1368,10,1378,,
CH6Hs1DJK7k,dollartree,2020-11-22 21:28,no,False,"dollartree,happyholidays,frames,candles,decor",,"b'Showcase your favorite memories with $1 picture frames and create some cozy holiday ambience with holiday candles, d\xc3\xa9cor & more!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\nShop online through the link in our bio.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n#DollarTree #HappyHolidays #Frames #Candles #Decor'",0,0,2593,5,2598,,
CH2x8BAJSSX,dollartree,2020-11-21 14:20,no,False,"dollartree,christmas,christmasglassware,glassware",,b'\xe2\x80\x98Tis the season for sippin\xe2\x80\x99!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\nShop online through the link in our bio!\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n.\xe2\x81\xa0\xe2\xa0\x80\n#DollarTree #Christmas #ChristmasGlassware #Glassware',0,0,3473,22,3495,,
