shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIEzUEbKhCV,ebay,2020-11-27 01:02,no,False,"trending,kaws,newrelease,ebayfinds","kaws,wearesonsanddaughters",b'#Trending :fire:Let your mini me  see the world through the rose-colored glasses from KAWS x Sons & Daughters glasses. They\xe2\x80\x99re sold out everywhere but eBay! #KAWS @kaws @wearesonsanddaughters #newrelease #ebayfinds',0,0,285,6,291,,
CID1bcWFqST,ebay,2020-11-26 16:01,no,False,happythanksgiving,,b'Current mood: #happythanksgiving :turkey:',0,0,414,18,432,,
CIBx2q1Fp9-,ebay,2020-11-25 20:51,no,False,"4,thehobby,whodoyoucollect,tradingcards,ebayfinds,pwccvault",pwccmarketplace,b':warning_selector: Closing today :warning_selector: 1999 Pokemon Base Set 1st Edition Shadowless Holo Charizard #4 PSA 10 GEM MINT #TheHobby #WhoDoYouCollect #TradingCards #ebayfinds @pwccmarketplace #pwccvault',0,0,2478,49,2527,,
CH_5TncFBfF,ebay,2020-11-25 03:19,yes,False,"cowabunga,ebayforcharity,teenagemutantninjaturtles,ebayfinds","jessejamescomics,givecomicshope","b'We love a great partnership! We\xe2\x80\x99ve teamed up with @jessejamescomics and @givecomicshope, a charity initiative dedicated to supporting the small businesses at the heart of the comic book community affected by COVID. #Cowabunga #ebayforcharity #teenagemutantninjaturtles #ebayfinds'",3075,8.338,231,22,253,,
CH_vXPeFWGA,ebay,2020-11-25 01:51,no,False,"ebaymotors,lamborghini,luxelife,ebayfinds",lamborghini,"b'This 2019 @lamborghini Aventador SVJ has never been driven and is 1 of 900. With cutting-edge technology and a bold design, this SVJ is waiting to be tamed. What\xe2\x80\x99s your dream Lambo color? #ebaymotors #lamborghini #luxelife #ebayfinds'",0,0,5593,54,5647,,
CH_HWLql0z4,ebay,2020-11-24 20:01,no,False,,,"b'When it comes to collecting, LA did not disappoint. Check out some highlights from our first-ever eBay Authentication Station.'",0,0,460,24,484,"Los Angeles, California",34.0564 -118.2445
CH9DiBVlGW6,ebay,2020-11-24 00:49,no,False,"mandomonday,mandalorian,mandalorian,starwars,exclusive,ebayfinds",,"b':sparkles:eBay Exclusive:sparkles: It\xe2\x80\x99s #MandoMonday and we have a bounty of #Mandalorian gear. Today, we\xe2\x80\x99re dropping autographed posters signed by Pedro Pascal himself. You know the drill! #Mandalorian #StarWars #exclusive #ebayfinds'",0,0,1019,17,1036,In a Galaxy Far Far Away,34.066391238 -117.7650918068
CH87I-yMeMm,ebay,2020-11-23 23:36,no,False,"ebaymotors,mustang,eleanor,ebayfinds",,"b'Based on the iconic Mustang, \xe2\x80\x9cEleanor\xe2\x80\x9d in Gone in 60 Seconds. Boasting 683 horsepower this Fastback is one baaaad car. #ebaymotors #mustang #eleanor #ebayfinds'",0,0,862,18,880,,
CH8wCnbFz-x,ebay,2020-11-23 21:59,no,False,"ebayfinds,holidaycooking",,"b'Highlight your holiday cooking. :adult:\xe2\x80\x8d:cooking: Use this quirky, two-in-one baster and brush to add a squeeze of color to your pastries and roast dinners. #ebayfinds #holidaycooking'",0,0,1096,16,1112,The Kitchen,37.3072684108 -121.9592891344
CH8a_DCDUJ0,ebay,2020-11-23 19:00,yes,False,,,"b':police_car_light: Last chance! Get your bid in before the auction ends later today :police_car_light:\n:loudspeaker: Even more OG and retro Jordans hitting eBay :loudspeaker: \nPut in your bid now on must-cop collectors\xe2\x80\x99 items, all unworn and in original boxes. Auctions starting at $99.99 at the link in bio.'",3369,13.666,203,15,218,,
