shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH-ymWxD06B,facebook,2020-11-24 17:00,no,False,,peggyjeanspies,"b'Thanksgiving reminds us to be grateful for the deep bonds small businesses forge with members of their community. Jothi P. recalls a moment when his favorite bakery, @peggyjeanspies in Columbia, MO, a mother-daughter business led by Jeanne P. and her daughter Rebecca M., went above and beyond for him. Read on to see how they comforted Jothi P.\n\nHow do your local businesses step up in times of need?'",0,0,1354,192,1546,,
CH8NzR0Dr2V,facebook,2020-11-23 17:00,yes,False,,peggyjeanspies,"b""\xe2\x80\x9cPie baking is a lost art in our rapid culture of convenience, but we bake completely from scratch, using my grandmother and great-grandmother's recipes,\xe2\x80\x9d says Rebecca M. of @peggyjeanspies, the Columbia, MO bakery she runs alongside her mother, Jeanne P.\n\nStep inside and you get a view of the entire kitchen filled with their staff of locals, keeping homespun tradition alive and well. \n\nWhere\xe2\x80\x99s your favorite place to get pie for Thanksgiving?""",26639,15.866,1014,180,1194,,
CHyBorMn3dY,facebook,2020-11-19 18:01,no,False,,theresilientband,"b""@theresilientband is a Pennsylvania-based band made up of three Veterans and one professional musician. The band met at Walter Reed Hospital where Tim, Nate, and Dom were receiving rehabilitation for combat wounds and Greg was part of an outreach program. Music became both a form of catharsis to deal with PTSD, and a path to reconnect with the world.\n\n\xe2\x80\x9cThere are so many rock bands, there're so many rap groups, so many solo artists, but this is different. When we play, people have never seen anything like us before\xe2\x80\xa6 It\xe2\x80\x99s music, but it\xe2\x80\x99s also a demonstration of the human spirit.\xe2\x80\x9d - Greg, Band Member and Volunteer at Walter Reed Hospital\n\n\xe2\x80\x9cWe have diverse backgrounds, beliefs, and come from different places, but we have a shared mission \xe2\x80\x94 to heal through music and reconnect with the world.\xe2\x80\x9d - Nate, Guitarist\n\nThe Resilient are a rock band, a support group, activists, friends, and Veterans. Service is one of many parts of their story. Let\xe2\x80\x99s celebrate the talent within the Veteran community.""",0,0,2189,251,2440,,
CHvV0CqnlDw,facebook,2020-11-18 17:00,no,False,,"jlandressbrass,chingchingcha,hilario_sf","b'Small business owners are passionate about the communities to which they\xe2\x80\x99re connected. They do more than provide products and services \xe2\x80\x94 the best help take care of those around them. Let us know how your favorite small business looks out for your community.\n\n:camera:: @jlandressbrass, @chingchingcha, @hilario_sf'",0,0,2083,155,2238,,
CHsxDIQAAQ8,facebook,2020-11-17 17:00,no,False,,"1840creative,bespokuture,revolutionario.la","b'Customers love what small businesses bring to their communities. Their loyalty to those businesses helps turn them into places that locals eagerly return to over and over again. We asked customers from shops like 1840 Creative (furniture) in Chicago, Bespokuture (suits) in Atlanta, and Revolutionario (tacos) in Los Angeles what makes the businesses they love special. What makes your favorite small business great? \n\n:camera:: @1840creative, @bespokuture, @revolutionario.la'",0,0,3129,185,3314,,
CHid6s3htSX,facebook,2020-11-13 17:00,no,False,,"revolutionario.la,bespokuture,1840creative","b'Small business owners are passionate about the communities to which they\xe2\x80\x99re connected. They do more than provide products and services \xe2\x80\x94 they also help take care of those around them. Let us know how your favorite small business looks out for your community.\n\n:camera::: @revolutionario.la, @bespokuture, @1840creative'",0,0,2795,375,3170,,
CHdkiuMBdSB,facebook,2020-11-11 19:23,yes,False,,,"b'\xe2\x80\x9cCertainly, without the military, I wouldn\xe2\x80\x99t be where I am today. From the positives to the negatives, who I am today is a direct reflection of that experience in the military.\xe2\x80\x9d - Duane, Army Veteran\n\nDuane\xe2\x80\x99s love of fashion design became an unlikely therapy to deal with PTSD, helping him find peace, reinvent himself, and ultimately rediscover who he really was with his fashion line Topping Designs.\n\n\xe2\x80\x9cIt became more than just about me. We were sending the message forward that others could be more than a label. I shared the clothes on Facebook and Instagram. Just put it out there. No idea how people would respond. And things started to take a life of their own.\xe2\x80\x9d\n\nDuane is a fashion designer, a husband, an activist, an artist, a friend, a mentor, and a Veteran. Service is one of many parts of his story. This Veterans Day, let\xe2\x80\x99s celebrate the talent within the Veteran community.'",10772,60.066,900,214,1114,,
CHdNaDtgSov,facebook,2020-11-11 16:01,yes,False,,,"b'\xe2\x80\x9cMy father was in the military and he was a pioneer in his own right. I feel so honored to be following his footsteps.\xe2\x80\x9d\n\nOlga, a Lieutenant Colonel who served with the US Air Force, was the first Latina fighter pilot, military instructor, and commercial pilot. Despite her achievements, Olga\xe2\x80\x99s intention was never to be a first. Her priority has always been her family. \n\n\xe2\x80\x9cMy husband, my children, my grandchildren are the most important things to me. Work hard for your family and everything else will fall into line.\xe2\x80\x9d\n\nPassionate about her Puerto Rican heritage, Olga and her family often return to reconnect with their Latin roots - experiencing the culture, food, and traditional customs. \n\nOlga is a friend, a pilot, a Puerto Rican, a woman, a daughter, a wife, a mother, and a Veteran. Service is one of many parts of her story. This Veterans Day, let\xe2\x80\x99s celebrate the talent within the Veteran community.'",20722,60.1,967,66,1033,,
CHGSdYqBknM,facebook,2020-11-02 18:22,yes,False,,,"b'Election Day is almost here. Are you ready? Check to make sure you have everything you need. For official information from election authorities, visit the Voting Information Center. Link in Bio.'",11336,15.833,902,599,1501,,
CG2y0wRgitw,facebook,2020-10-27 17:57,yes,False,,jlandressbrass,b'Small businesses give our communities character. Discover the story behind the last brasswind shop in NYC. \n\n:trumpet:: @jlandressbrass',16873,58.966,967,484,1451,,
