shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHYhUyjngkr,generalmotors,2020-11-09 20:18,no,False,,automotivenews,"b""Congratulations to all of the leaders recognized as this year's @automotivenews' Top 100 Leading Women in the North American Auto Industry, including our own Mary Barra, Pam Fletcher, Stacy Lynett, Susan Sheffield, Christine Stiek and Deborah Wahl. The examples being set by these women today will help the next generation of women to transform the world tomorrow. Learn more at the link in our bio.""",0,0,1546,70,1616,,
CGP-alBHoZR,generalmotors,2020-10-12 16:07,yes,False,ev,,"b""What's your vehicle style? With our flexible #EV Ultium platform we're re-imagining what it means to go all-electric. Follow the link in our bio to learn more.""",17462,13.0,2055,246,2301,,
CF94yC4Hnco,generalmotors,2020-10-05 15:32,yes,False,renewableenergy,,"b""We've committed to sourcing 100% of our global energy from renewables by 2040 because we know sustainable production is just as important as sustainable products. Learn more about our #RenewableEnergy journey at the link in our bio.""",3529,59.032,445,26,471,,
CF20rXFHecE,generalmotors,2020-10-02 21:42,yes,False,"stem,publicschoolteacher,electrifyingengineering",donorschoose,"b""If you're a K-6 #STEM #PublicSchoolTeacher, you're invited to join us in #ElectrifyingEngineering for your students while earning funding for your classroom at the same time. Learn more about our collaboration with @DonorsChoose at the link in our bio.\n\nNot a teacher? Help us spread the word by tagging one below!""",4412,29.99,522,47,569,,
CFzyBson5-3,generalmotors,2020-10-01 17:22,yes,False,,,"b""As an illustration major, Carly Davis wasn't sure what her path would look like after graduation. That changed when she was introduced to industrial design by her 3D design professor. Here's how she's using her illustration skills to visualize future products and help bring them to life.""",4276,209.165,503,96,599,,
CFu_krAHqTD,generalmotors,2020-09-29 20:43,no,False,"ev,evs",chevrolet,"b""When you're committed to building an electric future, it's more than a job \xe2\x80\x94 it's a lifestyle. This Thursday at 3PM EDT, join @Chevrolet #EV experts for a live Power Panel on Chevy's Youtube channel, where they'll be answering your questions and discussing the future of #EVs.""",0,0,1555,47,1602,,
CFZyUNanV6Z,generalmotors,2020-09-21 15:03,yes,False,ev,,"b""Over the last 2 months, we've announced numerous updates to our #EV programs that span nearly every aspect of the EV ecosystem, from accelerating development and adoption to investments in charging infrastructure. At the link in our bio, President Mark Reuss offers a closer look at why this multi-faceted approach is the key to winning the EV race.""",12908,20.182,1518,115,1633,,
CFR8mG8njn-,generalmotors,2020-09-18 14:00,yes,False,,,"b""We envision a safe, healthy future for everyone, and our team members continue to prove they have what it takes to help us get there. Today, as we wrap up our annual Global Safety Week, we're paying tribute to our employees, contractors and suppliers from around the world who came together to face the unprecedented challenges posed by the COVID-19 pandemic.""",4849,194.279,620,15,635,,
CFQB46hnWm3,generalmotors,2020-09-17 20:08,yes,False,,cadillac,"b""We're combining the classic @Cadillac style with our all-new Ultium battery system to electrify American luxury. Learn more about the recently revealed LYRIQ show car at the link in our bio.""",11213,28.858,1466,26,1492,,
CFIOgCjnaFr,generalmotors,2020-09-14 19:23,yes,False,gmchummerev,gmc,"b""Sometimes the biggest leaps forward are actually diagonal. Here's a sneak peek at @GMC's upcoming #GMCHummerEV. Tune in to the full vehicle reveal on October 20 to learn more.""",12774,26.986,2018,55,2073,,
CEAOh0lnumU,generalmotors,2020-08-17 20:22,yes,False,,,"b'""I knew right there that\'s what I wanted to do. I want to make people say wow.""\xc2\xa0\n\nWhile walking down the streets of Brazil with her father as a kid, Junia Martins Lapp had what she calls a ""wow moment"" when a red sportscar drove by. Above, she shares the story of how she followed that passion all the way to our Design Center in Warren, Mich.'",6359,213.665,559,143,702,,
CD2Aehbnyg6,generalmotors,2020-08-13 21:03,yes,False,evs,cadillac,"b""The world has changed drastically since we announced our flexible platform and Ultium battery system, but we remain steadfast in our commitment to an all-electric future. We're excited to introduce the @cadillac LYRIQ show car, our first (of many) Ultium-powered #EVs to be revealed. Follow the link in our bio to learn more.""",15558,30.024,1799,65,1864,,
CDmEK7cHsPi,generalmotors,2020-08-07 16:27,yes,False,"stem,girlscouts",girlscouts,"b""The @girlscouts' all-new automotive badge series will offer girls nationwide the opportunity to explore #STEM and the automotive industry. Learn more about these badges from the leaders and former #GirlScouts on our team who helped develop them at the link in our bio.""",5246,44.999,596,27,623,,
CDbm53AH0EB,generalmotors,2020-08-03 15:02,yes,False,,,"b'Chris Webb joined our creative team working on concept cars in 2000, but his creative journey began when, at eleven years old, he entered a contest to imagine The Duchess of York\xe2\x80\x99s wedding dress. Today, Chris shares the story of how he went from studying fashion to becoming an industrial designer.'",9559,200.565,801,17,818,,
CDHHoSHHvu0,generalmotors,2020-07-26 16:15,yes,False,electrifyingengineering,,"b""This week's #ElectrifyingEngineering video is really going to blow you away. Tune in to learn how to harness the power of wind by building your very own windmill!""",4434,611.138,461,23,484,,
CC1F04CnwYM,generalmotors,2020-07-19 16:02,yes,False,"electrifyingengineering,ev",,"b'Unlike gas-powered cars, we ""re-fuel"" electric vehicles by plugging them in and charging their batteries. This week on #ElectrifyingEngineering, you and your kids\xc2\xa0will learn how #EV chargers work and where you can spot them.'",4537,376.133,509,33,542,,
CCjEapXnCas,generalmotors,2020-07-12 16:03,yes,False,electrifyingengineering,,"b'This week on #ElectrifyingEngineering, Vehicle Chief Engineer Jeremy Short uses radio-controlled cars to explain how gas-powered vehicles doffer from electric vehicles, and how EVs are able to run without creating tailpipe emissions.'",4745,330.965,498,28,526,,
CCJVoInH9s8,generalmotors,2020-07-02 16:11,yes,False,,,"b""Innovation is a team effort. Here's a behind-the-scenes look at the work our engineers are doing to support our vision of an all-electric future. Follow the link in our bio to learn more about our Ultium flat battery technology.""",4781,54.282,730,269,999,,
CB_CN_JHwDA,generalmotors,2020-06-28 16:25,yes,False,electrifyingengineering,,"b""Batteries may seem complicated, but you and your kids can easily build one out of everyday household items! Find out how in this week's episode of #ElectrifyingEngineering.""",4748,890.966,511,51,562,,
CB6Jr8lj1Pa,generalmotors,2020-06-26 18:37,yes,False,,,"b'In response to COVID-19, our teams mobilized to launch a new ventilator production line in just one month. Follow the link in our bio to listen to a recent episode of Masters Of Scale, where Chairman and CEO Mary Barra shares what we learned and how we\'re working to keep moving ""ventilator fast"" in the future.'",5389,15.566,648,49,697,,
CB36YNnnIL7,generalmotors,2020-06-25 21:45,yes,False,,,b'We proudly celebrated the 50th anniversary of Pride Month by raising the Pride flag at our facilities across the globe. Learn more about our continued commitment to the LGBTQ+ community at the link in our bio.',5534,34.223,575,156,731,,
CB01AxHHKqP,generalmotors,2020-06-24 17:01,yes,False,,,"b""We are excited to announce that our 2021 student recruitment season has officially begun! We're looking for bold, innovative thinkers to join us in working toward our vision of a future with\xc2\xa0zero crashes, zero emissions and zero congestion.\n\nLearn more and explore our internship and entry-level opportunities at the link in our bio.""",5305,33.062,769,22,791,,
CBs_fcgHO0w,generalmotors,2020-06-21 16:04,yes,False,"ev,electrifyingengineering",,"b""If you could design your dream #EV, what would it look like? Today, our designers will walk you through the process of designing a car of the future. When you're done, share your designs using #ElectrifyingEngineering. We can't wait to see them!""",4228,709.232,505,16,521,,
CBge8hBFOGx,generalmotors,2020-06-16 19:23,yes,False,backtobiz,,"b'As our Chairman and CEO Mary Barra explains above, inclusivity is not a competition, but something every company needs to continuously work toward. Follow the link in our bio to hear her full interview on #BackToBiz with Katie Couric and Bozoma Saint John.'",5785,30.4,725,29,754,,
CBd5QXSAd-P,generalmotors,2020-06-15 19:15,no,False,pride2020,humanrightscampaign,"b""Last year, we became the first automaker to join the @HumanRightsCampaign Equality Act Business Coalition. As we celebrate #Pride2020 and today's Supreme Court ruling, we remain committed to supporting a future where everyone is ensured equal workplace protections regardless of gender identity or sexual orientation.""",0,0,2000,68,2068,,
CBbBbQqHZMe,generalmotors,2020-06-14 16:34,yes,False,electrifyingengineering,,"b'Have you ever wondered how autonomous vehicles are able to ""see"" the world around them? Find out in this week\'s #ElectrifyingEngineering video featuring Autonomous Vehicle Engineer Charles Muse.'",5183,343.199,538,13,551,,
CBJC6nhgv98,generalmotors,2020-06-07 16:56,yes,False,electrifyingengineering,,"b""This week on our #ElectrifyingEngineering series we're sharing an easy way your kids can measure the air particles around you and your home. We can't wait to see your results!""",5253,244.766,537,11,548,,
CA3Q6ewHebL,generalmotors,2020-05-31 19:40,yes,False,electrifyingengineering,,"b'Electric motors are all around us, powering everything from remote control toy cars to full-sized electric vehicles. This week on #ElectrifyingEngineering you and your future engineers will learn how electric motors work and how you can build one together at home.'",9794,503.999,894,18,912,,
CAvPIE5HA9A,generalmotors,2020-05-28 16:22,yes,False,"ev,electrifyingengineering",,"b""Starting this weekend, we're inviting you and your entire family to join us for immersive, kid-friendly lessons on sustainability, #EV design and more. Tune in to #ElectrifyingEngineering every Sunday at the link in our bio.""",6850,30.033,852,25,877,,
CASyI9mnKJf,generalmotors,2020-05-17 15:09,no,False,classof2020,,"b'Our Chairman and CEO, Mary Barra, shares a few words of wisdom and encouragement for the graduating class of 2020. Tag the 2020 graduates in your life who you know are going to help change the world. #ClassOf2020'",0,0,1661,46,1707,,
B_A4AzLHLsX,generalmotors,2020-04-15 19:44,yes,False,wearegm,,"b'As our Chairman and CEO, Mary Barra, has said, the work being done to build life-saving ventilators in our Kokomo, IN, facility is our team at its best, and we are so proud of everyone working to make it happen.\xc2\xa0#WeAreGM'",12893,103.056,1680,106,1786,,
B-c11YjHTHj,generalmotors,2020-04-01 19:52,yes,False,,myvocsn,"b'The auto industry was built by people with a desire to overcome challenges. Today, we\xe2\x80\x99re determined to leverage that same spirit of innovation and the ingenuity of our people to help our country, and the world, overcome this global pandemic.\xc2\xa0Click the link in our bio to learn how we\xe2\x80\x99re leveraging our scale and expertise to help Ventec Life Systems produce more @myvocsn critical care ventilators for those in need.'",9704,33.457,1694,121,1815,,
B9mHUPUj0j2,generalmotors,2020-03-11 13:46,no,False,,,"b'We challenged our team to design a platform that could support future electric vehicles of all styles, price points and performance levels. The result was a highly flexible platform powered by our new Ultium batteries. Follow the link in our bio to learn more.'",0,0,4837,236,5073,,
B9hIlGIHyaZ,generalmotors,2020-03-09 15:21,no,False,iwd2020,,"b'We believe strongly in\xc2\xa0gender equity, and we are dedicated to having a diverse and welcoming workplace that values the contributions of all employees. This year and every year, we\xe2\x80\x99re committed to creating a culture where every employee can thrive.\xc2\xa0#IWD2020'",0,0,1319,73,1392,,
