shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDiftMs0jd,hanes,2020-11-26 13:15,no,False,"hanesinfluencer,maskaround,macysparade",dawnpdarnell,"b':partying_face: Today is the day! Are you tuning in to watch the Macy\xe2\x80\x99s Thanksgiving Day Parade? Use our story stickers when sharing your favorite Parade moments & see our story for official rules on how to enter our giveaway, for a chance to win big :Christmas_tree::sparkles:\n\n:camera_with_flash:: @dawnpdarnell #HanesInfluencer #MaskAround #MacysParade'",0,0,218,6,224,,
CH-zc_ODHEg,hanes,2020-11-24 17:07,no,False,"hanesinfluencer,maskaround,macysparade",richardrobinsonmusic,b'Smiles from ear to ear taking photos in the park\xc2\xa0with the best company :star-struck:  Photographer Richard is rocking the Official Smile of the Macy\xe2\x80\x99s Thanksgiving Day Parade \xe2\x80\x94 and you can too! :eyes: Check out our story for official rules and to learn how you can enter our Hanes x Macy\xe2\x80\x99s Thanksgiving Day Parade Giveaway for a chance to win some Parade-exclusive swag :sparkles:\n\n:camera_with_flash:: @richardrobinsonmusic #HanesInfluencer #MaskAround #MacysParade',0,0,300,17,317,,
CH8G7_Rs4kG,hanes,2020-11-23 16:00,no,False,"hanesinfluencer,grwm,mondaymotivation",amyserrano,"b""Get ready with Amy :woman_in_steamy_room_selector: She's streamlining her Monday AM routine with at-home comfort in mind, pairing her wireless Hanes bra with soft cotton undies! \n\n:camera_with_flash:: @AmySerrano #HanesInfluencer #GRWM #MondayMotivation""",0,0,334,3,337,,
CH0eX78hWHt,hanes,2020-11-20 16:51,no,False,"comfyinhanes,hanesinfluencer",xomissdanielle,"b'Home in Hanes is where comfort begins :house: ""I\xe2\x80\x99ve found a sense of purpose in staying connected with loved ones while staying comfy at home."" -- Danielle :two_hearts: (tap to shop:sparkles:) \n\n:camera_with_flash:: @xomissdanielle #ComfyInHanes #HanesInfluencer (Colors may vary)'",0,0,196,7,203,,
CHvLh5dg4Ro,hanes,2020-11-18 15:30,no,False,"hanesfam,hanesinfluencer,maskaround,macysparade",richardrobinsonmusic,"b':jack-o-lantern: Richard\xe2\x80\x99s excited to tune into the upcoming Macy\xe2\x80\x99s Thanksgiving Day Parade in our custom, colorful smile masks! :beaming_face_with_smiling_eyes:  We\xe2\x80\x99re honored to be the Official Smile of the Parade this year & we want our #HanesFam to get in on the fun! Check out our story for official rules and to learn how you can enter our Hanes x Macy\xe2\x80\x99s Thanksgiving Day Parade Giveaway for a chance to win big! :raising_hands:\n\n:camera_with_flash:: @richardrobinsonmusic #HanesInfluencer #MaskAround #MacysParade'",0,0,401,19,420,,
CHsxCSDg23x,hanes,2020-11-17 17:00,no,False,"hanesinfluencer,maskaround,macysparade","hanes,dawnpdarnell,macys","b'We\xe2\x80\x99re excited to share that we are the Official Smile of the 2020 Macy\xe2\x80\x99s Thanksgiving Day Parade! :star-struck:  To drum up some holiday cheer & get excited for the iconic Parade, we\xe2\x80\x99re giving away three prize packages. :raising_hands: Each will include the 15 official 2020 Hanes x Macy\xe2\x80\x99s Parade masks, exclusive Parade swag, and a $100 Macy\xe2\x80\x99s gift card. See below :down_arrow_selector: to learn how you can enter!\n\nTo enter: \xe2\x80\x8b\n:sparkles: If you aren\xe2\x80\x99t already, follow @Hanes\xe2\x80\x8b\n:red_heart_selector: Like this post\xe2\x80\x8b\n:smiling_face_with_smiling_eyes: Tag two friends who makes you smile\xe2\x80\x8b\n:eyes: Be sure to keep an eye out on our page in the coming weeks, for when we announce the winners!\xe2\x80\x8b\n\n{Photo from :camera_with_flash:: @dawnpdarnell #HanesInfluencer #MaskAround} In collaboration with @Macys #MacysParade\xe2\x80\x8b. Click our link in bio for official rules.'",0,0,3788,3663,7451,,
CHp73ViBeJa,hanes,2020-11-16 14:37,no,False,"ootd,hanesfam,sweats,comfy,fallfashion","tanvigadiraju,itsrhe,angell_luna_","b""Sweats, but make it fashion...what's your fave fall #OOTD? Comment what you'd rock with :keycap_1:, :keycap_2:, or :keycap_3: below!\n\n:camera_with_flash:: @tanvigadiraju, @itsrhe, @angell_luna_ #HanesFam #Sweats #Comfy #FallFashion""",0,0,1176,42,1218,,
CHiTjogLFV-,hanes,2020-11-13 15:30,no,False,"comfyinhanes,hanesinfluencer",mayasworld,"b""Maya's staying in bed today, and that's okay :sleeping_face:  Keeping #ComfyInHanes at home is easy with a combo of our soft, wireless bras & cotton undies :two_hearts: (tap to shop:sparkles:) \n\n :camera_with_flash:: @mayasworld #HanesInfluencer""",0,0,435,4,439,,
CHgGymAFU0j,hanes,2020-11-12 19:00,no,False,"hanesfam,maskaround,macysparade",macys,"b':shushing_face: The secret is finally out. :eyes: We\xe2\x80\x99re proud to announce our newest partnership with the 94th annual @Macys Thanksgiving Day Parade! As the Official Smile of the Parade, we\xe2\x80\x99ll be providing thousands of vibrant, custom face masks to Parade staff, volunteers, and participants. We\xe2\x80\x99re glad that with these masks, the smiles can still shine through as we come together to officially kick off the holiday season. Keep an eye out on our page in the coming week for an extra-special giveaway surprise for our #HanesFam:red_heart_selector::raising_hands: #MaskAround #MacysParade'",0,0,440,35,475,,
CHeLVWpqKqe,hanes,2020-11-12 01:01,no,False,"comfyinhanes,hanesinfluencer",xomissdanielle,"b""After spending all day on a screen, it's okay to close the computer and make time for yourself :smiling_face_with_3_hearts:Danielle spent her afternoon with a good book and a comfy pair of Hanes :books:Let us know your fave cozy activity below :down_arrow_selector:\n\n:camera_with_flash:: @xomissdanielle #ComfyInHanes #HanesInfluencer (Colors may vary)""",0,0,239,8,247,,
