shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8AWKFnLIy,intel,2020-11-23 15:02,no,False,"intelevo,mondaymotivation",,"b""Even when it's still dark outside, the #IntelEvo platform wakes up ready to work. What powers your #MondayMotivation?""",0,0,7137,107,7244,,
CHsxR7_nQnd,intel,2020-11-17 17:02,no,False,"zenbookflips,intelevo","phil_torres,asususa",b'Swipe to learn why @Phil_Torres counts on the battery life and remarkable responsiveness of the @ASUSUSA #ZenbookFlipS\xe2\x80\x94verified on the new #IntelEvo platform.',0,0,2495,70,2565,,
CHp-euMAIAF,intel,2020-11-16 15:00,yes,False,intelevo,,b'The #IntelEvo platform presents Code Seeker \xe2\x80\x93 the search for 50 laptops in the most advanced scavenger hunt on the internet. Solve our clue. Find the code. And you could win a remarkable new laptop\xe2\x80\xa6 if you\xe2\x80\x99ve got what it takes. Ready? Set? Code Seeker! More details at the link in bio.',16758,15.0,2426,53,2479,,
CHf5SujHR4N,intel,2020-11-12 17:02,no,False,"picturesearch,intelevo",phil_torres,b'#PictureSearch: @Phil_Torres is on a mission to uncover nature\xe2\x80\x99s hidden beauty. Can you find the 7 :butterfly: hidden in these photos? Comment below where you find them all! (Hint: the real butterflies don\xe2\x80\x99t count). #IntelEvo',0,0,7956,46,8002,,
CHavc1wsgg6,intel,2020-11-10 17:00,yes,False,intelevo,phil_torres,b'@Phil_Torres shares the first moment he felt like he\xe2\x80\x99d made it\xe2\x80\x94and why he turned his passion for documenting nature into his life\xe2\x80\x99s mission. #IntelEvo',13766,15.0,2021,42,2063,,
CHYKpzOgvsc,intel,2020-11-09 17:00,yes,False,intelevo,,b'Five dynamic people. Five laptops that raise the bar\xe2\x80\x94Introducing the new #IntelEvo platform\xe2\x80\x94 verified to help take your passions further.',23646,16.0,2418,46,2464,,
CG2eqpOncur,intel,2020-10-27 15:00,no,False,"intelevo,sidegig",,"b'From launching your own website to sharing your ideas with the world, the #IntelEvo platform will enable you take your side gig to new heights. Got a #sidegig? Tell us about it in the comments!'",0,0,2729,110,2839,,
CGsSqtcnKAl,intel,2020-10-23 16:03,no,False,,,"b'With a little innovation, this Halloween can be your most festive one yet. Swipe to see some fun ways to transform your laptop into a Halloween party machine, and let us know how you\xe2\x80\x99ll be getting your spooky on in the comments!'",0,0,3636,108,3744,,
CF-PRgbn2wg,intel,2020-10-05 18:48,no,False,"worldteachersday,projectathena",,"b'This year, #WorldTeachersDay is more important than ever. Check out some of our ideas for showing appreciation to your favorite teacher virtually, and let us know how you plan on celebrating below! #ProjectAthena.\n\n:movie_camera: Make a thank you video with the whole family\n:camera_with_flash: Design a photo memory book for the class\n:wrapped_gift: Send them a digital gift card'",0,0,4631,88,4719,,
CFkOuEoH78k,intel,2020-09-25 16:23,no,False,"intelcore,fbf",,"b'From our first processor to our 11th Gen #IntelCore processors, we\xe2\x80\x99ve come a long way. To celebrate, help us spot the differences between these photos of our cofounder Robert Noyce\xe2\x80\x94and let us know in the comments how many you find. #FBF'",0,0,14773,342,15115,,
CFKivgenMqo,intel,2020-09-15 16:58,no,False,onlinelearningday,,"b'Today, we celebrate all those furthering their education from further away. Here\xe2\x80\x99s to making the most of the new normal on a laptop that keeps up. Happy #OnlineLearningDay'",0,0,5209,40,5249,,
CEpbF9oHhHh,intel,2020-09-02 20:16,yes,False,,,"b'Inspired by our past, our new logo marks a transformative path ahead. Meet the new Intel.'",118542,6.166,22485,618,23103,,
CEpDdl0A49F,intel,2020-09-02 16:50,yes,False,intelcore,,b'A new generation has arrived. Take your ideas to new heights with our 11th Gen #IntelCore processor.\xe2\x80\x8b',39886,26.766,6315,181,6496,,
