shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDnqbWArM4,jetblue,2020-11-26 14:00,no,False,happythanksgiving,,"b'From our family to yours, #HappyThanksgiving. Head over to our Story to see all the things we\xe2\x80\x99re thankful for this year \xe2\x80\x94 in addition to views like this.'",0,0,3841,29,3870,,
CIBC46VAv9U,jetblue,2020-11-25 14:01,no,False,"wingcrushwednesday,wcw",digarcia1410,b'Looking for FLLy views of Fort Lauderdale? We\xe2\x80\x99ve got a plane for that.\n\n#WingCrushWednesday #WCW (:camera_with_flash:: @digarcia1410)',0,0,3390,28,3418,"Fort Lauderdale, Florida",26.1358 -80.1418
CH-ytEfFqSW,jetblue,2020-11-24 17:01,no,False,,jcostantini,"b'Mask: Mandatory. :face_with_medical_mask:\nGoggles: Optional. :goggles:\nTwinning with your bestie: Also optional, but encouraged. :man_and_woman_holding_hands:\n(:camera_with_flash:: @jcostantini)'",0,0,4711,207,4918,,
CH75Q-mDcqH,jetblue,2020-11-23 14:00,no,False,jetbluevacations,,b'Ready to plan your future trip with big savings? Book flights + hotel with #JetBlueVacations by 12/1 for travel 11/27-9/7/21. Tap the link in our bio to book. Min. 2 people per room. Min. spend requirements apply.',0,0,3335,49,3384,"San Juan, Puerto Rico",18.45 -66.0667
CHxs8ewjPrA,jetblue,2020-11-19 15:00,no,False,,,"b'Get in the groove with our everyday low fares to the most popular peaks from $94 one-way, including JFK to DEN. Tap the link in our bio to book by 11/21 for travel 1/5/21-3/10/21 (Excl. Fri & Sun travel). Blackout dates: 2/12-2/21. +Terms.'",0,0,1677,18,1695,,
CHvBR5cget4,jetblue,2020-11-18 14:00,no,False,"wingcrushwednesday,wcw",aecreativephoto,"b'A city that never sleeps, but still looks pretty good every morning? We\xe2\x80\x99ve got a plane for that. :Statue_of_Liberty:\n\n#WingCrushWednesday #WCW (:camera_with_flash:: @aecreativephoto)'",0,0,4758,40,4798,"New York, New York",40.7142 -74.0064
CHsgIB3lO-8,jetblue,2020-11-17 14:32,yes,False,jetbluemint,,"b'We\xe2\x80\x99ve kept you guessing long enough\xe2\x80\xa6 Introducing the refreshed Mint experience, rolling out over the next six weeks. Feel like you\xe2\x80\x99ve arrived before ever taking off. Tap the link in our bio to learn more. #jetbluemint'",16100,55.266,2743,134,2877,,
CHp3vXcjMMu,jetblue,2020-11-16 14:01,yes,False,,,b'Our next destination is on its way. Can you guess where?',24104,10.0,3068,404,3472,,
CHiJVNVDXC5,jetblue,2020-11-13 14:00,no,False,"worldkindessday,jetblueforgood",,"b'In honor of #WorldKindessDay, here\xe2\x80\x99s our #JetBlueForGood plane! Over the next few weeks, we\xe2\x80\x99re donating 3 million TrueBlue points across the charitable partners we support. Donate at the link in our bio.'",0,0,4240,46,4286,,
CHdbMqslplj,jetblue,2020-11-11 18:00,no,False,"wingcrushwednesday,wcw",taylorrae_riot,b'Want an amAZing western getaway? We\xe2\x80\x99ve got a plane for that. :desert_selector: \n\nLearn more about Arizona at the link in our bio. #WingCrushWednesday #WCW (:camera_with_flash:: @taylorrae_riot)',0,0,2813,37,2850,"Grand Canyon, Arizona",None None
CHalK4_lCX-,jetblue,2020-11-10 15:30,no,False,,,"b'Ready to re-connect (or disconnect)? We\xe2\x80\x99ve got a plane for that. The Jet Away Sale has flights from $29 one\xe2\x80\x93way, including JFK to DFW. Tap the link in our bio to book. Book by 11/12 for travel 12/1/20\xe2\x80\x932/10/21 (Excl. Fri & Sun travel). Blackout dates: 12/19\xe2\x80\x931/4/21. +Terms.'",0,0,1969,29,1998,"Dallas, Texas",32.7774 -96.7977
CHQw7OFlZRe,jetblue,2020-11-06 20:00,no,False,,airlinegeeks,"b'You\xe2\x80\x99re hungry for travel and it shows. Due to increased demand, we have added extra flights to New York for Thanksgiving. This means more seats at low fares but hurry \xe2\x80\x94 tap the link in our bio to book now. (:camera_with_flash:: @airlinegeeks)'",0,0,5915,70,5985,,
CHOG7y7FF1M,jetblue,2020-11-05 19:15,no,False,,maddie.yardley,"b'Will fly for pie? :turkey: It\xe2\x80\x99s not too late to book holiday travel, including PBI to BOS from $99 one-way. Don\xe2\x80\x99t just wing it\xe2\x80\x94tap the link in our bio to lock in a low fare by 11/7 for travel 11/10-11/26. Terms apply. (:camera_with_flash:: @maddie.yardley)'",0,0,2384,22,2406,"Boston, Massachusetts",42.3577 -71.0565
CHDPwSXAHZ7,jetblue,2020-11-01 14:00,no,False,,thenonrevlens,"b""Daylight Saving Time ends today. You know what that means \xe2\x80\x94 time to wait out the dark months somewhere brighter. Fun fact: Arizona doesn't observe Daylight Saving Time, and stays brighter than anywhere else in America year-round.\n\nBook flights now and get your extra hour of daylight back at the link in our bio. (:camera_with_flash:: @thenonrevlens)""",0,0,4733,49,4782,,
CHBlRMelWmX,jetblue,2020-10-31 22:30,no,False,"halloween,jetboo",julianpolancojr,b'Our favorite kind of moon? We\xe2\x80\x99ll give you one guess. Happy #Halloween! What\xe2\x80\x99s your favorite haunted destination? #JetBoo\n(:camera_with_flash:: @julianpolancojr)',0,0,6271,52,6323,,
CHAkHhUgXUJ,jetblue,2020-10-31 13:00,no,False,,,"b'Why did the spider fly JetBlue? (Maybe we\xe2\x80\x99ve been spending too much time on the web, but we think this joke is pretty funny.) Happy Halloween!'",0,0,2394,24,2418,,
CG41uyfrcnV,jetblue,2020-10-28 13:00,no,False,"bluemoon,wingcrushwednesday,wcw",sami.has.an.i,b'Today\xe2\x80\x99s inflight entertainment: a moon with a view. #BlueMoon\n#WingCrushWednesday #WCW (:camera_with_flash:: @sami.has.an.i)',0,0,3140,27,3167,"35,000 Feet",40.6467610472 -73.7763254134
CG2UTeBrhmO,jetblue,2020-10-27 13:30,no,False,,pepperlens,"b'Just in time for the holidays, our nonstop service between New York (JFK) and Guyana (GEO) starts 12/11. To learn more, tap the link in our bio. (:camera_with_flash::@pepperlens)'",0,0,2190,26,2216,"Georgetown, Guyana",6.7996 -58.1664
CGm0KJNLwCu,jetblue,2020-10-21 13:00,no,False,"wingcrushwednesday,wcw",swaspotter,"b'For a place called the \xe2\x80\x9cLow Country,\xe2\x80\x9d the views from 35,000 feet are pretty sweet. Check out everything Charleston has to offer at the link in our bio. #WingCrushWednesday #WCW (:camera_with_flash:: @swaspotter)'",0,0,2645,43,2688,South Carolina,34.0 -81.0
CGkoGScFhlc,jetblue,2020-10-20 16:36,no,False,,,b'The Monster Sale with flights from $34 one-way. Deals like these only come once in a blue moon. Tap the link in our bio to book.\n\nBook by 10/21 for travel 10/24/20\xe2\x80\x932/10/21 (Excl. Fri & Sun travel). Blackout dates: 11/21\xe2\x80\x9311/30/20 & 12/19\xe2\x80\x931/5/21. +Terms.',0,0,7375,77,7452,,
CGh2KZBDPjv,jetblue,2020-10-19 14:42,no,False,,,"b'City hops. Island hops. Short hops. Our new A220s will make it easier to bounce from place to place. Is it any surprise the tailfin pattern is named, um, Hops?'",0,0,10390,303,10693,,
CGVOEVVFso1,jetblue,2020-10-14 17:00,no,False,"wingcrushwednesday,wcw",korakia,"b'Gators and grizzlies rejoice \xe2\x80\x94 service from Fort Lauderdale to Bozeman, MT starts December 18th. Learn more at the link in our bio. #WingCrushWednesday #WCW (:camera_with_flash:: @korakia)'",0,0,2563,19,2582,"Bozeman, Montana",45.678 -111.0364
CGU-cirJz9O,jetblue,2020-10-14 14:44,no,False,,,"b'We\xe2\x80\x99ve got your ride to Telluride :airplane_selector::skier:. New nonstop service to MTJ from JFK, Boston, and LAX starts 12/19. Tap the link in our bio for more info.'",0,0,2977,51,3028,"Telluride, Colorado",37.939153 -107.816317
CGSNz6flYRX,jetblue,2020-10-13 13:00,no,False,,,b'Craving travel savings? Save up to $150 on the vacay you crave when you book a JetBlue Vacations flight + hotel package by 10/19 for travel 10/17 - 2/10/21. Min. 2 people per room. Min. 2-night stay. Terms apply. Tap the link in our bio to book.',0,0,2392,29,2421,,
CGILBSMFDS1,jetblue,2020-10-09 15:24,no,False,,,"b'12 new destinations from LAX, including Los Angeles (LAX) to New York (EWR) from $99 one-way. Book by 10/11. Travel: 11/1/20\xe2\x80\x932/27/21. Blackout dates & terms apply. Tap the link in our bio to book.'",0,0,6994,113,7107,,
CGCxC9TDo0t,jetblue,2020-10-07 13:00,no,False,"wingcrushwednesday,wcw",maliapoai,"b'More like Salt Lake Pretty, huh? \n\nFor more on the Beehive State, tap the the link in our bio. #WingCrushWednesday #WCW (:camera_with_flash:: @maliapoai)'",0,0,4053,35,4088,Utah,39.5 -111.5
