shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIG0BOtJUix,mattel,2020-11-27 19:46,no,False,"jurassicworld,campcretaceous",,"b'Catch a glimpse of the Super Colossal Indominus Rex from #JurassicWorld #CampCretaceous, but steer clear of those teeth!'",0,0,476,12,488,,
CID8NQHrO82,mattel,2020-11-26 17:00,no,False,"alienremix,disney,pixar",pixar,"b'The @Pixar Buzz Lightyear #AlienRemix figure is ready for his big Thanksgiving parade moment, but don\xe2\x80\x99t tell him that it\xe2\x80\x99s too late to enter! Get your Alien Remix figure today. #Disney #Pixar'",0,0,6325,66,6391,,
CIBQhiWMtIi,mattel,2020-11-25 16:00,no,False,enchantimals,,"b'Snow day! :snowflake_selector::scarf: With #Enchantimals, turn any playtime into a winter wonderland \xe2\x80\x93 no matter where you are.'",0,0,1924,54,1978,,
CH8KYdDjlIG,mattel,2020-11-23 16:30,no,False,caveclub,,"b'With the #CaveClub, fun never goes extinct! Each Dino Baby Crystal reveals a prehistoric pet for kids to call their own, plus more surprises. Collect them all now.'",0,0,1958,56,2014,,
CH58-LPHBaO,mattel,2020-11-22 19:54,no,False,,,"b'The Deadman. The Lord of Darkness. Big Evil. The Phenom. The Last Outlaw. However you remember him, there\xe2\x80\x99s only one Undertaker. Celebrate Undertaker\xe2\x80\x99s 30th anniversary with a special Collector\xe2\x80\x99s Edition Elite figure, complete with commemorative packaging, available now at Walmart!'",0,0,1455,23,1478,,
CH3ENImjovA,mattel,2020-11-21 17:00,yes,False,pollypocket,,b'Bring home the ultimate surprise this season! Each #PollyPocket Unicorn Party Playset comes with 25+ tiny gifts for pocket-sized fun and hours of adventure.',5710,10.0,950,32,982,,
CH0fY7jj4ft,mattel,2020-11-20 17:00,no,False,overthemoon,amazon,"b'Believing is everything. :dizzy: Bring home the #OverTheMoon Chang\xe2\x80\x99e Moon Goddess Collector doll, complete with intricate robe and headpiece designed by Chinese couturier Guo Pei. Now on @amazon.'",0,0,4982,78,5060,,
CHva2A7D8Sz,mattel,2020-11-18 17:44,no,False,wwe,,"b'It\xe2\x80\x99s been 10 years since #WWE and Mattel formed their legendary tag team. Celebrate their Decade of Domination with Wave 2 of Superstars who have grown with this partnership since the beginning \xe2\x80\x93 Kofi Kingston, Big Show, Beth Phoenix, Kane, and Triple H \xe2\x80\x93 available now at Walmart!'",0,0,1505,68,1573,,
CHs6NEmgWV3,mattel,2020-11-17 18:20,no,False,caveclub,,b'Fashionably fun. Fiercely unique. Fearlessly adventurous. Shop the #CaveClub 3-pack now!',0,0,1763,73,1836,,
CHq3oT0H_KO,mattel,2020-11-16 23:19,no,False,barbieextra,,"b'Bold looks. :nail_polish: Unique styles. :sunglasses: Pet besties that match! :dog_face: Shop new #BarbieEXTRA fashion dolls, available now.'",0,0,1937,82,2019,,
CHnngEJL6H8,mattel,2020-11-15 17:00,yes,False,pollypocket,netflix,"b'#PollyPocket takes off on a world of big adventures with her friends in an all-new season, now on @Netflix!'",3671,30.033,635,57,692,,
CHllahFjFKJ,mattel,2020-11-14 22:04,yes,False,"jurassicworld,campcretaceous",,b'Take a look at #JurassicWorld #CampCretaceous through the eyes of the campers. But watch out! You never know who (or what) you might run into.',5928,20.0,1095,39,1134,,
