shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDo8kOJPaZ,officedepot,2020-11-26 14:12,no,False,keepbusinessgoing,,"b'It only happens once a year. And it\xe2\x80\x99s finally here! Save on PCs, printers, seating, furniture, tech accessories and more! Everything you need to #KeepBusinessGoing.'",0,0,57,6,63,,
CH-mIITJ_l-,officedepot,2020-11-24 15:11,yes,False,,,"b""What's better than Black Friday deals? Reward Members getting early access to them. Starts today. Online only. Join now, it's FREE.\xe2\x80\x8b""",346,40.101,42,3,45,,
CH3A5YGJCCl,officedepot,2020-11-21 16:31,yes,False,,,"b'Build demand, and your brand, with custom printing solutions that can help make a big difference for your business.'",468,19.033,95,2,97,,
CH0fEKUJBO0,officedepot,2020-11-20 16:57,no,False,"discoverdepot,giveaway,gamerlife,gamercommunity,gamerlifestyle",,"b'Day 12: The Corporate Gamer :wrapped_gift: \nWe\'re ending the 12 Days of Business with essentials to that help you work or play in comfort with a new gaming chair and LCD curved gaming monitor! Enter for your chance to win one of the twelve prizes. All winners will be notified on their winning post on Monday. (11/23/20)\n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1. Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2. Like this post\xe2\x80\x8b\n3. Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\xe2\x80\x8b\nThe Corporate Gamer prize includes: \xe2\x80\x8b\n- RS Gaming:trade_mark: Davanti Faux Leather High-Back Gaming Chair, Black/Blue Item # 7972977\xe2\x80\x8b\n- AOC G2E Series CQ29G2E 29"" LCD Curved Gaming Monitor, FreeSync Item # 9261368\xe2\x80\x8b\nTotal Value: $539.98\xe2\x80\x8b\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant per day. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #gamerlife #gamercommunity #gamerlifestyle'",0,0,1055,1342,2397,,
CHx6U_2Jkq_,officedepot,2020-11-19 16:57,no,False,"discoverdepot,giveaway,seejanework,deskaccessories,organization",seejanework,"b""Day 11: The Stylish Business Owner :wrapped_gift: \nDon't sacrifice style for the sake of productivity. Enjoy this desk kit designed by @seejanework to help you be your most productive (and stylish) self, including our limited edition metallic TUL pens! Bonus: You'll also receive a gift card to spend on services like document printing. Enter for your chance to win one of the twelve prizes and come back tomorrow for a final chance to win! \n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1. Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2. Like this post\xe2\x80\x8b\n3. Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\nThe Stylish Business Owner prize includes: \xe2\x80\x8b\n-TUL:registered: Retractable Gel Pens, Medium Point, 0.8 mm, Assorted Patterned Barrels, Assorted Metallic Inks, Pack Of 4 Pens Item # 6236915\xe2\x80\x8b\n-See Jane Work:registered: Blue Tile Letter Tray Item # 9761501\xe2\x80\x8b\n-See Jane Work:registered: Blue Tile Pencil Cup Item # 9637937\xe2\x80\x8b\n-See Jane Work Blue Tile File Sorter Item # 9942293\xe2\x80\x8b\n-See Jane Work:registered: Blue Tile Divided Desk Tray Item # 7362811\xe2\x80\x8b\n-Office Depot Gift Card\xe2\x80\x8b\nTotal Value: $74.95\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant per day. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #seejanework #deskaccessories #organization""",0,0,646,592,1238,,
CHvWX7eJC_j,officedepot,2020-11-18 17:05,no,False,"discoverdepot,giveaway,deskaccessories,organization",,"b'Day 10: The Organized Business Owner :wrapped_gift: \nThis desk set and laminating kit will help even the most organized business owner become more efficient in their workspace, whether that\xe2\x80\x99s at home or the office. Bonus: Enjoy a gift card to spend on services like packing and shipping to help you get more done! Enter for your chance to win one of the twelve prizes and join us tomorrow for Day 11. \n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1.Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2.Like this post\xe2\x80\x8b\n3.Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\nThe Organized Business Owner prize includes:\xe2\x80\x8b\n-Scotch Thermal Laminator Combo Pack - 9"" Lamination Width - 5 mil Lamination Thickness Item # 351655\xe2\x80\x8b\n-Scotch:registered: Thermal Laminating Pouches, 8-7/8"" x 11-3/8"", Clear, Pack Of 100 Sheets, TP3854-100 Item # 801826\xe2\x80\x8b\n-Realspace:registered: Black Faux Leather Paper Tray, Letter Size Item # 672223\xe2\x80\x8b\n-Realspace:registered: Black Faux Leather Pencil Cup Item # 671863\xe2\x80\x8b\n-Realspace:registered: Black Faux Leather Desk Valet Item # 671899\xe2\x80\x8b\n-Realspace:registered: Black Faux Leather Business Card Holder Item # 522013\xe2\x80\x8b\n-Realspace:registered: Black Faux Leather Magazine File Item # 672178\xe2\x80\x8b\n-$25 Office Depot Gift Card\xe2\x80\x8b\nTotal Value: $216.53\xe2\x80\x8b\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #deskaccessories #organization'",0,0,650,660,1310,,
CHswXcyJS06,officedepot,2020-11-17 16:54,no,False,"discoverdepot,giveaway,plannercommunity,tul,discboundplanner,plannerinspiration,plannerlove",,"b'Day 9: The Multiple Hat Wearer :wrapped_gift: \nSome business owners can, or must, do it all. If you know someone with multiple hats, help them run more efficiently with this TUL starter kit, including the charging disbound notebook that will keep your phone charged on the go! Enter for a chance to win one of the twelve prizes and look out for Day 10. \n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1. Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2. Like this post\xe2\x80\x8b\n3. Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\nThe Multiple Hat Wearer prize includes: \xe2\x80\x8b\n- TUL:registered: Discbound Monthly Planner Starter Set, 8-1/2"" x 11"", Dark Brown, January To December 2021 Item # 7544094\xe2\x80\x8b\n- TUL:registered: Discbound Organizational Inserts, Letter Size, White, Pack Of 100 Inserts Item # 7629092\xe2\x80\x8b\n- TUL:trade_mark: Custom Note-Taking System Discbound Undated Daily Refill Pages, 5-1/2"" x 8-1/2"", Undated, 50 Sheets Item # 8235147\xe2\x80\x8b\n- TUL:registered: Wireless/Wired Charging Discbound Notebook, Leather Cover, Junior Size, Gray Item # 9680990\xe2\x80\x8b\nTotal Value: $112.96\xe2\x80\x8b\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant per day. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #plannercommunity #tul #discboundplanner #plannerinspiration #plannerlove'",0,0,649,650,1299,,
CHqMPDzptFB,officedepot,2020-11-16 17:00,no,False,"discoverdepot,giveaway,plannercommunity,damasklove,tul,plannersupplies",damasklove,"b'Day 8: The Student Entrepreneur :wrapped_gift: \nCelebrate your entrepreneur-in-the-making with this student\'s kit of prizes by @damasklove, designed to help them take notes and learn from anywhere. Bonus: They\'ll receive a gift card to spend on services like document printing to print and bind their notes! Enter for your chance to win one of the twelve prizes. Stay tuned for next reveal tomorrow for Day 9!\n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1. Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2. Like this post\xe2\x80\x8b\n3. Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\nThe Student Entrepreneur prize includes:\xe2\x80\x8b\n- American Crafts Damask Love Colorfun Planner, 8-1/2"" x 9-1/2"", Flamingo Boss, 356265Item # 5031221 \xe2\x80\x8b\n- American Crafts Damask Love Colorfun Planner Rub-On Tape Runners, Assorted Colors, Pack Of 3 Runners Item # 5068293 \xe2\x80\x8b\n- American Crafts Damask Love Colorfun Planner Sticky Notes, Assorted Colors, Pack Of 140 Sticky Notes Item # 8024075 \xe2\x80\x8b\n- American Crafts Damask Love Colorfun Planner Washi Tape, Assorted Colors, Pack Of 8 Rolls Item # 6727094 \xe2\x80\x8b\n- TUL:trade_mark: Retractable Gel Pens, Medium Point, 0.8 mm, Assorted Barrel Colors, Assorted Metallic Inks, Pack Of 4 Pens Item # 1750173 \xe2\x80\x8b\n- TUL:registered: Highlighters, Chisel Point, Fluorescent Yellow Barrel, Fluorescent Yellow Ink, Pack Of 12 Highlighters Item # 4846188 \xe2\x80\x8b\n- TUL:registered: Permanent Markers, Fine Point, Silver Barrel, Assorted Ink Colors, Pack Of 8 Markers Item # 9399288 \xe2\x80\x8b\n- TUL:registered: Fine Liner Porous-Point Pens, Ultra-Fine, 0.4 mm, Silver Barrel, Assorted Ink Colors, Pack Of 8 Pens Item # 9399831 \xe2\x80\x8b\n- $25 Office Depot Gift Card\xe2\x80\x8b\nTotal Value: $129.92\xe2\x80\x8b\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant per day. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #plannercommunity #damasklove #tul #plannersupplies'",0,0,771,742,1513,,
CHnuKA-JzCM,officedepot,2020-11-15 17:58,no,False,"discoverdepot,giveaway,shaq,shaquilleoneal,officechair",,"b""Day 7: The Executive :wrapped_gift: \nPut your comfort first with the Shaquille O'Neal:trade_mark: ZEPHYRUS from our Shaquille O\xe2\x80\x99Neal:trade_mark: Executive Office Seating line, designed to bring luxurious style, premium comfort and high-end support to your office. :smiling_face_with_heart-eyes: Enter for your chance to win one of twelve prizes and check in tomorrow for Day 8!\n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1. Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2. Like this post\xe2\x80\x8b\n3. Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\nThe Executive giveaway includes: \xe2\x80\x8b\n- Shaquille O'Neal:trade_mark: Zephyrus Bonded Leather High-Back Executive Chair, Black Item # 4582120\xe2\x80\x8b\nTotal value: $449.99\xe2\x80\x8b\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant per day. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #shaq #shaquilleoneal #officechair""",0,0,1166,1399,2565,,
CHkyCZAJ5TB,officedepot,2020-11-14 14:35,no,False,"discoverdepot,giveaway,shaq,shaquilleoneal,officechair",,"b""Day 6: The Executive :wrapped_gift: \nThe Shaquille O'Neal:trade_mark: Nereus from our Shaquille O\xe2\x80\x99Neal:trade_mark: Executive Office Seating line is big on style, big on comfort and Shaq-approved. :heavy_check_mark: A special gift for a special someone. Enter for your chance to win one of twelve prizes! Come back tomorrow for the final Shaq giveaway. \n\nHow to enter: \nTo enter for a chance to win the 12 Days of Business giveaway for you or a friend:\xe2\x80\x8b\n1. Make sure you\xe2\x80\x99re following us\xe2\x80\x8b\n2. Like this post\xe2\x80\x8b\n3. Tag someone in the comments below who you know would love a chance to enter to win too.\xe2\x80\x8b\n\xe2\x80\x8b\nThe Executive Kit includes:\xe2\x80\x8b\n- Shaquille O'Neal:trade_mark: Nereus Bonded Leather High-Back Executive Chair, Navy Item # 6803931\xe2\x80\x8b\nTotal Value: $429.99\xe2\x80\x8b\n\nNo purchase necessary. A purchase will not increase your chances of winning. Open to legal residents of the 50 US or Dist. of Columbia who have reached the age of majority in their state of residence. Valid 11/9-11/22/20. Limit 1 entry per participant. Click the giveaway story highlight to read official rules. #DiscoverDepot #giveaway #shaq #shaquilleoneal #officechair""",0,0,1124,1275,2399,,
