shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIFw_kAMbk6,priceline,2020-11-27 10:06,yes,False,,,"b""Don't miss our biggest sale of the year! Sign in to access new deals every two hours, all day long. Click the link in bio to save now and travel any time.\xe2\x81\xa0""",135,3.533,7,1,8,,
CIDyIIRlbEA,priceline,2020-11-26 15:39,yes,False,,,"b""Know what goes well with turkey? Deals. Today's your last chance to unlock early access to VIP Black Friday prices. Link in bio to save now and travel any time.\xe2\x81\xa0""",283,4.966,25,1,26,,
CIBLomess-r,priceline,2020-11-25 15:17,no,False,,,b'Stay in the magic! Save up to 35% on rooms at select Disney Resort Hotels. Link in bio\xe2\x81\xa0\n\xe2\x81\xa0\n*Terms apply',0,0,18,4,22,,
CH1ICg_hdXn,priceline,2020-11-20 23:01,yes,False,,,b'Unlock early access to Black Friday & Cyber Monday deals as a Priceline VIP member. Sign up is free! Link in bio.',375,7.033,23,4,27,,
CHQ3MufA3PL,priceline,2020-11-06 20:55,no,False,,,"b'Instant VIP Gold access! Automatically unlock VIP Gold benefits when you become a card member and get up to 50% off 30,000 hotels, early access to sales and so much more! \xe2\x81\xa0\n\xe2\x81\xa0\nClick the link in bio to learn more and apply.'",0,0,19,15,34,,
CHAkN9SHXqX,priceline,2020-10-31 13:06,yes,False,,9am,b'Happy Halloween! Save an extra 10% off Express Deal hotels* with code WITCHES10. Our treat! Click the link bio to save now and travel anytime.\xe2\x81\xa0\n\xe2\x81\xa0\n\xe2\x81\xa0\n*Code is valid until 11/2 @9am EST. $200 minimum spend',371,10.8,15,13,28,,
CG7asatHg0L,priceline,2020-10-29 13:02,yes,False,,,b'Need a vaca? Use code MUMMIES10 to save an extra 10% off Express Deal hotels*. Click the link in bio to find a scary good deal.\n\n*Code is valid until 10/31 at 9am EST. $200 minimum spend',426,10.8,23,10,33,,
CG3Hj3JJgLX,priceline,2020-10-27 20:58,yes,False,,,b'We have some scary good deals this spooky season. Save an extra 10% off Express Deal hotels* with code DRACULA10. Click the link in bio to save now on your next getaway.\n\n*Code is valid until 10/29 at 9am EST. $200 minimum spend',371,10.8,24,7,31,,
CGINT6JFcAW,priceline,2020-10-09 15:44,yes,False,,,"b""Our new VIP rewards program makes it ridiculously easy to save even more with Priceline! Sign up for FREE and unlock huge savings, early access to sales, travel perks, and more. Click the link in bio to become a Priceline VIP. \n\nAlready have a Priceline account? You're already a VIP! Sign in to check out your perks.""",441,9.666,24,41,65,,
CGCjVxrnldn,priceline,2020-10-07 11:01,no,False,,,b'Jump on these deals! Save an extra $25 on Express Deal Hotels with code FLASHSALE*. Click the link in bio to save now and travel anytime.\n\n *$125 minimum spend - Offer expires 11:59pm 10/7',0,0,15,14,29,,
CFcbrw-lvBk,priceline,2020-09-22 15:43,no,False,,,b'Save some green on your next road trip with our Fall Equinox Sale! Score up to 30% off on top rental car brands.  Click the link in bio to save.',0,0,43,29,72,,
