shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGTn73lJND,supervalu_irl,2020-11-27 15:03,no,False,"greenfriday,supervalu,supportlocal,supportirish",,b':shamrock_selector:#GreenFriday Competition :shamrock_selector:\xe2\x81\xa3\n\xe2\x81\xa3\nTo celebrate Green Friday we are putting the spotlight on local Irish businesses. We have randomly selected 5 businesses that have featured in our Monday Market & have purchased five \xe2\x82\xac100 gift cards to give away.\xe2\x81\xa3\n\xe2\x81\xa3\nFor your chance to win one of five \xe2\x82\xac100 gift cards simply leave a comment tagging your favourite Irish business :white_medium_star: Winner announced Tuesday 1st December 2020. \xe2\x81\xa3\n\xe2\x81\xa3\nTune in to our Instagram Stories on Monday for more Irish gift idea:Christmas_tree:\xe2\x81\xa3\n\xe2\x81\xa3\n#SuperValu #SupportLocal #SupportIrish T&C\xe2\x80\x99s apply. \xe2\x81\xa3',0,0,194,119,313,,
CIGBUohAGh0,supervalu_irl,2020-11-27 12:23,yes,False,"supervalu,shoplocal,supportlocal,greenfriday",,b':shamrock_selector:GREEN FRIDAY :shamrock_selector:\xe2\x81\xa3\nWe are encouraging you to turn Black to Green by choosing Irish gifts that support local businesses such as Uniplumo. \xe2\x81\xa3\nThis year marks the 24th year that North Dublin based grower Uniplumo has worked with SuperValu to supply the popular Poinsettia plant. :sparkles: \xe2\x81\xa3\n#SuperValu #ShopLocal #SupportLocal #GreenFriday',1157,45.6,75,4,79,,
CIF5or7HE6Q,supervalu_irl,2020-11-27 11:16,no,False,"supervalu,webelieve,supervalurecipe",,"b""If you're planning on making hot chocolate for the little ones tonight why not treat the adults in the family to some tasty Eggnog. Our recipe of the day is perfect for a cosy night in watching the Toy Show. \xe2\x81\xa3\n:Christmas_tree:Find the full recipe by clicking on the link in our bio.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nOver 18's only. Always drink responsibly. \xe2\x81\xa3\n#SuperValu #WeBelieve #SuperValuRecipe""",0,0,235,5,240,,
CIEC1KuhJfj,supervalu_irl,2020-11-26 17:58,no,False,"supervalu,guaranteedirish,guaranteedirishchristmas,alltogetherbetter,foodacademy,greenfriday",guaranteed_irl,b':shamrock_selector:Green is the new black :shamrock_selector:\xe2\x81\xa3\nShop local & Irish for your Christmas gifts this Friday 27th November.\xe2\x81\xa3\n:wrapped_gift:For Irish gift inspiration visit @guaranteed_irl or check out the Food Academy section in your local SuperValu. \xe2\x81\xa3\n#SuperValu #GuaranteedIrish #GuaranteedIrishChristmas #AllTogetherBetter #FoodAcademy #GreenFriday',0,0,731,9,740,,
CIDpVpfFAhb,supervalu_irl,2020-11-26 14:15,no,False,"supervalu,webelieve,supervalurecipe",,b'On Dancer.. on Prancer.. on Donner.. and Blitzen!:sparkles: Our Reindeer Rice Krunchie Bars are the perfect treat for the Toy Show. \xe2\x81\xa3\n:Christmas_tree:Find the full recipe by clicking on the link in our bio.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#SuperValu #WeBelieve #SuperValuRecipe',0,0,2197,78,2275,,
CIDIxt0lbpd,supervalu_irl,2020-11-26 09:31,no,False,"greenfriday,supportlocal,supervalu,guaranteedirish,guaranteedirishchristmas,alltogetherbetter,supportlocal,westcork","guaranteed_irl,durruscheese","b':shamrock_selector: Shop local & Irish on #GreenFriday 27th November :shamrock_selector: Irish Brand of the Week - Durrus Cheese :shamrock_selector:\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nEach week between now and Christmas to #SupportLocal we will be sharing local and Irish gift ideas that are part of @guaranteed_irl.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nFast approaching its fourth decade Durrus Cheese is still handmade by Jeffa Gill along with her daughter Sarah Hennessy, Ann McGrath and the rest of the team. The cheese continues to win awards at both national and international level, most recently winning 2 and 3 Gold Stars for the Durrus Mini and the Durrus O\xcc\x81g at the Great Taste Awards in the UK.\xe2\x81\xa3\n\xe2\x81\xa3\nDurrus Cheese are now producing four cheeses and will continue to make delicious, high quality artisan cheese from the excellent milk produced from the rugged terrain of West Cork.\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nTo purchase Durrus Cheese & discover their full range please visit their website, selected SuperValu stores or @durruscheese.\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#SuperValu #GuaranteedIrish #GuaranteedIrishChristmas #AllTogetherBetter #SupportLocal #WestCork'",0,0,102,1,103,,
CIB1AQXByoB,supervalu_irl,2020-11-25 21:19,no,False,"supervalu,webelieve",,b'Take inspiration from our Signature Tastes range to make your own tasty canap\xc3\xa9s for the perfect night in at home. :sparkles::sparkles:\xe2\x81\xa3\n#SuperValu #WeBelieve',0,0,179,2,181,,
CIBNEc-nh2C,supervalu_irl,2020-11-25 15:30,no,False,"greenfriday,foodacademy,supervalu,greenfriday,guaranteedirish,guaranteedirishchristmas,alltogetherbetter,supportlocal",,"b':shamrock_selector:Green Friday November 27th:shamrock_selector:\xe2\x81\xa3\nSupport local and Irish this #GreenFriday by visiting the Food Academy section of your local SuperValu store.\xe2\x81\xa3\nOne fantastic example of our #FoodAcademy producers is the award-winning Hanley\xe2\x80\x99s Puddings which was founded in 1957, when they opened their butcher shop in the main street of Mitchelstown, Co. Cork. Following on from that Anthony started making black and white pudding using a recipe that has now been in the family for over 120 years!\xe2\x81\xa3\n#SuperValu #GreenFriday #GuaranteedIrish #GuaranteedIrishChristmas #AllTogetherBetter #SupportLocal'",0,0,1130,8,1138,,
CIA5R8UDS3e,supervalu_irl,2020-11-25 12:37,no,False,"latelatetoyshow,supervalu,webelieve,supervalurecipe",,"b""The countdown to the #LateLateToyShow is on! :raising_hands: If you're looking for a fun baking idea for Friday why not give our recipe for a Gingerbread Village a try. :white_medium_star:\xe2\x81\xa3\n:Christmas_tree:Find the full recipe by clicking on the link in our bio.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#SuperValu #WeBelieve #SuperValuRecipe""",0,0,936,1,937,,
CH-w-NFguS-,supervalu_irl,2020-11-24 16:46,no,False,"supervalu,webelieve,supervalurecipe",,b':sparkles::sparkles:Here is our recipe for Christmas Pudding Mug Cakes :sparkles::sparkles:Serve with ice cream & enjoy :sparkles::sparkles:\xe2\x81\xa3\n:Christmas_tree:Find the full recipe by clicking on the link in our bio.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#SuperValu #WeBelieve #SuperValuRecipe',0,0,2069,41,2110,,
