shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHqD-ftl_Qd,txinstruments,2020-11-16 15:48,no,False,,,"b'Gladys\xe2\x80\x99 love for art and creating the best customer experience have not only been beneficial to her personally, but have also helped her ensure that our customers continue to receive the best quality products. \xe2\x80\x9cErrors are part of the learning process in leaf art and it has made me persevere until I get it perfectly. As a quality inspector, I am more attentive to details and sensitive when looking at rejects and discrepancies of units. Like people looking at good art, our customers want good quality work too."" - Gladys, quality control inspector, Philippines'",0,0,475,15,490,,
CHYCqiyl_nx,txinstruments,2020-11-09 15:50,no,False,,,"b'The journey of a thousand miles begins with a single step. This is how Swati, Sirish and Karthik felt when they started discussions to create a TI Pride chapter in India. \xe2\x80\x9cTalking about LGBTQ+ issues is still limited in India. We wanted to take steps to initiate the conversation. Since we started the chapter, everyone has been amazing and extremely passionate about making real change to ensure a more inclusive workplace. But it doesn\xe2\x80\x99t feel overwhelming. We\xe2\x80\x99ve had great interest from TIers in India and the result is a lot of people asking real questions, joining the journey to learn more and supporting each other.\xe2\x80\x9d - Swati, a validation engineer at our company'",0,0,644,11,655,,
CHGASE8lDpD,txinstruments,2020-11-02 15:43,no,False,,,"b'When Hirokazu started his career, there were no personal computers in the workplace. He witnessed first-hand how technology advanced decade by decade and how important computing became. This sparked his passion to teach computer programming to the next generation of innovators. \xe2\x80\x9cChildren need to learn about computers a lot more now than ever before, since our future is more dependent on the computer. No question.\xe2\x80\x9d Through his volunteer efforts, Hirokazu not only helps children grow their knowledge, but also develop a personal interest in computer programming. \xe2\x80\x9cI\xe2\x80\x99m happy to see the children smile with excitement. Some of their creations are so amazing!\xe2\x80\x9d \xe2\x80\x93 Hirokazu, an applications developer at our company'",0,0,281,1,282,,
CGzyNBnliWo,txinstruments,2020-10-26 13:53,no,False,,,"b'What do Mount Everest and electrical engineering have in common? According to Aaron, an engineering manager at our company, ""They both come down to the details of the planning, the trust in your team\xe2\x80\x99s experience and execution - all of which determines success."" A lot of what he learned in technical trekking has helped him succeed in his role at our company. Both come with unique challenges, but that\xe2\x80\x99s what Aaron loves about them. Whether he has just reached the peak of Mount Kilimanjaro or helped a customer solve a particularly complex problem, his response is the same: ""What\'s the next challenge?""'",0,0,644,6,650,,
CGhqTWjFqC_,txinstruments,2020-10-19 12:58,no,False,,,"b'Score once and the game is won. ""You have to remind yourself that there\'s always one person out there who\'s paying close attention - something you say can shape them."" Hubie, a vice president at our company, is heavily involved in STEM volunteering with youth who face economic and educational challenges, and encourages others to give back without worrying if their contributions are ""big enough"". He knows from experience how seemingly small involvement can make a tremendous difference in the lives of others. ""I have been involved with youth robotics competitions for over a decade, speaking to young women and men and spending time with them. I got an email from one who was on one of those teams in high school, telling me he was starting at TI as a design intern. He was so excited, and said that day gave him the confidence to keep pursuing his dream of being an engineer."" Instead of thinking about the people you might not be able to reach, Hubie challenges volunteers to think about the one or two people that they can reach, and to understand that there\'s always someone listening.'",0,0,354,4,358,,
CGPqR1WlqHn,txinstruments,2020-10-12 13:11,no,False,,,"b'Marco, a product line manager at our company, was recently honored by Great Minds in STEM (GMiS) for his work in the community. GMiS recognizes America\xe2\x80\x99s top engineers and scientists from the Hispanic community. \xe2\x80\x9cI\xe2\x80\x99m from a small town in Mexico and was the first in my family to go to college and become an engineer. I want to be an example for those that I\xe2\x80\x99m mentoring and proof that it can be done. People are always open and willing to mentor you, but it\xe2\x80\x99s your job to take that advice, apply it and fill in the gaps. We all have something to offer. Those little pieces of guidance add up, you just need to know how to apply that advice and then pay it forward to others. In my life I\xe2\x80\x99ve learned to convert weakness to fuel, a positive attitude to drive, fear into faith and hope into action.\xe2\x80\x9d'",0,0,692,21,713,,
CF9to-JFEX1,txinstruments,2020-10-05 13:54,no,False,,,"b'During the Chinese New Year holiday, the only goal of Sam (left) and Edward (right) was to support customers fighting the spread of COVID-19 as quickly as possible. \xe2\x80\x9cWe did and will continue to do our best to make our customers successful and ensure their production in this special time.\xe2\x80\x9d They have maintained that same sense of urgency and dedication to our customers, even after the holiday. ""In order to respond to clients\xe2\x80\x99 needs immediately, whether it\'s in a normal or special period, we continue to be ready at any time.\xe2\x80\x9d - Sam, Regional Sales Manager.'",0,0,330,1,331,,
CFrtOW1FC-Y,txinstruments,2020-09-28 14:04,no,False,,,"b'In celebration of Hispanic Heritage Month, TI participated in the recent Congressional Hispanic Caucus. During the caucus, Miguel, a product line manager at our company joined a panel discussion on how to equip the next generation of leaders to be successful. \xe2\x80\x9cAs a manager, I work to create an environment where people are willing to share their ideas and they will be heard. I engage differently with each employee on my team and try to understand their background. What clicks and what is important to each generation may differ and as leaders we should work to understand our differences and how to leverage these difference to make us stronger.\xe2\x80\x9d'",0,0,262,1,263,,
CFh1Lz8lB_Z,txinstruments,2020-09-24 18:02,no,False,wmbestfordads,,"b'Scott, a Creative Director and father of two, believes that the desire to be a great employee and a great parent can lead to a win-win situation. \xe2\x80\x9cNo truly important part of your life should have to be sacrificed for another. It can be a synergistic relationship when you know that the people around you, both at work and at home, are supporting you through all of your efforts.\xe2\x80\x9d Our employees feel empowered to embrace who they are and do their best work in all areas of their lives. We recently earned a spot on the 2020 Working Mother Media Best Companies for Dads list. #WMBestforDads'",0,0,323,0,323,,
CFZvaM0FS-a,txinstruments,2020-09-21 14:37,no,False,,,"b'Pradeep\'s passion for power supply design began when he was in school. ""When I was in college, I led a student team to build an electric formula race car. Looking back, the design was quite rudimentary but I felt so proud to see our electric race car in motion.\xe2\x80\x9d Today as Power Design Services manager, Pradeep helps our customers optimize their designs, and is still as excited about it as he was in college. \xe2\x80\x9cPower electronics are key to so many exciting technologies today: electric vehicles, solar energy, wearables, etc. Seeing the impact of power designs is rewarding and energizing \xe2\x80\x93 pun intended!\xe2\x80\x9d \xe2\x80\x93 Pradeep, Manager, Power Design Services'",0,0,733,14,747,,
CFKMntlF6rS,txinstruments,2020-09-15 13:45,no,False,wm100best,workingmother,"b'Tsedeniya, General Manager and mother of two, believes it is important for all of us to see our perspectives represented in various forms. \xe2\x80\x9cShare your experiences and your challenges so others can benefit from it. When I had my second child, I was lucky to have a peer who was going through a similar experience. I learned from her how to manage international travel with a newborn at home.\xe2\x80\x9d Our company values everyone\xe2\x80\x99s voice and encourages open discussion, and recently earned a spot on the 2020 @workingmother 100 Best Companies list. #WM100Best'",0,0,392,6,398,,
CE4VyQNF3gr,txinstruments,2020-09-08 15:18,no,False,,,"b'Russ, a design engineer at our company, was recently recognized by The National Society of Black Engineers (NSBE) with the Golden Torch Award for his proven excellence as an engineering professional and his positive impact on the community. \xe2\x80\x9cSince I was a toddler, I have been interested in STEM and how things worked. I love learning and enjoy helping others learn by sharing my experiences. Today, I mentor NSBE undergraduate students and fellow TIers. I always tell my mentees that innovation and competition comes from challenging yourself and others to continuously improve through training, collaboration and knowledge-sharing. I encourage them to brainstorm, share what they learn and stay connected to others.\xe2\x80\x9d -Russ, a design engineer at our company'",0,0,366,11,377,,
CErveWIlTWd,txinstruments,2020-09-03 17:53,no,False,,,"b'Sehretta is chair of our Black Employee Initiative (BEI), one of 15 employee resource groups that make up our TI Diversity Network (TIDN). As an advocate for bridging gaps and developing people, she strives to help others be unapologetically themselves. \xe2\x80\x9cI want to be authentically myself in every area. That\xe2\x80\x99s why TIDN and BEI matter. They help us to connect based on our differences while allowing us to be accepting of one another.\xe2\x80\x9d'",0,0,322,2,324,,
CEmpw9gllKq,txinstruments,2020-09-01 18:27,no,False,,,"b'We are fortunate to work on exciting technology and help our customers innovate to create a better world. With our ambitions guiding our decision-making for the long term and our products helping create a better world, we are confident that our collective efforts as a good corporate citizen will be impactful and long-lasting. Our commitment to stay true to our ambitions is unwavering, and the progress we share in our 2019 Corporate Citizenship Report is a testament to this commitment. Click the link in our bio to learn more.'",0,0,222,0,222,,
CEjwZldF0U5,txinstruments,2020-08-31 15:27,no,False,,,"b'We have witnessed how a global pandemic has impacted us, but how have children viewed these changes to their own lives? Curious to know, our team in China decided to ask Tier\xe2\x80\x99s children to participate in a children\xe2\x80\x99s painting competition called \xe2\x80\x9cThrough our brushes, we paint a better world\xe2\x80\x9d. They were asked to draw the stories of fighting against COVID-19 from their eyes. See the point of view these children shared through their paintings.'",0,0,241,1,242,,
CEZjLUIl-p5,txinstruments,2020-08-27 16:19,no,False,,,"b'As kids head back to school \xe2\x80\x93 whether virtually or in the classroom \xe2\x80\x93 our company remains committed to educating and inspiring future engineers. This year our annual Bring Your Kids to Work Day event was reimagined in a virtual setting. TIers and families around the world enjoyed STEM experiments, cultural activities, and educational videos from home.'",0,0,311,1,312,,
CERoXLHFC5m,txinstruments,2020-08-24 14:30,no,False,,,"b'As an operations leader at a TI manufacturing site in Clark, Philippines, Rodolfo went above and beyond his duty and lent a helping hand to his employees at the onset of the pandemic. Rodolfo needed critical employees to work onsite so they can deliver products to customers on-time but public transportation was highly restricted. Rodolfo decided to offer rides to his employees to and from the factory who would otherwise not be able to safely get to work. \xe2\x80\x9cThere is great comfort when you know that employees are safe going to work. Driving some of my employees is a small way to give that feeling of security. It takes me 30-50 minutes to get them from their houses but I enjoy the time as I take the opportunity to mentor and support them during this pandemic.\xe2\x80\x9d-Rodolfo, an operations director, Philippines.'",0,0,332,3,335,,
CEC8PWJlcmd,txinstruments,2020-08-18 21:35,no,False,,,"b'Today we announced that Haviv Ilan has been promoted to executive vice president (EVP) and chief operating officer (COO). Ilan, 52, is a 21-year veteran of the company, and as COO will oversee the company\xe2\x80\x99s business and sales organizations, technology and manufacturing operations, and information technology services.  Click the link in our bio to learn more.'",0,0,676,6,682,,
CD_rNDtlxRj,txinstruments,2020-08-17 15:09,no,False,,,"b'In response to COVID-19, Hans-Juergen found several opportunities to step-up inside and outside of the office. ""I\'m proud to be part of TI where I support the FFAB team in manufacturing semiconductors used in respirators. On my weekends, I support the Bavarian civil protection team by documenting incoming requests for protective equipment and pull double shifts with my friends from our amateur radio operator group to support our district\'s administration.""- Hans-Juergen, Plasma thin film operation section manager, Germany'",0,0,512,1,513,,
CDtmDMsFo9m,txinstruments,2020-08-10 14:37,no,False,,,"b'We would like to congratulate Leah, a digital marketer at TI, on winning the INROADS Business Supervisor of the Year award. Isaac, a digital marketing intern, nominated her for the following reasons: \xe2\x80\x9cFrom the beginning, Leah has shown her commitment to not only my performance in the role but also my learning. When I was given the opportunity to take on more responsibilities in addition to my internship projects, I was nervous that I would be thrown to the wolves with no backup. However, Leah has been there every step of the way, providing insight and knowledge to help me perform at my best. Because of the direct impacts that Leah has made on my learning this summer, I feel more confident going into a digital marketing role than before.\xe2\x80\x9d'",0,0,770,24,794,,
CDbm_ZjF7FG,txinstruments,2020-08-03 14:59,no,False,,,"b'Jessica, an analog design intern who has hiked 24 out of 62 U.S. national parks, is passionate about mentorship. ""If I compare my career so far to one long hike, my mentors have been the trail signs and cairns, providing opportunity and direction along the way. I\xe2\x80\x99ve tried my best to pay it forward, from leading women in engineering programs at the University of Tennessee to mentoring undergraduate researchers at MIT. At TI, I hope to contribute what I can to products that will benefit both our lives and our planet. I find that energizing.\xe2\x80\x9d'",0,0,663,3,666,,
CDJwCRiF3of,txinstruments,2020-07-27 16:32,no,False,,,"b'Creating industry-leading audio quality starts with Matt\xe2\x80\x99s passion for music. Whether he was playing with the drumline in the University of Southern California marching band or audio engineering a live production, Matt brings a musician\xe2\x80\x99s ear to audio engineering. \xe2\x80\x9cWith the amount of time a commuter spends in their car listening to music, the goal is to give the best possible experience. As the in-cabin experience becomes more of a priority for drivers, we have an opportunity to offer audio devices that both meet and exceed those expectations.\xe2\x80\x9d \xe2\x80\x93Matt, Systems Engineer, Infotainment systems'",0,0,341,4,345,,
CClrhVWl7XN,txinstruments,2020-07-13 16:20,no,False,,,"b'Jake created a solar-powered, user-friendly electricity system, to give Haitian families affordable electricity. Along with the Haitian Solar Initiative, Jake is bringing phone-charging capabilities and light after sunset to homes, medical clinics and churches.\n\xe2\x80\x9cThe story of Haiti just grabs you\xe2\x80\xa6they\xe2\x80\x99ve got limited food, water and power. There\xe2\x80\x99s no development without electricity, so we\xe2\x80\x99re bringing affordable electricity to as many people as possible.\xe2\x80\x9d \xe2\x80\x93 Jake, Analog IC Design Engineer, United States.'",0,0,574,8,582,,
