shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBscFLntnl,valeroenergy,2020-11-25 20:04,no,False,fueledbygiving,,"b'We\xe2\x80\x99re grateful to have such dedicated employees, volunteering their time to make sure thousands of families across the U.S. have food this week. Thank you, Team Valero, for your commitment to our company and our communities. Happy Thanksgiving! #FueledByGiving'",0,0,46,0,46,,
CH8vfMXnRyv,valeroenergy,2020-11-23 21:59,yes,False,,,"b'Tap the link in our bio, fire up the propane grill, and enjoy a smoked turkey that the family will be talking about until next year. Be safe and stay healthy as you celebrate.'",223,7.066,31,0,31,,
CHyQ0vynkfW,valeroenergy,2020-11-19 20:15,yes,False,,,"b'Most people know you can roast, fry, braise or smoke a turkey. But did you know you can race a turkey too? Check out the link in our bio for a fun STEAM project to see how.'",269,6.566,34,0,34,,
CHstkoYH592,valeroenergy,2020-11-17 16:30,yes,False,,,"b'Get a closer picture at the role petroleum plays in photography, from traveling to the parts that make the camera by tapping the link in our bio.'",159,15.043,31,0,31,,
CHgM06jnHX2,valeroenergy,2020-11-12 19:53,no,False,,,b'Our Port Arthur refinery was the 1st industrial site in the U.S. to host a large-scale carbon capture project. It recovers an amount of CO2 equal to the benefits of planting and growing ~15 million urban trees over 10 years. We continue to look for more opportunities to capture.',0,0,80,3,83,,
CHd38MhHzq4,valeroenergy,2020-11-11 22:12,no,False,"fueledbygiving,veteransday",soldiersangelsofficial,"b'On Veterans Day we\xe2\x80\x99re proud to have 1,000 Team Valero veterans in our workforce. We\xe2\x80\x99ve partnered with organizations like @soldiersangelsofficial providing $25k for the mobile food pantry to show our gratitude to our military heroes. #FueledByGiving #VeteransDay'",0,0,131,1,132,Soldiers' Angels,29.5166533 -98.4062261
CHVie3KHhh7,valeroenergy,2020-11-08 16:32,yes,False,,,"b'Celebrate National STEAM Day today by continuing to inspire our next generation of engineers, artists, and innovators with fun projects like these. Tap the link in our bio to find a STEAM project for you.'",178,76.726,26,0,26,,
CHIb9NznJ58,valeroenergy,2020-11-03 14:23,yes,False,,,"b'Don\xe2\x80\x99t forget to make your voice heard by voting today. Whether you drive, ride the bus or walk, take the necessary precautions and be safe as you make your way to the polls.'",183,19.081,32,0,32,,
CHAsL7nnpQC,valeroenergy,2020-10-31 14:11,yes,False,,,"b'Mask up, stay safe and keep it freaky this Halloween.'",481,14.066,139,5,144,,
CG5Z7J4n5wq,valeroenergy,2020-10-28 18:17,no,False,,,"b'Since 2005, we\xe2\x80\x99ve partnered with dozens of groups in the U.S and Canada to plant more than 20,000 trees to help preserve the environment for future generations.'",0,0,68,4,72,,
CG3HuaiHem8,valeroenergy,2020-10-27 20:59,no,False,,,"b'Petroleum-based products are essential to our everyday lives, especially as we enjoy America\xe2\x80\x99s favorite pastime. Whether at the stadium or at home watching the game \xe2\x80\x93 we are with you.'",0,0,60,0,60,,
CGqJisSnVBp,valeroenergy,2020-10-22 20:05,yes,False,,,"b'Science doesn\xe2\x80\x99t have to be scary, but it\xe2\x80\x99s a lot of fun when it is. This spooky STEAM Halloween balloon head experiment lets kids get creative. Tap the link in our bio to learn more.'",347,7.033,45,0,45,,
CGlHoPZHN0X,valeroenergy,2020-10-20 21:13,yes,False,"halloween,mask",,"b'While everyone is wearing a mask these days, it\xe2\x80\x99s that time of year for ghouls and monsters to put on their scariest faces. See what role petroleum plays in the creation of these spooky masks at link in bio. #halloween #mask'",268,21.689,32,1,33,,
CGiVWJDn7kk,valeroenergy,2020-10-19 19:14,no,False,,,"b'Employees at our Jefferson, WI, plant installed a webcam and nest box for a pair of peregrine falcons that return every year. It\xe2\x80\x99s part of our ongoing effort to protect endangered species and preserve natural habitats. Learn more at link in bio.'",0,0,155,3,158,,
CGaN7Rln5Q5,valeroenergy,2020-10-16 15:36,yes,False,,,"b'Camping just wouldn\xe2\x80\x99t be the same without petroleum. You not only need it to fuel your vehicle to get to your campsite, but it\xe2\x80\x99s also used to make many of the things you rely on once you\xe2\x80\x99re there \xe2\x80\x93 from tents to sleeping bags to insect repellent.'",205,26.3,35,0,35,,
CGQNuFyn2F_,valeroenergy,2020-10-12 18:21,yes,False,,,"b'What might be just another drive any other time of year becomes a colorful and unforgettable excursion in October. Fill up with TOP TIER fuel from Valero, and check out these vibrant leaf-peeping drives at the link in our bio.'",203,7.366,46,4,50,,
CF7J6PyHYz-,valeroenergy,2020-10-04 14:04,yes,False,,,"b""It's National Golf Lover\xe2\x80\x99s Day! Fuel up your car and hit the links to enjoy a round of golf. You will need golf balls, which are designed for accuracy, spin control or distance. But one thing they all have in common is petroleum. Let\xe2\x80\x99s take a look underneath those dimpled covers at the link in our bio.""",162,10.013,34,1,35,,
CFxlGH_HLvR,valeroenergy,2020-09-30 20:49,no,False,,,"b'Did you know? Many of our refinery units exist for environmental purposes, such as removal of sulfur. From there, the sulfur is used in fertilizers that grow food and as a product that helps purify drinking water.'",0,0,38,2,40,,
CFsiVK5nRFb,valeroenergy,2020-09-28 21:49,yes,False,fueledby,,b'Summer is over but the sunshine can last forever with this STEAM slime suncatcher project. Kids will have a blast making a mess with these colorful creations that can brighten any room. Hit the link in our bio to learn how. #FueledBy',335,10.538,35,2,37,,
CFkIUbEnZSR,valeroenergy,2020-09-25 15:28,yes,False,fueledby,,b'What does petroleum have to do with beekeeping? Find out and see why this honey-making pastime is becoming popular in big cities and on rural farms alike. Read more at the link in our bio. #fueledby',243,6.666,43,1,44,,
CFdGZVAnj2U,valeroenergy,2020-09-22 21:56,yes,False,fueledby,,b'Mother Nature\xe2\x80\x99s most spectacular performance is now playing. Fuel up with Valero fuel and take in the vibrant colors of fall while visiting one of more than 700 cider makers in the U.S. See the link in our bio. #fueledby',258,26.519,54,1,55,,
CFSmH6YnLM_,valeroenergy,2020-09-18 20:02,yes,False,,,"b'Anyone who\xe2\x80\x99s ever picked up a driver knows there\xe2\x80\x99s a lot that goes into golf. But did you know that petroleum goes into a lot of the things used for golf, like golf clubs, golf balls, flagsticks and more?'",332,26.3,57,2,59,,
CFPeSQHHEd2,valeroenergy,2020-09-17 14:55,no,False,,,"b'This week, the Valero Energy Foundation and our employees donated $225K to the San Antonio Food Bank, with 1,300 employees volunteering their time to package food boxes that will feed 15,000 families in San Antonio.'",0,0,144,4,148,,
CFK3f2AHISo,valeroenergy,2020-09-15 20:10,yes,False,,unitedway,"b'This year not only marks our 40th anniversary, but also four decades of partnering with @unitedway. Since 1980, our employees donated their time and more than $200 million to make a difference in their communities.'",401,10.013,87,2,89,,
CE9ia-LnbR2,valeroenergy,2020-09-10 15:45,no,False,,,"b'At six of our refineries, we installed \xe2\x80\x98expanders\xe2\x80\x99 on processing units to generate power from exhaust gases. And, we have the world\xe2\x80\x99s largest expander at our Corpus Christi West refinery. It\xe2\x80\x99s just one of the many ways we recycle and reuse materials in our refineries. Learn more at link in bio.'",0,0,148,4,152,"Corpus Christi, Texas",27.7964 -97.3976
CE4snCbn2Jk,valeroenergy,2020-09-08 18:39,yes,False,,,b'While school may look different this year \xe2\x80\x94 it\xe2\x80\x99s time to stock up on essential classroom supplies that are fueled by petroleum. Link in bio.',311,5.4,55,4,59,,
CEun4-pjEJL,valeroenergy,2020-09-04 20:51,yes,False,,,b'There is still time to fuel up your car and hit the beach to enjoy the last days of summer. And don\xe2\x80\x99t forget the sunglasses and beach umbrellas because these petroleum-based products can make or break your day in the sun.',355,26.3,69,1,70,,
CEsPVIkjrm5,valeroenergy,2020-09-03 22:31,no,False,,,"b'Here. No Matter What. \nValero\xe2\x80\x99s Post Hurricane Assistance Team immediately aided Valero families affected by Hurricane Laura last week, helping to restore their lives and homes, easing the burden from the storm.'",0,0,141,1,142,,
CEmd4npnCYJ,valeroenergy,2020-09-01 16:43,no,False,valerorescuerelay,,"b'This dog got his day. TOP TIER :trade_mark:-certified quality fuel from Valero helps Rescue Relay volunteers all across the country drive at-risk dogs to safe, new forever homes. See how at the link in our bio. #ValeroRescueRelay'",0,0,147,8,155,,
CEci5bInXw6,valeroenergy,2020-08-28 20:15,yes,False,,,"b'What\xe2\x80\x99s 690 miles long and attracts people from all around the country? It\xe2\x80\x99s the 127 Yard Sale, the world\xe2\x80\x99s longest yard sale, of course. Fuel up with fuel from Valero and discover everything from antiques to collectables to just plain weird stuff. Link in bio.'",420,38.46,46,1,47,,
CD_0pYwDwT7,valeroenergy,2020-08-17 16:32,yes,False,valerorescuerelay,,"b'Right now, we\xe2\x80\x99re all about finding home. Proud to provide support to the volunteers making sure dogs like this find their new, loving homes. See the whole story at the link in our bio. #ValeroRescueRelay'",341,8.033,70,2,72,,
CD9e4riHA6E,valeroenergy,2020-08-16 18:46,yes,False,nationalrollercoasterday,,"b'For many kids, building a roller coaster is as much fun as riding one. Celebrate #NationalRollerCoasterDay with this educational STEAM project that uses straws and some other basic materials to build a small roller coaster. Kids can get crazy creative. Link in bio!'",254,6.0,30,1,31,,
CDxP87mnrEE,valeroenergy,2020-08-12 00:42,yes,False,,,b'Have a blast with this STEAM water shooter on National Son and Daughter Day. It\xe2\x80\x99s a fun way to stay cool during the dog days of summer. All you need is some PVC pipe and a few other basic items. Link in bio!',485,10.388,54,2,56,,
CDuEFWzn6l6,valeroenergy,2020-08-10 19:00,no,False,valerorescuerelay,,"b""Now more than ever, dogs like Ducky rely of the devotion on rescue relay volunteers to find their way home. We're proud those volunteers rely on Valero TOP TIER:trade_mark:-certified quality fuel. See more at ValeroCleanGas.com #ValeroRescueRelay""",0,0,121,1,122,,
CDml_eIh_TC,valeroenergy,2020-08-07 21:24,yes,False,,,"b'Summer takes off with this homemade bottle rocket launcher! All you need are PVC pipes, paper, a soda bottle and a little engineering to build your own. Link in bio!'",411,11.205,50,5,55,,
