shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDibH0li2O,verizon,2020-11-26 13:15,yes,False,thanksgivingish,,"b'Phone calls, video chats, group texts... this Thanksgiving, the whole family will be watching, cooking and celebrating together...ish. Here\xe2\x80\x99s to the traditions that keep us connected even when we can\xe2\x80\x99t all be together.  #Thanksgivingish'",2584,27.466,239,45,284,,
CHyfxwiAnfE,verizon,2020-11-19 22:24,no,False,acallforkindness,,"b""#ACallForKindness is more than a campaign, it\xe2\x80\x99s a movement. We\xe2\x80\x99re shining a light on the people who continue to serve our community\xe2\x80\x99s needs and remind folks that behind the mask they're still smiling :smiling_face_with_smiling_eyes:! Check out all the details and join the force today at the link in bio.""",0,0,920,134,1054,,
CHdTisDHXc2,verizon,2020-11-11 16:54,yes,False,"servingthosewhoserve,thanks2vets",wwp,"b'To all the Veterans out there, we\xe2\x80\x99re so thankful for you.\n\nYour commitment and sacrifice inspire us to continue #ServingThoseWhoServe by hiring, helping and giving back with a $250K donation to the @WWP. \n\nTag and thank a veteran you know with #Thanks2Vets'",2847,22.466,344,129,473,,
CHI0v0ulGzk,verizon,2020-11-03 18:00,yes,False,"callingallvoters,vote,election2020",,b'I voted! I voted! I voted! We\xe2\x80\x99re #CallingAllVoters to celebrate their #vote. #Election2020',2598,13.533,350,190,540,,
CHInBBnLmBH,verizon,2020-11-03 16:00,yes,False,"vote,callingallvoters,election2020",,b'#VOTE today for all of their tomorrows. #CallingAllVoters #Election2020',2490,22.533,175,33,208,,
CHIclghDNKF,verizon,2020-11-03 14:29,yes,False,"callingallvoters,vote,election2020",,b'Who taught you about the importance of voting? Today let that person know you voted! #CallingAllVoters #VOTE #Election2020',2555,19.9,207,15,222,,
CHGWLj3glj9,verizon,2020-11-02 18:54,no,False,"callingallvoters,vote",,b'Swipe to share a\xc2\xa0sticker or tag friends with #CallingAllVoters to say \xe2\x80\x9cI will #vote tomorrow!\xe2\x80\x99',0,0,585,34,619,,
CHF7W2jlU6V,verizon,2020-11-02 15:00,yes,False,"vote,callingallvoters",,b'Calling all 2020 voters. Tomorrow is our day to step up and #VOTE. #CallingAllVoters',2376,4.2,303,14,317,,
CHDjmghgEja,verizon,2020-11-01 16:54,no,False,"callingallvoters,vote",,b'We\xe2\x80\x99re #CallingAllVoters to stick to the #VOTE on November 3rd. Swipe and share your favorite \xe2\x80\x98I will vote\xe2\x80\x99 sticker.',0,0,591,23,614,,
CHDYtBNnBSR,verizon,2020-11-01 15:18,yes,False,"callingallvoters,vote",,b'Find your biggest group chat and ask what everyone\xe2\x80\x99s doing on November 3rd. It\xe2\x80\x99s national text your group chat about voting day. #CallingAllVoters #Vote',1819,14.733,149,8,157,,
CHBGnZpAzzH,verizon,2020-10-31 18:02,no,False,"vote,callingallvoters",,b'First-time voters. Long-time voters. And every voter that falls in between. America is calling you to #VOTE November 3rd. Share & @ your friends to forward the CALL. #CallingAllVoters',0,0,321,33,354,,
CG-zT1Zlavs,verizon,2020-10-30 20:35,yes,False,"vote,callingallvoters",,"b""We're calling all first-time voters to #VOTE on November 3rd. Tag or call a friend to encourage them to answer the call. #CallingAllVoters""",2025,25.066,164,24,188,,
CG-xtkfAebE,verizon,2020-10-30 20:21,yes,False,"vote,callingallvoters",,b'We all have THAT friend. The one who doesn\xe2\x80\x99t think their #VOTE matters. Today\xe2\x80\x99s the day to CALL them to tell them it does. #CallingAllVoters',2521,13.3,178,8,186,,
CG7rnWHFZnn,verizon,2020-10-29 15:30,yes,False,callingallvoters,,"b'Calling YOU, :backhand_index_pointing_left:  and  YOU and:backhand_index_pointing_down: YOU over there. Will you answer the call & VOTE on Nov. 3? \n\nShare & @ your friends to forward the CALL. #CallingAllVoters'",2055,13.533,211,40,251,,
CG5ff_MlVOo,verizon,2020-10-28 19:05,yes,False,callingallvoters,,b'It\xe2\x80\x99s national call your parents day to make sure they\xe2\x80\x99re registered and voting on Nov. 3rd. \n\nShare to remind your friends to make the call. #CallingAllVoters',2411,14.733,198,40,238,,
CG5YA_XFQqh,verizon,2020-10-28 18:00,yes,False,callingallvoters,,b'First-time voters. Long-time voters. And every voter that falls in between. America is calling you to VOTE Nov. 3. Share with your friends to forward the CALL. #CallingAllVoters',1748,56.533,193,18,211,,
CB3leOIgk3T,verizon,2020-06-25 18:45,yes,False,truecalling,im.keya,"b'Health heroes like @im.keya spend their whole lives caring for others. Their calling saves countless lives every day and is nothing short of greatness. And we want them to be able to rely on us, like we rely on them. That\xe2\x80\x99s why we\xe2\x80\x99re committed to giving more to those who give the most\xe2\x80\x94with products, services, discounts and, of course, our respect and gratitude. This is Ep.2 in our documentary series #TrueCalling.'",9341,170.083,550,1127,1677,,
CB3ZZ8BHssS,verizon,2020-06-25 16:57,yes,False,,pokemongoapp,b'Did you get your @PokemonGoAPP play-at-home bundle yet? Verizon Trainers play more on us. Click the link in our bio to see how you can attract and catch more Pok\xc3\xa9mon from the comfort of your home.',6100,14.1,432,325,757,,
