company,environment_rating,environment_percentage,Country,Sales,Profits,Assets,Market Value,posts_per_year,is_video,is_sponsored,caption,video_view_count,likes,comments,caption_num_words,caption_unique_words,mention_counts,hashtag_counts,emoji_counts,mentions_eco,mentions_eco-friendly,mentions_green,mentions_organic,mentions_clean,mentions_sustainable,mentions_sustainability,mentions_carbon,mentions_emissions,hashtags_eco,hashtags_eco-friendly,hashtags_green,hashtags_organic,hashtags_clean,hashtags_sustainable,hashtags_sustainability,hashtags_carbon,hashtags_emissions,caption_eco,caption_eco-friendly,caption_green,caption_organic,caption_clean,caption_sustainable,caption_sustainability,caption_carbon,caption_emissions,likely_automated,has_location,is_video_0,is_video_1,is_sponsored_0,is_sponsored_1,video_length_0,video_length_1,likes_0,likes_1,comments_0,comments_1,caption_num_words_0,caption_num_words_1,caption_unique_words_0,caption_unique_words_1,mention_counts_0,mention_counts_1,hashtag_counts_0,hashtag_counts_1,emoji_counts_0,emoji_counts_1,is_video_green_diff,is_sponsored_green_diff,video_length_green_diff,likes_green_diff,comments_green_diff,caption_num_words_green_diff,caption_unique_words_green_diff,mention_counts_green_diff,hashtag_counts_green_diff,emoji_counts_green_diff,posts_per_day,captions_per_year
AES,61,74,United States,101.9,3.02,336.48,88.08,130,0.1,0,130,83477.70769,329787.4923,2805.692308,7.976923077,7.953846154,1,6.292307692,0.569230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0.1015625,0,0,0,4.762203125,0,331234.6328,237170.5,2844.46875,324,7.9921875,7,7.96875,7,1,1,6.3046875,5.5,0.5703125,0.5,-0.1015625,0,-4.762203125,-94064.13281,-2520.46875,-0.9921875,-0.96875,0,-0.8046875,-0.0703125,0.383480826,1
AIRBUS,72,94,Netherlands,761.71,-20.92,1284.24,495.95,49,0.367346939,0,49,62793.87755,45367.30612,248.8163265,50.36734694,45.14285714,1.142857143,10.36734694,1.836734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0.020408163,0.081632653,0,0,0,0.040816327,0,0,0,0,0.020408163,0.040816327,0.380952381,0.285714286,0,0,34.89666667,15.93328571,45515.5,44478.14286,245.2380952,270.2857143,47.61904762,66.85714286,42.97619048,58.14285714,1.119047619,1.285714286,9.619047619,14.85714286,1.761904762,2.285714286,-0.095238095,0,-18.96338095,-1037.357143,25.04761905,19.23809524,15.16666667,0.166666667,5.238095238,0.523809524,0.144542773,1
ALFA,55,58,Mexico,171.81,4.121,181.94,20.54,255,0.482352941,0,252,362683.7255,179384.9176,16756.07451,21.6627451,19.16078431,1.603921569,1.443137255,1.936507937,0,0,0,0,0,0,0,0.003921569,0,0.003921569,0,0,0,0,0,0,0,0,0.007936508,0,0,0,0,0,0,0.003968254,0,0.011764706,0.050980392,0.485943775,0.333333333,0,0,25.02055823,16.71666667,179556.1687,172278,17101.32129,2428.333333,21.19277108,41.16666667,18.81526104,33.5,1.614457831,1.166666667,1.421686747,2.333333333,1.947154472,1.5,-0.152610442,0,-8.303891566,-7278.168675,-14672.98795,19.97389558,14.68473896,-0.447791165,0.911646586,-0.447154472,0.752212389,0.988235294
AT&T,72,93,United States,1792.17,144.17,5453.54,2185.58,537,0.418994413,0,536,9830.061453,951.3426443,114.8752328,37.21787709,32.91061453,1.266294227,1.581005587,0.735074627,0.00744879,0,0,0,0,0,0,0,0,0,0,0,0,0.001862197,0,0,0,0,0.044776119,0,0.005597015,0,0,0.001865672,0,0,0,0.031657356,0.003724395,0.428571429,0.3,0,0,20.17769618,11.5944,983.8792757,547.075,118.6841046,67.55,37.03420523,39.5,32.77062374,34.65,1.273641851,1.175,1.591549296,1.45,0.741935484,0.65,-0.128571429,0,-8.583296177,-436.8042757,-51.13410463,2.465794769,1.879376258,-0.098641851,-0.141549296,-0.091935484,1.584070796,0.998137803
AbbVie,68,88,United States,332.66,78.39,891.15,1213.82,78,0.358974359,0,78,640.7564103,328.0384615,7,38.56410256,34.25641026,0.397435897,3.871794872,0.217948718,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0,0,0,0,0,0,0.102564103,0,0.025641026,0,0,0,0,0,0,0,0,0.382352941,0.2,0,0,9.947970588,2.6,330.4117647,311.9,7.176470588,5.8,38.19117647,41.1,34.13235294,35.1,0.397058824,0.4,3.867647059,3.9,0.205882353,0.3,-0.182352941,0,-7.347970588,-18.51176471,-1.376470588,2.908823529,0.967647059,0.002941176,0.032352941,0.094117647,0.230088496,1
Accenture,76,97,Ireland,446.56,49.717,335.03,1179.71,87,0.126436782,0,87,1622.563218,3149.287356,28.71264368,52.70114943,39.09195402,0.24137931,1.908045977,1.471264368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091954023,0,0.057471264,0,0,0,0.011494253,0,0,0,0.022988506,0.142857143,0,0,0,3.109350649,0,3270.935065,2212.6,30.2987013,16.5,41.27272727,140.7,32.14285714,92.6,0.25974026,0.1,1.87012987,2.2,1.467532468,1.5,-0.142857143,0,-3.109350649,-1058.335065,-13.7987013,99.42727273,60.45714286,-0.15974026,0.32987013,0.032467532,0.256637168,1
Adidas,79,99,Germany,250.09,15.287,228.03,449.04,65,0.615384615,0,65,204661.7692,84621.81538,799.3384615,39.61538462,34.18461538,1.276923077,0.876923077,0.553846154,0,0,0,0,0,0,0,0.046511628,0,0,0,0,0,0,0,0,0,0,0.046153846,0,0,0,0,0.015384615,0.015384615,0.030769231,0.015384615,0.015384615,0.261538462,0.65,0.2,0,0,95.36415,9.9986,84361.03333,87751.2,794.9666667,851.8,37.78333333,61.6,32.81666667,50.6,1.233333333,1.8,0.866666667,1,0.566666667,0.4,-0.45,0,-85.36555,3390.166667,56.83333333,23.81666667,17.78333333,0.566666667,0.133333333,-0.166666667,0.191740413,1
Adobe,72,94,United States,116.23,32.322,212.14,1703.84,167,0.263473054,0,166,13235.07784,5589.209581,57.68862275,40.0239521,33.62275449,1.491017964,0.377245509,0.855421687,0.013245033,0,0,0,0,0,0,0,0,0.037735849,0,0,0,0,0,0,0,0,0.060240964,0,0,0,0.006024096,0,0,0,0,0.017964072,0.011976048,0.270967742,0.166666667,0,0,8.330070968,3.158333333,5613.477419,5275.75,57.23225806,63.58333333,38.33548387,61.83333333,32.39354839,49.5,1.470967742,1.75,0.35483871,0.666666667,0.883116883,0.5,-0.104301075,0,-5.171737634,-337.7274194,6.351075269,23.49784946,17.10645161,0.279032258,0.311827957,-0.383116883,0.492625369,0.994011976
Aegon,69,90,Netherlands,295.07,13.867,4709.03,52.83,52,0.057692308,0,52,44.34615385,80.84615385,1.038461538,44.44230769,38.05769231,1,4.326923077,1.346153846,0,0,0,0,0,0,0,0,0,0.057692308,0,0,0,0,0.019230769,0.019230769,0,0,0.192307692,0,0,0,0,0.019230769,0.019230769,0,0,0.019230769,0.076923077,0.045454545,0.125,0,0,0.265909091,0.75,79.22727273,89.75,0.977272727,1.375,42.97727273,52.5,36.81818182,44.875,1,1,4.204545455,5,1.340909091,1.375,0.079545455,0,0.484090909,10.52272727,0.397727273,9.522727273,8.056818182,0,0.795454545,0.034090909,0.15339233,1
Aflac,67,85,United States,219.95,29.41,1516.16,269.06,25,0.04,0,25,144.56,224.6,23.88,13.52,13.08,1,1,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,,0,,0.22664,,224.6,,23.88,,13.52,,13.08,,1,,1,,0.16,,,,,,,,,,,,0.073746313,1
